id,name__en,name__es,name__nl,name__fr,name__de,name__nb,name__da,name__nn,name__sv,name,wikipedia__en,wikipedia__es,wikipedia__simple,image,gender,birth_date,given_name,name__it,wikipedia__fr,identifier__VIAF,identifier__SUDOC,wikipedia__nl,death_date,name__eo,name__pt,name__pl,wikipedia__commons,wikipedia__de,wikipedia__eo,wikipedia__it,wikipedia__pl,wikipedia__pt,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__freebase,name__ca,name__gl,name__hr,wikipedia__hr,wikipedia__itwikiquote,name__lmo,name__hy,wikipedia__hy,identifier__GTAA,name__nds,family_name,identifier__NTA,name__ro,name__fy,name__cs,name__el,name__ru,wikipedia__ca,wikipedia__fy,wikipedia__sv,identifier__BNF,identifier__IMDB,identifier__NLA,website,identifier__BNE,identifier__NLP,twitter,name__sco,wikipedia__sco,name__hu,name__tr,wikipedia__tr,wikipedia__no,wikipedia__ru,name__ko,name__si,name__ja,name__ne,name__az,name__ml,name__ta,name__uk,name__id,wikipedia__az,wikipedia__cs,wikipedia__hu,wikipedia__id,wikipedia__ja,wikipedia__ko,wikipedia__ml,wikipedia__ne,wikipedia__plwikiquote,wikipedia__si,wikipedia__ta,wikipedia__uk,wikipedia__enwikiquote,wikipedia__eswikiquote
Q5663007,Alberto Espina,Alberto Espina,,Alberto Espina,,,,,,Alberto Espina,,Alberto Espina,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Alberto_Espina_Otero.jpg,male,1956-11-04,Alberto,Alberto Espina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5889022,Guillermo Yunge,Guillermo Yunge,,Guillermo Yunge,,,,,,Guillermo Yunge,,Guillermo Yunge,,,male,1953-09-26,Guillermo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5951382,Juan Masferrer,Juan Masferrer,,Juan Masferrer,,,,,,Juan Masferrer,,Juan Masferrer,,,male,1940-11-19,Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5751491,Carlos Recondo,Carlos Recondo,,Carlos Recondo,,,,,,Carlos Recondo,,Carlos Recondo,,,male,1954-04-27,Carlos,Carlos Recondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6125395,Sergio Correa,Sergio Correa,,,,,,,,Sergio Correa,,Sergio Correa,,,male,1938-05-12,Sergio,Sergio Correa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6278486,Jorge Pizarro,Jorge Pizarro,Jorge Pizarro,Jorge Pizarro,Jorge Pizarro,Jorge Pizarro,Jorge Pizarro,Jorge Pizarro,Jorge Pizarro,Jorge Pizarro,Jorge Pizarro,Jorge Pizarro,,,male,1952-04-21,Jorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5749863,Carlos Bombal,Carlos Bombal,,,Carlos Bombal,Carlos Bombal,Carlos Bombal,Carlos Bombal,Carlos Bombal,Carlos Bombal,,Carlos Bombal,,https://upload.wikimedia.org/wikipedia/commons/3/36/Carlos_Bombal_Otaegui.jpg,male,1950-11-26,Carlos,Carlos Bombal,,,,,,,,,,,,,,,,,,,,,,,,Carlos Bombal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q975427,Juan Carlos Latorre,Juan Carlos Latorre,Juan Carlos Latorre,Juan Carlos Latorre,Juan Carlos Latorre,Juan Carlos Latorre,Juan Carlos Latorre,Juan Carlos Latorre,Juan Carlos Latorre,Juan Carlos Latorre,Juan Carlos Latorre,Juan Carlos Latorre,,https://upload.wikimedia.org/wikipedia/commons/4/49/Juan_Carlos_Latorre_Carmona.jpg,male,1949-03-25,Juan,Juan Carlos Latorre,,,,,,,,,,,,Juan Carlos Latorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6165635,Víctor Manuel Rebolledo,Víctor Manuel Rebolledo,,,,,,,,Víctor Manuel Rebolledo,,Víctor Manuel Rebolledo,,,male,1949-06-06,Víctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5658359,Adriana Muñoz,Adriana Muñoz,,,,,,,,Adriana Muñoz,,Adriana Muñoz,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Adriana_Muñoz_D'Albora.jpg,female,1948-09-25,Adriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5935636,Jorge Molina Valdivieso,Jorge Molina Valdivieso,,,,,,,,Jorge Molina Valdivieso,,Jorge Molina Valdivieso,,,male,1932-02-16,Jorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5492224,Vicente Sota,Vicente Sota,,Vicente Sota,,,,,,Vicente Sota,,Vicente Sota,,,male,1924-04-28,Vicente,Vicente Sota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5943992,José Miguel Ortiz,José Miguel Ortiz,,,,,,,,José Miguel Ortiz,,José Miguel Ortiz,,,male,1941-11-25,José,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6125560,Sergio Ojeda,Sergio Ojeda,,Sergio Ojeda,,,,,,Sergio Ojeda,,Sergio Ojeda,,https://upload.wikimedia.org/wikipedia/commons/f/f1/Sergio_Ojeda_Uribe.jpg,male,1943-03-12,Sergio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6165391,Víctor Barrueto,Víctor Barrueto,,,,,,,,Víctor Barrueto,,Víctor Barrueto,,,male,1953-07-01,Víctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5752094,Carlos Vilches Guzmán,Carlos Vilches Guzmán,,,,,,,,Carlos Vilches Guzmán,,Carlos Vilches Guzmán,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Carlos_Alfredo_Vilches.jpg,male,1944-10-20,Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5998739,Mario Hamuy Berr,Mario Hamuy Berr,,,,,,,,Mario Hamuy Berr,,Mario Hamuy Berr,,,male,1926-08-10,Mario,,,,,,2011-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5752011,Carlos Valcarce,Carlos Valcarce,,Carlos Valcarce,,,,,,Carlos Valcarce,,Carlos Valcarce,,,male,1950-04-26,Carlos,Carlos Valcarce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5854757,Mario Palestro,Mario Palestro,,Mario Palestro,,,,,,Mario Palestro,,Mario Palestro,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Mario_Palestro.jpg,male,1921-12-02,Mario,Mario Palestro,,7022849,,,2000-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5983758,Luis Leblanc Valenzuela,Luis Leblanc Valenzuela,,Luis Leblanc Valenzuela,,,,,,Luis Leblanc Valenzuela,,Luis Leblanc Valenzuela,,,male,1950-04-12,Luis,Luis Leblanc Valenzuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5819095,Eduardo Cerda,Eduardo Cerda,,,,,,,,Eduardo Cerda,,Eduardo Cerda,,,male,1933-01-01,Eduardo,Eduardo Cerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5937826,José Antonio Galilea,José Antonio Galilea,,,,,,,,José Antonio Galilea,,José Antonio Galilea,,https://upload.wikimedia.org/wikipedia/commons/a/a1/José_Galilea.jpg,male,1961-11-19,José,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5850548,Eugenio Munizaga,Eugenio Munizaga,,,,,,,,Eugenio Munizaga,,Eugenio Munizaga,,,male,,Eugenio,Eugenio Munizaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5675566,Andrés Aylwin,Andrés Aylwin,,,,,,,,Andrés Aylwin,,Andrés Aylwin,,https://upload.wikimedia.org/wikipedia/commons/a/af/Andrés_Aylwin_Azócar.jpg,male,1925-06-20,Andrés,,,41700912,093369255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5750170,Carlos Dupré,Carlos Dupré,,,,,,,,Carlos Dupré,,Carlos Dupré,,,male,1944-01-12,Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6173143,Ángel Fantuzzi,Ángel Fantuzzi,,,,,,,,Ángel Fantuzzi,,Ángel Fantuzzi,,,male,1940-06-12,Ángel,,,,,,2002-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5818825,Edmundo Salas De La Fuente,Edmundo Salas De La Fuente,,Edmundo Salas De La Fuente,,,,,,Edmundo Salas De La Fuente,,Edmundo Salas de la Fuente,,,male,1935-09-09,Edmundo,Edmundo Salas de la Fuente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5698649,Antonio Horvath,Antonio Horvath,,Antonio Horvath,,,,,,Antonio Horvath,,Antonio Horvath,,,male,1950-01-03,Antonio,Antonio Horvath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6070697,Pedro Álvarez-Salamanca Büchi,Pedro Álvarez-Salamanca Büchi,,,,,,,,Pedro Álvarez-Salamanca Büchi,,Pedro Álvarez-Salamanca,,,male,1948-04-10,Pedro,,,,,,2008-09-03,,,,,,,,,,,,,,Pedro Álvarez-Salamanca Büchi,Pedro Álvarez-Salamanca Büchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6048653,Octavio Jara Wolff,Octavio Jara Wolff,,Octavio Jara Wolff,,,,,,Octavio Jara Wolff,,Octavio Jara Wolff,,,male,1944-07-22,Octavio,,,,,,2001-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q501752,Teodoro Ribera,Teodoro Ribera,,,Teodoro Ribera,Teodoro Ribera,Teodoro Ribera,Teodoro Ribera,Teodoro Ribera,Teodoro Ribera,Teodoro Ribera,Teodoro Ribera,,https://upload.wikimedia.org/wikipedia/commons/e/e0/MinistroRibera11.jpg,male,1958-05-25,Teodoro,,,,,,,,,,,,,,,,,,,,,,,,,,Տեոդորո Ռիբերա,Տեոդորո Ռիբերա,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6004266,María Maluenda,María Maluenda,,,,,,,,María Maluenda,,María Maluenda,,https://upload.wikimedia.org/wikipedia/commons/d/da/María_Adela_Maluenda_Campos.jpg,female,1920-03-06,María,,,,,,2011-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5935666,Jorge Morales Adriasola,Jorge Morales Adriasola,,Jorge Morales Adriasola,,,,,,Jorge Morales Adriasola,,Jorge Morales Adriasola,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Jorge_Morales_Adriasola.jpg,male,1931-10-02,Jorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6454275,José García Ruminot,José García Ruminot,,,,,,,,José García Ruminot,,José García Ruminot,,,male,1955-05-22,José,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6109888,Roberto Muñoz Barra,Roberto Muñoz Barra,,,,,,,,Roberto Muñoz Barra,,Roberto Muñoz Barra,,,male,1936-01-28,Roberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5925233,Jaime Naranjo,Jaime Naranjo,,,,,,,,Jaime Naranjo,,Jaime Naranjo,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Jaime_Naranjo_Ortiz.jpg,male,,Jaime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6110589,Rodolfo Seguel,Rodolfo Seguel,,Rodolfo Seguel,,,,,,Rodolfo Seguel,,Rodolfo Seguel,,,male,1953-09-20,Rodolfo,Rodolfo Seguel,,160088809,,,,,,,,,,,,,,,,,,,,,,,,,152479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
