name,wikiname,party,area,area_wikiname,notes,term
Colin King,Colin King,New Zealand National Party,Kaikōura,Kaikōura (New Zealand electorate),"Deputy-Chairperson, Education and Science Committee",50
Craig Foss,Craig Foss,New Zealand National Party,Tukituki,Tukituki (New Zealand electorate),Minister of Commerce Minister of Broadcasting Associate Minister for ACC Minister of Consumer Affairs,50
Damien O'Connor,Damien O'Connor,New Zealand Labour Party,West Coast-Tasman,West Coast-Tasman,"Spokesperson for Primary Industries, and Food Safety Deputy-Chairperson, Primary Production Committee",50
Darien Fenton,Darien Fenton,New Zealand Labour Party,List,"","Junior Whip Spokesperson for Labour, and Immigration",50
David Bennett,David Bennett (politician),New Zealand National Party,Hamilton East,Hamilton East (New Zealand electorate),"Chairperson, Transport and Industrial Relations Committee",50
David Carter,David Carter (politician),New Zealand National Party,List,"","Speaker of the House (Jan 2013 onwards) Chairperson, Business Committee (Jan 2013 onwards) Chairperson, Officers of Parliament Committee (Jan 2013 onwards) Minister of Primary Industries (until Jan 2013) Minister of Local Government (Apr 2012–Jan 2013)",50
David Clark,David Clark (New Zealand politician),New Zealand Labour Party,Dunedin North,Dunedin North (New Zealand electorate),Spokesperson for Revenue Associate Spokesperson for Tertiary Education,50
David Clendon,David Clendon,Green Party of Aotearoa New Zealand,List,"",Spokesperson for Small Business Spokesperson for Corrections and Courts Spokesperson for Tertiary Education Spokesperson for Research & Technology Spokesperson for Police Spokesperson for Commerce Spokesperson for Tourism,50
David Cunliffe,David Cunliffe,New Zealand Labour Party,New Lynn,New Lynn (New Zealand electorate),Leader of the Opposition Leader of the Labour Party Spokesperson for the Security Intelligence Service and Regional Development,50
David Parker,David Parker (New Zealand politician),New Zealand Labour Party,List,"",Deputy Leader of the Labour Party Spokesperson for Finance,50
David Shearer,David Shearer,New Zealand Labour Party,Mount Albert,Mount Albert (New Zealand electorate),"",50
Denis O'Rourke,Denis O'Rourke,New Zealand First,List,"","Spokesperson, Attorney-General Spokesperson, Christchurch Earthquake Issues Spokesperson, Civil Defence and Emergency Services Spokesperson, Constitutional Review Spokesperson, Housing Spokesperson, Justice Spokesperson, State Services Spokesperson, Transport Associate Spokesperson, Climate Change Associate Spokesperson, Economic Development Associate Spokesperson, Local Government",50
Denise Roche,Denise Roche,Green Party of Aotearoa New Zealand,List,"",Spokesperson for Industrial Relations Spokesperson for Community & Voluntary sector Spokesperson for Community Economic Development Spokesperson for Waste Spokesperson for Gambling Spokesperson for Auckland Spokesperson for State Services,50
Eric Roy,Eric Roy,New Zealand National Party,Invercargill,Invercargill (New Zealand electorate),Deputy Speaker of the House,50
Eugenie Sage,Eugenie Sage,Green Party of Aotearoa New Zealand,List,"",Spokesperson for Environment Spokesperson for Conservation Spokesperson for Water Spokesperson for Local Government Spokesperson for Christchurch Spokesperson for Land Information Spokesperson for Resource Management issues,50
Gareth Hughes,Gareth Hughes (politician),Green Party of Aotearoa New Zealand,List,"",Musterer (Party Whip) Spokesperson for Energy Spokesperson for Oceans Spokesperson for Mining (oceans) Spokesperson for ICT Spokesperson for Libraries & Archives,50
Gerry Brownlee,Gerry Brownlee,New Zealand National Party,Ilam,Ilam (New Zealand electorate),Leader of the House Minister for the Canterbury Earthquake Recovery Authority Minister of Transport Minister Responsible for the Earthquake Commission,50
Grant Robertson,Grant Robertson,New Zealand Labour Party,Wellington Central,Wellington Central (New Zealand electorate),"Spokesperson for Economic Development, Employment, Skills and Training",50
Hekia Parata,Hekia Parata,New Zealand National Party,List,"",Minister of Education Minister of Pacific Island Affairs,50
Holly Walker,Holly Walker,Green Party of Aotearoa New Zealand,List,"",Spokesperson for Housing Spokesperson for Electoral Reform Spokesperson for Children Spokesperson for Open Government Spokesperson for Arts Culture & Heritage Spokesperson for Youth & Students,50
Hone Harawira,Hone Harawira,Mana Party,Te Tai Tokerau,Te Tai Tokerau,Leader of the Mana Party,50
Iain Lees-Galloway,Iain Lees-Galloway,New Zealand Labour Party,Palmerston North,Palmerston North (New Zealand electorate),"Spokesperson for Defence, Transport Safety and Veteran's Affairs Associate Spokesperson for Health",50
Ian McKelvie,Ian McKelvie,New Zealand National Party,Rangitīkei,Rangitīkei (New Zealand electorate),"",50
Jacinda Ardern,Jacinda Ardern,New Zealand Labour Party,List,"",Spokesperson for Social Development,50
Jackie Blue,Jackie Blue,New Zealand National Party,List,"",Resigned May 2013,50
Jacqui Dean,Jacqui Dean,New Zealand National Party,Waitaki,Waitaki (New Zealand electorate),"Chairperson, Law and Order Committee",50
Jami-Lee Ross,Jami-Lee Ross,New Zealand National Party,Botany,Botany (New Zealand electorate),"Junior Whip (Third Whip) Baby of the House (Youngest MP) Deputy-Chairperson, Law and Order Committee Deputy-Chairperson, Transport and Industrial Relations Committee",50
Jan Logie,Jan Logie,Green Party of Aotearoa New Zealand,List,"",Spokesperson for Income Support Spokesperson for Immigration Spokesperson for Women Spokesperson for Pacific Island Affairs Spokesperson for Ethnic Affairs Spokesperson for Human Rights Spokesperson for Rainbow Issues (co-spokesperson) Spokesperson for Overseas Development Aid,50
Jian Yang,Jian Yang (politician),New Zealand National Party,List,"","",50
Jo Goodhew,Jo Goodhew,New Zealand National Party,Rangitata,Rangitata (New Zealand electorate),Minister for the Community and Voluntary Sector Minister for Senior Citizens Minister of Women's Affairs Associate Minister of Health Associate Minister for Primary Industries,50
Joanne Hayes,Joanne Hayes,New Zealand National Party,List,"",Entered Parliament January 2014,50
John Banks,John Banks (New Zealand politician),ACT New Zealand,Epsom,Epsom (New Zealand electorate),Minister of Regulatory Reform[34] Minister of Small Business[34] Associate Minister of Commerce[34] Associate Minister of Education[34],50
John Hayes,John Hayes (New Zealand politician),New Zealand National Party,Wairarapa,Wairarapa (New Zealand electorate),"Parliamentary Private Secretary of Foreign Affairs Chairperson, Foreign Affairs, Defence and Trade Committee",50
John Key,John Key,New Zealand National Party,Helensville,Helensville (New Zealand electorate),Prime Minister Minister of Tourism Minister Responsible for Ministerial Services Minister in Charge of the NZ Security Intelligence Service Minister in Charge of the Government Communications Security Bureau Leader of the National Party,50
Jonathan Coleman,Jonathan Coleman (politician),New Zealand National Party,Northcote,Northcote (New Zealand electorate),Minister of Defence Minister of State Services Associate Minister of Finance,50
Jonathan Young,Jonathan Young (politician),New Zealand National Party,New Plymouth,New Plymouth (New Zealand electorate),"Chairperson, Commerce Committee",50
Judith Collins,Judith Collins,New Zealand National Party,Papakura,Papakura (New Zealand electorate),Minister of Justice Minister for ACC Minister for Ethnic Affairs,50
Julie Anne Genter,Julie Anne Genter,Green Party of Aotearoa New Zealand,List,"",Spokesperson for Transport Spokesperson for Justice Spokesperson for Broadcasting,50
Kanwal Singh Bakshi,Kanwal Singh Bakshi,New Zealand National Party,List,"","",50
Kate Wilkinson,Kate Wilkinson (politician),New Zealand National Party,Waimakariri,Waimakariri (New Zealand electorate),"",50
Katrina Shanks,Katrina Shanks,New Zealand National Party,List,"",Resigned December 2013,50
Kennedy Graham,Kennedy Graham,Green Party of Aotearoa New Zealand,List,"",Spokesperson for Disarmament Spokesperson for Global Affairs Spokesperson for Climate Change Spokesperson for Trade & Foreign Investment Spokesperson for Constitutional Issues Spokesperson for Defence Spokesperson for Population,50
Kevin Hague,Kevin Hague,Green Party of Aotearoa New Zealand,List,"","Spokesperson for Health and Wellbeing Spokesperson for Commerce Spokesperson for Small Business Spokesperson for Tourism Spokesperson for Biosecurity & Customs Spokesperson for Cycling & Active Transport Spokesperson for Sport & Recreation Spokesperson for Rainbow Issues (co-spokesperson) Spokesperson for Rural Affairs; associate spokesperson on Community Economic Development, Gambling, and Community & Voluntary Sector",50
Kris Faafoi,Kris Faafoi,New Zealand Labour Party,Mana,Mana (New Zealand electorate),"Spokesperson for Police, and Customs Associate Spokesperson for Health",50
Lianne Dalziel,Lianne Dalziel,New Zealand Labour Party,Christchurch East,Christchurch East,"Spokesperson for Canterbury Earthquake Recovery, Civil Defence and Emergency Management, Earthquake Commission, and Consumer Rights and Standards Associate Spokesperson for Justice Resigned to contest Christchurch mayoralty, replaced by Poto Williams",50
Lindsay Tisch,Lindsay Tisch,New Zealand National Party,Waikato,Waikato (New Zealand electorate),Assistant Speaker of the House,50
Lockwood Smith,Lockwood Smith,New Zealand National Party,List,"",Resigned January 2013 Speaker of the House (until Jan 2013),50
Louisa Wall,Louisa Wall,New Zealand Labour Party,Manurewa,Manurewa (New Zealand electorate),"Spokesperson for Sport and Recreation, and the Community and Voluntary Sector",50
Louise Upston,Louise Upston,New Zealand National Party,Taupō,Taupō (New Zealand electorate),Senior Whip Caucus Representative to the National Board of Directors,50
Maggie Barry,Maggie Barry,New Zealand National Party,North Shore,North Shore (New Zealand electorate),"",50
Mark Mitchell,Mark Mitchell (politician),New Zealand National Party,Rodney,Rodney (New Zealand electorate),New Zealand Young Nationals Caucus Representative,50
Maryan Street,Maryan Street,New Zealand Labour Party,List,"","Spokesperson for Health, and Disarmament and Arms Control Associate Spokesperson for Foreign Affairs",50
Maurice Williamson,Maurice Williamson,New Zealand National Party,Pakuranga,Pakuranga (New Zealand electorate),Minister for Building and Construction Minister of Customs Minister for Land Information Minister of Statistics,50
Megan Woods,Megan Woods,New Zealand Labour Party,Wigram,Wigram (New Zealand electorate),Spokesperson for Youth Affairs Associate Spokesperson for Science and Innovation,50
Meka Whaitiri,Meka Whaitiri,New Zealand Labour Party,List,"","* Elected to Parliament in a by-election, replacing Parekura Horomia",50
Melissa Lee,Melissa Lee,New Zealand National Party,List,"","Parliamentary Private Secretary for Ethnic Affairs Deputy-Chairperson, Social Services Committee",50
Metiria Turei,Metiria Turei,Green Party of Aotearoa New Zealand,List,"",Co-leader of the Green Party Spokesperson for Social Equity Spokesperson for Electoral Reform Spokesperson for Māori and Treaty Issues Spokesperson for Housing Spokesperson for Children,50
Michael Woodhouse,Michael Woodhouse,New Zealand National Party,List,"",Minister of Immigration Minister for Veteran's Affairs Associate Minister of Transport,50
Mike Sabin,Mike Sabin,New Zealand National Party,Northland,Northland (New Zealand electorate),"",50
Moana Mackey,Moana Mackey,New Zealand Labour Party,List,"","Spokesperson for Energy, and Climate Change Issues",50
Mojo Mathers,Mojo Mathers,Green Party of Aotearoa New Zealand,List,"",Spokesperson for Food Spokesperson for Animal Welfare Spokesperson for Disability Issues Spokesperson for Consumer Affairs Spokesperson for Civil Defence Spokesperson for Natural Health,50
Murray McCully,Murray McCully,New Zealand National Party,East Coast Bays,East Coast Bays (New Zealand electorate),Minister of Foreign Affairs Minister for Sport and Recreation,50
Nanaia Mahuta,Nanaia Mahuta,New Zealand Labour Party,Hauraki-Waikato,Hauraki-Waikato,Spokesperson for Education Associate Spokesperson for Māori Affairs,50
Nathan Guy,Nathan Guy,New Zealand National Party,Ōtaki,Ōtaki (New Zealand electorate),Minister for Racing Minister for Primary Industries,50
Nick Smith,Nick Smith (New Zealand politician),New Zealand National Party,Nelson,Nelson (New Zealand electorate),Minister of Conservation Minister for Housing,50
Nicky Wagner,Nicky Wagner,New Zealand National Party,Christchurch Central,Christchurch Central,"Chairperson, Local Government and Environment Committee Blue Greens Caucus Representative",50
Nikki Kaye,Nikki Kaye,New Zealand National Party,Auckland Central,Auckland Central (New Zealand electorate),Minister for Food Safety Minister of Civil Defence Minister of Youth Affairs Associate Minister of Education Associate Minister of Immigration,50
Parekura Horomia,Parekura Horomia,New Zealand Labour Party,Ikaroa-Rāwhiti,Ikaroa-Rāwhiti,"Died 29 April 2013,[29] replaced by Meka Whaitiri Spokesperson for Maori Affairs, and Treaty Of Waitangi Negotiations Deputy-Chairperson, Maori Affairs Committee",50
Paul Foster-Bell,Paul Foster-Bell,New Zealand National Party,List,"",Entered Parliament May 2013,50
Paul Goldsmith,Paul Goldsmith (politician),New Zealand National Party,List,"","Chairperson, Finance and Expenditure Committee",50
Paul Hutchison,Paul Hutchison,New Zealand National Party,Hunua,Hunua (New Zealand electorate),"Chairperson, Health Committee",50
Paula Bennett,Paula Bennett,New Zealand National Party,Waitakere,Waitakere (New Zealand electorate),Minister for Social Development Associate Minister for Housing Minister of Youth Affairs (until Jan 2013),50
Peseta Sam Lotu-Iiga,Sam Lotu-Iiga,New Zealand National Party,Maungakiekie,Maungakiekie (New Zealand electorate),"Chairperson, Social Services Committee",50
Peter Dunne,Peter Dunne,United Future,Ōhariu,Ōhāriu (New Zealand electorate),Minister of Revenue[34] Associate Minister of Conservation[34] Associate Minister of Health[34] Leader of United Future Father of the House,50
Phil Goff,Phil Goff,New Zealand Labour Party,Mount Roskill,Mount Roskill (New Zealand electorate),Spokesperson for Foreign Affairs and Trade,50
Phil Heatley,Phil Heatley,New Zealand National Party,Whangarei,Whangarei (New Zealand electorate),"",50
Phil Twyford,Phil Twyford,New Zealand Labour Party,Te Atatū,Te Atatū (New Zealand electorate),Spokesperson for Transport and Auckland Issues Associate Spokesperson for the Environment,50
Pita Sharples,Pita Sharples,Māori Party,Tāmaki Makaurau,Tāmaki Makaurau,Minister for Māori Affairs Associate Minister of Education Associate Minister of Corrections Co-leader of the Maori Party,50
Poto Williams,Poto Williams,New Zealand Labour Party,List,"","* Elected to Parliament in a by-election, replacing Lianne Dalziel",50
Rajen Prasad,Rajen Prasad,New Zealand Labour Party,List,"",Spokesperson for Ethnic Affairs Associate Spokesperson for Social Development,50
Raymond Huo,Raymond Huo,New Zealand Labour Party,List,"","Spokesperson for Building and Construction, Statistics and Land Information",50
Richard Prosser,Richard Prosser,New Zealand First,List,"","Spokesperson, Agriculture Spokesperson, Biosecurity Spokesperson, Customs Spokesperson, Fisheries Spokesperson, Forestry Spokesperson, Outdoor Recreation Spokesperson, Police Associate Spokesperson, Defence Associate Spokesperson, Veterans' Affairs",50
Rino Tirikatene,Rino Tirikatene,New Zealand Labour Party,Te Tai Tonga,Te Tai Tonga,Spokesperson for Tourism,50
Ross Robertson,Ross Robertson,New Zealand Labour Party,Manukau East,Manukau East,Assistant Speaker of the House Spokesperson for Racing Associate Spokesperson for Disarmament and Arms Control (Small Arms),50
Russel Norman,Russel Norman,Green Party of Aotearoa New Zealand,List,"",Co-leader of the Green Party Spokesperson for Environment Spokesperson for Economics & Finance,50
Ruth Dyson,Ruth Dyson,New Zealand Labour Party,Port Hills,Port Hills (New Zealand electorate),"Spokesperson for Conservation, Internal Affairs and Senior Citizens Chairperson, Government Administration Committee",50
Scott Simpson,Scott Simpson (politician),New Zealand National Party,Coromandel,Coromandel (New Zealand electorate),"",50
Shane Ardern,Shane Ardern,New Zealand National Party,Taranaki-King Country,Taranaki-King Country,"Chairperson, Primary Production Committee",50
Simon Bridges,Simon Bridges,New Zealand National Party,Tauranga,Tauranga (New Zealand electorate),Minister of Labour Minister for Energy and Resources Associate Minister for Climate Change Issues,50
Simon O'Connor,Simon O'Connor,New Zealand National Party,Tāmaki,Tāmaki (New Zealand electorate),"",50
Steffan Browning,Steffan Browning,Green Party of Aotearoa New Zealand,List,"",Spokesperson for Agriculture Spokesperson for Fisheries Spokesperson for Organics Spokesperson for GE Spokesperson for Forestry Spokesperson for Biosecurity & Customs Spokesperson for Security & Intelligence,50
Steven Joyce,Steven Joyce,New Zealand National Party,List,"","Minister for Economic Development Minister of Science and Innovation Minister for Tertiary Education, Skills and Employment Associate Minister of Finance",50
Sue Moroney,Sue Moroney,New Zealand Labour Party,List,"","Spokesperson for Early Childhood Education, and Women's Affairs",50
Tariana Turia,Tariana Turia,Māori Party,Te Tai Hauāuru,Te Tai Hauāuru,"Minister for Disability Issues [33] Minister Responsible for Whānau Ora [33] Associate Minister of Health [33] Associate Minister of Housing [33] Associate Minister for Social Development [27] Associate Minister for Tertiary Education, Skills and Employment [27] Co-leader of the Maori Party",50
Tau Henare,Tau Henare,New Zealand National Party,List,"","Chairperson, Maori Affairs Committee",50
Te Ururoa Flavell,Te Ururoa Flavell,Māori Party,Waiāriki,Waiāriki,"",50
Tim Groser,Tim Groser,New Zealand National Party,List,"",Minister of Trade Minister Responsible for International Climate Change Negotiations Minister for Climate Change Issues Associate Minister of Foreign Affairs,50
Tim Macindoe,Tim Macindoe,New Zealand National Party,Hamilton West,Hamilton West (New Zealand electorate),"Junior Whip Chairperson, Justice and Electoral Committee",50
Todd McClay,Todd McClay,New Zealand National Party,Rotorua,Rotorua (New Zealand electorate),Minister of Revenue Associate Minister of Health,50
Tony Ryall,Tony Ryall,New Zealand National Party,Bay of Plenty,Bay of Plenty (New Zealand electorate),Minister of Health Minister for State Owned Enterprises,50
Tracey Martin,Tracey Martin,New Zealand First,List,"","Spokesperson, Arts, Culture and Heritage Spokesperson, Communications and IT Spokesperson, Education Spokesperson, Research, Science and Technology (including CRIs) Spokesperson, Women's Affairs Spokesperson, Youth Affairs",50
Trevor Mallard,Trevor Mallard,New Zealand Labour Party,Hutt South,Hutt South,Shadow Leader of the House Spokesperson for the America's Cup Associate Spokesperson for Finance,50
William Sio,William Sio,New Zealand Labour Party,Mangere,Māngere (New Zealand electorate),"Spokesperson for Employment, Pacific Island Affairs, and Inter-Faith Dialogue Associate Spokesperson for Foreign Affairs",50
Winston Peters,Winston Peters,New Zealand First,List,"","Leader of New Zealand First Spokesperson, Broadcasting Spokesperson, Climate Change Spokesperson, Defence Spokesperson, Economic Development Spokesperson, Finance Spokesperson, Foreign Affairs Spokesperson, Immigration Spokesperson, Maori Affairs Spokesperson, Racing Spokesperson, Security Issues Spokesperson, Senior Citizens Spokesperson, State Owned Enterprises Spokesperson, Trade Spokesperson, Treaty of Waitangi Issues",50
