id,name__en,name__es,name__nl,name__fr,name__de,name__nb,name__da,name__nn,name__sv,name__ru,name__zh,name__hu,name,wikipedia__en,wikipedia__zh,gender,birth_date,given_name,original_wikiname,name__pl,wikipedia__pl,image,family_name,name__cs,wikipedia__commons,wikipedia__cswikiquote,wikipedia__enwikiquote,wikipedia__enwikisource,identifier__VIAF,identifier__NLAtrove,wikipedia__de,name__it,website,twitter,wikipedia__fr,name__zh_hant,name__zh_cn,wikipedia__ru,identifier__IMDB,name__el,identifier__ISNI,identifier__LCAuth,identifier__SUDOC,identifier__NLA,identifier__FAST,wikipedia__nl,identifier__freebase,name__vep,wikipedia__vep,name__vi,wikipedia__vi,wikipedia__it,wikipedia__sv,identifier__IIAF,name__ar,wikipedia__ar,wikipedia__simple,name__fa,wikipedia__fa,name__pt,wikipedia__pt,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__ko,name__id,wikipedia__id,wikipedia__ko,name__fi,wikipedia__fi,facebook,death_date,name__la,name__ja,name__ca,name__oc,name__en_gb,name__mg,wikipedia__ja,wikipedia__la,wikipedia__mg,wikipedia__plwikiquote,identifier__MusicBrainz,wikipedia__cs,wikipedia__es
Q16193816,Janet Rice,,,Janet Rice,Janet Rice,,,,,,,,Janet Rice,Janet Rice,,female,1960-11-18,Janet,Janet Rice,,,https://upload.wikimedia.org/wikipedia/commons/f/f7/Janet_Rice.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16202391,Matthew Canavan,,Matthew Canavan,Matthew Canavan,Matthew Canavan,,,,,,馬修·卡納萬,,Matthew Canavan,Matthew Canavan,馬修·卡納萬,male,1980-12-17,Matthew,Matthew Canavan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16206062,Sam Dastyari,,Sam Dastyari,Sam Dastyari,Sam Dastyari,,,,,,,,Sam Dastyari,Sam Dastyari,,male,1983-07-28,Sam,Sam Dastyari,,,https://upload.wikimedia.org/wikipedia/commons/2/20/Senator_Sam_Dastyari_March_2014.jpg,,,,,,,,,,,,samdastyari,,,,,,,,,,,,,,,,,,,,,,,,سام دستیاری,سام دستیاری,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16213376,David Feeney,,David Feeney,David Feeney,David Feeney,,,,,,,,David Feeney,David Feeney,,male,1970-03-05,David,David Feeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16215128,Mehmet Tillem,,Mehmet Tillem,Mehmet Tillem,Mehmet Tillem,,,,,,,,Mehmet Tillem,Mehmet Tillem,,male,1974-09-10,Mehmet,Mehmet Tillem,,,,,,,,,,,1537812,,Mehmet Tillem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16239978,Zhenya Wang,,Zhenya Wang,Zhenya Wang,Zhenya Wang,,,,,,王振亞,,Zhenya Wang,Zhenya Wang,王振亞,male,1981-01-20,,Zhenya Wang,,,,,,,,,,,,,,,SenatorZWang,,王振亚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1639334,Kim Carr,Kim Carr,Kim Carr,Kim Carr,Kim Carr,,,,,,金·卡爾,Kim Carr,Kim Carr,Kim Carr,金·卡爾,male,1955-07-02,Kim,Kim Carr,Kim Carr,Kim Carr,https://upload.wikimedia.org/wikipedia/commons/c/cd/080040_-_015_Sen_Kim_Carr_24_Jan_08.jpg,,,,,,,,,Kim Carr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16727734,Joe Bullock,,Joe Bullock,Joe Bullock,Joe Bullock,,,,,,喬·布羅克,,Joe Bullock,Joe Bullock,喬·布羅克,male,1955-04-13,Joe,Joe Bullock,,,,,,,,,,,1537778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731201,Jacqui Lambie,,Jacqui Lambie,Jacqui Lambie,Jacqui Lambie,,,,,,,,Jacqui Lambie,Jacqui Lambie,,female,1971-02-26,Jacqui,Jacqui Lambie,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Memorial-unveilings-Burnie-20150331-001-crop.jpg,,,,,,,315535241,,,,http://senatorlambie.com.au/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732210,Jenny McAllister,,Jenny McAllister,Jenny McAllister,Jenny McAllister,,,,,,,,Jenny McAllister,Jenny McAllister,,female,1973-07-04,Jenny,Jenny McAllister,,,,,,,,,,,,,,,jennymcallister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jennymcallisteralp,,,,,,,,,,,,,,
Q16732314,James McGrath,,James McGrath,James McGrath,James McGrath,,,,,,詹姆士·麥克格拉斯,,James McGrath,James McGrath (Australian politician),詹姆士·麥克格拉斯,male,1974-05-14,James,James McGrath (Australian politician),,,https://upload.wikimedia.org/wikipedia/commons/0/01/Malcolm_Turnbull_at_the_Pentagon_2016_cropped.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732967,Ricky Muir,,,Ricky Muir,,,,,,,里奇·繆爾,,Ricky Muir,Ricky Muir,里奇·繆爾,male,1980,Ricky,Ricky Muir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16735152,Linda Reynolds,,Linda Reynolds,Linda Reynolds,Linda Reynolds,,,,,,,,Linda Reynolds,Linda Reynolds,,female,1965-05-16,Linda,Linda Reynolds,,,,,,,,,,,,,,http://www.lindareynolds.com.au/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17285485,Chris Ketter,,Chris Ketter,Chris Ketter,Chris Ketter,,,,,,克里斯·科特,,Chris Ketter,Chris Ketter,克里斯·科特,male,1961-02-12,Chris,Chris Ketter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1813692,Mathias Cormann,Mathias Cormann,Mathias Cormann,Mathias Cormann,Mathias Cormann,Mathias Cormann,Mathias Cormann,Mathias Cormann,Mathias Cormann,,馬提亞斯·科爾曼,Mathias Cormann,Mathias Cormann,Mathias Cormann,馬提亞斯·科爾曼,male,1970-09-20,Mathias,Mathias Cormann,Mathias Cormann,Mathias Cormann,https://upload.wikimedia.org/wikipedia/commons/3/30/MathiasCormann.jpg,,,,,,Author:Mathias Cormann,,,,,,,Mathias Cormann,,,,,,,,,,,Mathias Cormann,/m/02q_wlk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q186010,Richard Di Natale,Richard Di Natale,Richard Di Natale,Richard Di Natale,Richard Di Natale,Richard Di Natale,Richard Di Natale,Richard Di Natale,Richard Di Natale,,里察·迪納塔萊,Richard Di Natale,Richard Di Natale,Richard Di Natale,里察·迪納塔萊,male,1970-06-06,Richard,Richard Di Natale,,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Richard_Di_Natale.jpg,,,Category:Richard Di Natale,,,,,1537804,Richard Di Natale,,,RichardDiNatale,Richard Di Natale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1872184,Louise Pratt,Louise Pratt,Louise Pratt,Louise Pratt,Louise Pratt,,,,,,,Louise Pratt,Louise Pratt,Louise Pratt,,female,1972-04-18,Louise,Louise Pratt,,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Louise_Pratt_shark_rally_crop.png,,,,,,,305105021,,Louise Pratt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20983383,Joanna Lindgren,,,,,,,,,,,,Joanna Lindgren,Joanna Lindgren,,female,1969-12-05,Joanna,Joanna Lindgren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21066567,Robert Simms,,,Robert Simms,,,,,,,羅伯特·西姆斯,,Robert Simms,Robert Simms (politician),羅伯特·西姆斯,male,1984-03-26,Robert,Robert Simms (politician),,,https://upload.wikimedia.org/wikipedia/commons/b/b1/Robert_Simms.jpg,,,,,,,,,,,http://robertsimms.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2125232,Rachel Siewert,Rachel Siewert,Rachel Siewert,Rachel Siewert,Rachel Siewert,Rachel Siewert,Rachel Siewert,Rachel Siewert,Rachel Siewert,,,Rachel Siewert,Rachel Siewert,Rachel Siewert,,female,1961-11-04,Rachel,Rachel Siewert,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Rachel_Siewert_profile.png,,,Category:Rachel Siewert,,,,93778979,,Rachel Siewert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2224379,Sarah Hanson-Young,Sarah Hanson-Young,Sarah Hanson-Young,Sarah Hanson-Young,Sarah Hanson-Young,,,,,,,,Sarah Hanson-Young,Sarah Hanson-Young,,female,1981-12-23,Sarah,Sarah Hanson-Young,,,https://upload.wikimedia.org/wikipedia/commons/e/e2/Sarah_Hanson-Young_Headshot.jpg,,,,,,,,,Sarah Hanson-Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2260949,Scott Ludlam,Scott Ludlam,Scott Ludlam,Scott Ludlam,Scott Ludlam,,,,,"Ладлэм, Скотт",斯科特·勒德倫,,Scott Ludlam,Scott Ludlam,斯科特·勒德倫,male,1970-01-10,Scott,Scott Ludlam,,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Scott_Ludlam_2011_(cropped).jpg,,,,,,,,1471504,Scott Ludlam,,,,,,,"Ладлэм, Скотт",nm6059828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23016290,James Paterson,,,James Paterson,,,,,,,,,James Paterson,James Paterson (Australian politician),,male,1987-11-21,James,James Paterson (Australian politician),,,,,,,,,,,,,,,SenPaterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2344980,Stephen Conroy,Stephen Conroy,Stephen Conroy,Stephen Conroy,Stephen Michael Conroy,Stephen Conroy,Stephen Conroy,Stephen Conroy,Stephen Conroy,,斯蒂芬·康洛伊,Stephen Conroy,Stephen Conroy,Stephen Conroy,斯蒂芬·康洛伊,male,1963-01-18,Stephen,Stephen Conroy,Stephen Conroy,Stephen Conroy,https://upload.wikimedia.org/wikipedia/commons/b/b8/StephenConroy.jpg,,,,,,,,,Stephen Michael Conroy,,,,,,,,,,,,,,,,/m/03xnyc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24598,Bob Brown,Bob Brown,Bob Brown,Bob Brown,Bob Brown,Bob Brown,Bob Brown,Bob Brown,Bob Brown,"Браун, Роберт Джеймс",鮑伯·布朗,Bob Brown,Bob Brown,Bob Brown,鮑伯·布朗,male,1944-12-27,Bob,Bob Brown,Bob Brown,Bob Brown,https://upload.wikimedia.org/wikipedia/commons/c/c3/BobBrown3.png,Brown,,Bob Brown,,,,72558568,,Bob Brown,Bob Brown,,,Bob Brown (homme politique australien),,,"Браун, Роберт Джеймс",,Μπομπ Μπράουν,0000 0000 8152 886X,n84084102,,,130282,,/m/01yx5t,,,,,,,,,,Bob Brown,باب براون,,,,,,,,밥 브라운,,,,Bob Brown,Bob Brown,,,Robertus Iacobus Brown,ボブ・ブラウン,Bob Brown,Bob Brown,Bob Brown,Bob Brown,ボブ・ブラウン,Robertus Iacobus Brown,Bob Brown,Bob Brown,75523026-f144-4380-8b1a-46a4484e07c7,,
Q3108804,Glenn Lazarus,Glenn Lazarus,Glenn Lazarus,Glenn Lazarus,Glenn Lazarus,,,,,,格倫·拉扎勒斯,,Glenn Lazarus,Glenn Lazarus,格倫·拉扎勒斯,male,1965-12-11,Glenn,Glenn Lazarus,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Glenn_Lazarus.jpg,,,,,,,,,,,,,Glenn Lazarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3566032,Nova Peris,Nova Peris,Nova Peris,Nova Peris,Nova Peris,Nova Peris,Nova Peris,Nova Peris,Nova Peris-Kneebone,,,Nova Peris,Nova Peris,Nova Peris,,female,1971-02-25,,Nova Peris,Nova Peris-Kneebone,Nova Peris-Kneebone,,,,,,,,78293469,,Nova Peris,Nova Peris,,,Nova Peris,,,,nm2205814,,,,,,1585902,,/m/03wn4q,,,,,Nova Peris,Nova Peris,130374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q379072,Judith Adams,Judith Adams,Judith Adams,Judith Adams,Judith Adams,,,,,Джудит Адамс,,,Judith Adams,Judith Adams,,female,1943-04-11,Judith,Judith Adams,Judith Adams,Judith Adams,,,,,,,,,,,Judith Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-31,,,,,,,,,,,,,
Q4354299,Cory Bernardi,Cory Bernardi,Cory Bernardi,Cory Bernardi,Cory Bernardi,,,,,,科里·伯爾納迪,Cory Bernardi,Cory Bernardi,Cory Bernardi,科里·伯爾納迪,male,1969-11-06,Cory,Cory Bernardi,Cory Bernardi,Cory Bernardi,https://upload.wikimedia.org/wikipedia/commons/3/35/Cory_Bernardi_crop.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cory Bernardi,Cory Bernardi,,,,,,,,,,,,,,,
Q456759,Penny Wong,Penny Wong,Penny Wong,Penny Wong,Penny Wong,,,,,,黄英贤,Penny Wong,Penny Wong,Penny Wong,黄英贤,female,1968-11-05,Penny,Penny Wong,Penny Wong,Penny Wong,https://upload.wikimedia.org/wikipedia/commons/c/cb/PennyWongCrop.jpg,,,,,,,,,Penny Wong,,http://www.pennywong.com.au/,,Penny Wong,黃英賢,黄英贤,,,,,,,,,,/m/03tfhc,,,,,,,,,,Penny Wong,,,,,黄英贤,黃英賢,黄英贤,黃英賢,페니 웡,Penny Wong,Penny Wong,페니 웡,,,,,,,,,,,,,,,,,
Q463507,Katy Gallagher,Katy Gallagher,Katy Gallagher,Katy Gallagher,Katy Gallagher,Katy Gallagher,Katy Gallagher,Katy Gallagher,Katy Gallagher,Кэти Галлахер,,Katy Gallagher,Katy Gallagher,Katy Gallagher,,female,1970-03-17,Katy,Katy Gallagher,Katy Gallagher,Katy Gallagher,https://upload.wikimedia.org/wikipedia/commons/9/98/Katy_Gallagher.jpg,,,,,,,,738073,Katy Gallagher,,http://www.katygallagher.net/,SenKatyG,Katy Gallagher,,,,,,,,,,,,/m/0545sv,Gallaher Keti,Gallaher Keti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q466003,John Faulkner,John Faulkner,John Faulkner,John Faulkner,John Faulkner,,,,,,約翰·福克納,John Faulkner,John Faulkner,John Faulkner,約翰·福克納,male,1954-04-12,John,John Faulkner,John Faulkner,John Faulkner,https://upload.wikimedia.org/wikipedia/commons/5/5e/John_Faulkner_Jan_2010.jpg,,,,,,,7051694,,John Faulkner,,,,John Faulkner,,,,,,,no2002004179,,,,,/m/04mw8y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q466583,Chris Evans,Chris Evans,Chris Evans,Chris Evans,Christopher Evans,Chris Evans,Chris Evans,Chris Evans,Chris Evans,Крис Эванс,,Chris Evans,Chris Evans,Chris Evans (Australian politician),,male,1958-05-14,Christopher,Chris Evans (Australian politician),Chris Evans,Chris Evans (polityk),,,,,,,,,,Christopher Evans (Politiker),,,,Chris Evans (homme politique australien),,,,,,,,,,,,/m/06mhpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4706579,Alan Eggleston,Alan Eggleston,Alan Eggleston,Alan Eggleston,Alan Eggleston,,,,,,,Alan Eggleston,Alan Eggleston,Alan Eggleston,,male,1941-12-30,Alan,Alan Eggleston,,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Alan_Eggleston.JPG,,,,,,,,,,Alan Eggleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4717023,Alex Gallacher,,Alex Gallacher,Alex Gallacher,Alex Gallacher,,,,,,亞歷山大·加拉徹,,Alex Gallacher,Alex Gallacher,亞歷山大·加拉徹,male,1954-01-01,Alex,Alex Gallacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q475045,Helen Coonan,Helen Coonan,Helen Coonan,Helen Coonan,Helen Coonan,Helen Coonan,Helen Coonan,Helen Coonan,Helen Coonan,,海倫·庫南,Helen Coonan,Helen Coonan,Helen Coonan,海倫·庫南,female,1947-10-29,Helen,Helen Coonan,Helen Coonan,Helen Coonan,https://upload.wikimedia.org/wikipedia/commons/9/97/Helen_Coonan.jpg,,,,,,,,,Helen Coonan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4768636,Anne McEwen,Anne McEwen,Anne McEwen,Anne McEwen,Anne McEwen,,,,,,,Anne McEwen,Anne McEwen,Anne McEwen (politician),,female,1954-08-03,Anne,Anne McEwen (politician),,,https://upload.wikimedia.org/wikipedia/commons/9/99/Senator_Anne_McEwen_2008.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4768766,Anne Ruston,,Anne Ruston,Anne Ruston,Anne Ruston,,,,,,,,Anne Ruston,Anne Ruston,,female,1963-06-10,Anne,Anne Ruston,,,,,,,,,,,,,Anne Ruston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4768857,Anne Urquhart,,Anne Urquhart,Anne Urquhart,Anne Urquhart,,,,,,,,Anne Urquhart,Anne Urquhart,,female,1957-10-18,Anne,Anne Urquhart,,,,,,,,,,,1476828,,Anne Urquhart,,,,,,,,,,,,,,,,,,,,,,,آن أوركهارت,آن أوركهارت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4800293,Arthur Sinodinos,,Arthur Sinodinos,Arthur Sinodinos,Arthur Sinodinos,,,,,,亞瑟·斯諾蒂諾斯,,Arthur Sinodinos,Arthur Sinodinos,亞瑟·斯諾蒂諾斯,male,1957-02-25,Arthur,Arthur Sinodinos,Arthur Sinodinos,Arthur Sinodinos,,,,,,,,,1537761,,Arthur Sinodinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4861362,Barnaby Joyce,Barnaby Joyce,Barnaby Joyce,Barnaby Joyce,Barnaby Joyce,,,,,,巴納比·喬伊斯,Barnaby Joyce,Barnaby Joyce,Barnaby Joyce,巴納比·喬伊斯,male,1967-04-17,,Barnaby Joyce,Barnaby Joyce,Barnaby Joyce,https://upload.wikimedia.org/wikipedia/commons/9/96/Senator_Barnaby_Joyce.jpg,,,Category:Barnaby Joyce,,,,,,,,,,Barnaby Joyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4909373,Bill Heffernan,Bill Heffernan,Bill Heffernan,Bill Heffernan,Bill Heffernan,,,,,,,,Bill Heffernan,Bill Heffernan,,male,1943-03-03,Bill,Bill Heffernan,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Senator_Bill_Heffernan.jpg,,,,,,,94985805,,,Bill Heffernan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4932238,Bob Day,,Bob Day,Bob Day,Bob Day,,,,,,鮑勃·戴伊,,Bob Day,Bob Day,鮑勃·戴伊,male,1952-07-05,Bob,Bob Day,,,,Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4962278,Brett Mason,Brett Mason,Brett Mason,Brett Mason,Brett Mason,,,,,,布雷特·馬森,,Brett Mason,Brett Mason,布雷特·馬森,male,1962-03-15,Brett,Brett Mason,,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Brett_Mason.jpg,,,,,,,,,,Brett Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4966734,Bridget McKenzie,,Bridget McKenzie,Bridget McKenzie,Bridget McKenzie,,,,,,,,Bridget McKenzie,Bridget McKenzie,,female,1969-12-27,Bridget,Bridget McKenzie,,,https://upload.wikimedia.org/wikipedia/commons/7/71/Bridget_McKenzie.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5044273,Carol Brown,Carol Brown,Carol Brown,Carol Brown,Carol Brown,,,,,,,Carol Brown,Carol Brown,Carol Brown (politician),,female,1963-07-19,Carol,Carol Brown (politician),,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5053981,Catryna Bilyk,,Catryna Bilyk,Catryna Bilyk,Catryna Bilyk,,,,,,,,Catryna Bilyk,Catryna Bilyk,,female,1959-02-07,,Catryna Bilyk,,,,,,,,,,,783304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5105780,Chris Back,Chris Back,Chris Back,Chris Back,Chris Back,,,,,,克里斯·拜克,Chris Back,Chris Back,Chris Back,克里斯·拜克,male,1950-02-11,Chris,Chris Back,,,https://upload.wikimedia.org/wikipedia/commons/4/4b/Senator_Dr_Chris_Back.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
