id,name,sort_name,given_name,family_name,area,party,source,identifier__aph,email,website,facebook,twitter,start_date,end_date,term,wikipedia,wikipedia_name,identifier__openaustralia
I0U,Sarah Hanson-Young,"Hanson-Young, Sarah",Sarah,Hanson-Young,SA,Australian Greens,http://data.openaustralia.org/members/senators.xml,I0U,senator.hanson-young@aph.gov.au,"","","",2013-09-07,,44,,,10711
G1N,Helen Kroger,"Kroger, Helen",Helen,Kroger,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,G1N,"","","","",2013-09-07,2014-06-30,44,,,10712
I07,Scott Ludlam,"Ludlam, Scott",Scott,Ludlam,WA,Australian Greens,http://data.openaustralia.org/members/senators.xml,I07,senator.ludlam@aph.gov.au,"","","",2013-09-07,,44,,,10713
I0T,Louise Pratt,"Pratt, Louise",Louise,Pratt,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,I0T,"","","","",2013-09-07,2014-06-30,44,,,10714
I0Q,Scott Ryan,"Ryan, Scott",Scott,Ryan,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,I0Q,"",http://www.scottryan.com.au,"","",2013-09-07,,44,,,10715
I0V,John Williams,"Williams, John",John,Williams,NSW,National Party,http://data.openaustralia.org/members/senators.xml,I0V,"",http://www.johnwilliams.com.au/,"","",2013-09-07,,44,,,10716
8IV,Nick Xenophon,"Xenophon, Nick",Nick,Xenophon,SA,Independent,http://data.openaustralia.org/members/senators.xml,8IV,senator.xenophon@aph.gov.au,http://www.nickxenophon.com.au,"","",2013-09-07,,44,,,10717
J7Q,Christopher Back,"Back, Christopher",Christopher,Back,WA,Liberal Party,http://data.openaustralia.org/members/senators.xml,J7Q,"","","","",2013-09-07,,44,,,10722
140651,Deborah O'Neill,"O'Neill, Deborah",Deborah,O'Neill,NSW,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,140651,"","","","",2013-11-13,,44,,,10747
53369,Richard Di Natale,"Di Natale, Richard",Richard,Di Natale,Victoria,Australian Greens,http://data.openaustralia.org/members/senators.xml,53369,senator.dinatale@aph.gov.au,"",http://www.facebook.com/SenatorDiNatale,http://www.twitter.com/RichardDiNatale,2013-09-07,,44,,,10755
225307,Sean Edwards,"Edwards, Sean",Sean,Edwards,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,225307,senator.edwards@aph.gov.au,http://www.senatoredwards.com.au/Home.aspx,https://www.facebook.com/Sean.Edwards.Clare,https://twitter.com/SeanC_Edwards,2013-09-07,,44,,,10756
204953,Alex Gallacher,"Gallacher, Alex",Alex,Gallacher,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,204953,senator.gallacher@aph.gov.au,"","","",2013-09-07,,44,,,10757
207825,Bridget McKenzie,"McKenzie, Bridget",Bridget,McKenzie,Victoria,National Party,http://data.openaustralia.org/members/senators.xml,207825,senator.mckenzie@aph.gov.au,"","","",2013-09-07,,44,,,10758
217571,John Madigan,"Madigan, John",John,Madigan,Victoria,Democratic Labor Party,http://data.openaustralia.org/members/senators.xml,217571,senator.madigan@aph.gov.au,"","","",2013-09-07,2014-09-04,44,,,10759
217571,John Madigan,"Madigan, John",John,Madigan,Victoria,Independent,http://data.openaustralia.org/members/senators.xml,217571,senator.madigan@aph.gov.au,"","","",2014-09-04,,44,,,10759
CPR,Lee Rhiannon,"Rhiannon, Lee",Lee,Rhiannon,NSW,Australian Greens,http://data.openaustralia.org/members/senators.xml,CPR,senator.rhiannon@aph.gov.au,"","","",2013-09-07,,44,,,10760
M0R,Lisa Singh,"Singh, Lisa",Lisa,Singh,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,M0R,senator.singh@aph.gov.au,http://www.lisasingh.com.au/main/,"","",2013-09-07,,44,,,10761
231199,Anne Urquhart,"Urquhart, Anne",Anne,Urquhart,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,231199,senator.urquhart@aph.gov.au,http://anneurquhart.com.au/,"","",2013-09-07,,44,,,10763
192970,Larissa Waters,"Waters, Larissa",Larissa,Waters,Queensland,Australian Greens,http://data.openaustralia.org/members/senators.xml,192970,senator.waters@aph.gov.au,"",https://www.facebook.com/larissawaters,https://twitter.com/larissawaters,2013-09-07,,44,,,10764
bv7,Arthur Sinodinos,"Sinodinos, Arthur",Arthur,Sinodinos,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,bv7,senator.sinodinos@aph.gov.au,http://www.arthursinodinos.com.au/,"","",2013-09-07,,44,,,10766
,Bob Carr,"Carr, Bob",Bob,Carr,NSW,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,,,,,,2013-09-07,2013-10-24,44,,,10767
241710,Dean Smith,"Smith, Dean",Dean,Smith,WA,Liberal Party,http://data.openaustralia.org/members/senators.xml,241710,senator.smith@aph.gov.au,http://www.deansmithwa.com.au/,"","",2013-09-07,,44,,,10768
183342,Lin Thorp,"Thorp, Lin",Lin,Thorp,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,183342,senator.thorp@aph.gov.au,"","","",2013-09-07,2014-06-30,44,,,10769
195565,Peter Whish-Wilson,"Whish-Wilson, Peter",Peter,Whish-Wilson,Tasmania,Australian Greens,http://data.openaustralia.org/members/senators.xml,195565,senator.whish-wilson@aph.gov.au,"",http://www.facebook.com/senator.peter.whish.wilson?fref=ts,https://twitter.com/SenatorSurfer,2013-09-07,,44,,,10780
243273,Anne Ruston,"Ruston, Anne",Anne,Ruston,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,243273,"","","","",2013-09-07,,44,,,10781
112096,Sue Lines,"Lines, Sue",Sue,Lines,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,112096,"","","","",2013-09-07,,44,,,10782
225099,Sam Dastyari,"Dastyari, Sam",Sam,Dastyari,NSW,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,225099,senator.dastyari@aph.gov.au,"","","",2013-09-07,,44,,,10819
CDK,Nova Peris,"Peris, Nova",Nova,Peris,NT,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,CDK,"","","","",2013-09-07,,44,,,10820
249499,Mehmet Tillem,"Tillem, Mehmet",Mehmet,Tillem,Victoria,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,249499,"","","","",2013-09-07,2014-06-30,44,,,10821
HZE,Zed Seselja,"Seselja, Zed",Zed,Seselja,ACT,Liberal Party,http://data.openaustralia.org/members/senators.xml,HZE,senator.seselja@aph.gov.au,"",https://www.facebook.com/zed.seselja,https://twitter.com/zedseselja,2013-09-07,,44,,,10822
247871,Barry O'Sullivan,"O'Sullivan, Barry",Barry,O'Sullivan,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,247871,"","","","",2014-02-11,,44,,,10824
243237,Joe Bullock,"Bullock, Joe",Joe,Bullock,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,243237,senator.bullock@aph.gov.au,"","","",2014-07-01,2016-04-13,44,,,10826
245212,Matthew Canavan,"Canavan, Matthew",Matthew,Canavan,Queensland,Liberal National Party,http://data.openaustralia.org/members/senators.xml,245212,minister.canavan@industry.gov.au,http://www.minister.industry.gov.au/ministers/canavan,"","",2014-07-01,,44,,,10827
HYG,Bob Day,"Day, Bob",Bob,Day,SA,Family First Party,http://data.openaustralia.org/members/senators.xml,HYG,senator.day@aph.gov.au,http://www.senatorbobday.com.au,http://www.facebook.com/pages/Senator-Bob-Day/545522605573696,http://www.twitter.com/senatorbobday,2014-07-01,,44,,,10828
244247,Chris Ketter,"Ketter, Chris",Chris,Ketter,Queensland,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,244247,"","","","",2014-07-01,,44,,,10829
250026,Jacqui Lambie,"Lambie, Jacqui",Jacqui,Lambie,Tasmania,Palmer United Party,http://data.openaustralia.org/members/senators.xml,250026,"","","","",2014-07-01,2014-11-23,44,,,10830
250026,Jacqui Lambie,"Lambie, Jacqui",Jacqui,Lambie,Tasmania,Independent,http://data.openaustralia.org/members/senators.xml,250026,"","","","",2014-11-24,,44,,,10830
108616,Glenn Lazarus,"Lazarus, Glenn",Glenn,Lazarus,Queensland,Palmer United Party,http://data.openaustralia.org/members/senators.xml,108616,"",http://senatorlazarus.com/,"","",2014-07-01,2015-03-12,44,,,10831
108616,Glenn Lazarus,"Lazarus, Glenn",Glenn,Lazarus,Queensland,Independent,http://data.openaustralia.org/members/senators.xml,108616,"",http://senatorlazarus.com/,"","",2015-03-13,,44,,,10831
111206,David Leyonhjelm,"Leyonhjelm, David",David,Leyonhjelm,NSW,Liberal Democratic Party,http://data.openaustralia.org/members/senators.xml,111206,senator.leyonhjelm@aph.gov.au,"",https://www.facebook.com/DavidLeyonhjelmLiberalDemocrats,https://twitter.com/DavidLeyonhjelm,2014-07-01,,44,,,10832
217241,James McGrath,"McGrath, James",James,McGrath,Queensland,Liberal National Party,http://data.openaustralia.org/members/senators.xml,217241,"","",https://www.facebook.com/JamesMcGrathLNP?fref=ts,http://twitter.com/JamesMcGrathLNP,2014-07-01,,44,,,10833
250024,Ricky Muir,"Muir, Ricky",Ricky,Muir,Victoria,Australian Motoring Enthusiast Party,http://data.openaustralia.org/members/senators.xml,250024,"",http://www.senatormuir.org.au/,https://www.facebook.com/SenatorRickyMuir,https://twitter.com/Ricky_Muir,2014-07-01,,44,,,10834
250216,Linda Reynolds,"Reynolds, Linda",Linda,Reynolds,WA,Liberal Party,http://data.openaustralia.org/members/senators.xml,250216,senator.reynolds@aph.gov.au,"","","",2014-07-01,,44,,,10835
155410,Janet Rice,"Rice, Janet",Janet,Rice,Victoria,Australian Greens,http://data.openaustralia.org/members/senators.xml,155410,senator.rice@aph.gov.au,http://janet-rice.greensmps.org.au/,http://www.facebook.com/Janet.Rice.Greens,http://twitter.com/janet_rice,2014-07-01,,44,,,10836
250045,Dio Wang,"Wang, Dio",Dio,Wang,WA,Palmer United Party,http://data.openaustralia.org/members/senators.xml,250045,senator.wang@aph.gov.au,"","",https://twitter.com/SenatorZWang,2014-07-01,,44,,,10837
ING,Katy Gallagher,"Gallagher, Katy",Katy,Gallagher,ACT,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,ING,senator.katy.gallagher@aph.gov.au,"","","",2015-03-26,,44,,,10838
121628,Jenny McAllister,"McAllister, Jenny",Jenny,McAllister,NSW,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,121628,jennifer.mcallister@aph.gov.au,"","","",2015-05-06,,44,,,10839
258337,Jo Lindgren,"Lindgren, Jo",Jo,Lindgren,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,258337,"",http://www.joannalindgren.com.au/,https://www.facebook.com/SenatorLindgren,"",2015-05-21,,44,,,10840
JKM,Nick McKim,"McKim, Nick",Nick,McKim,Tasmania,Australian Greens,http://data.openaustralia.org/members/senators.xml,JKM,senator.mckim@aph.gov.au,http://nick-mckim.greensmps.org.au/,https://www.facebook.com/nickmckim,https://twitter.com/nickmckim,2015-08-19,,44,,,10841
170166,Robert Simms,"Simms, Robert",Robert,Simms,SA,Australian Greens,http://data.openaustralia.org/members/senators.xml,170166,senator.simms@aph.gov.au,"",https://www.facebook.com/SenatorRobertSimms,https://twitter.com/SimmsRobert?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,2015-09-22,,44,,,10842
144138,James Paterson,"Paterson, James",James,Paterson,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,144138,senator.paterson@aph.gov.au,"",https://www.facebook.com/senatorpaterson,https://twitter.com/senpaterson,2016-03-09,,44,,,10845
SR5,Patrick Dodson,"Dodson, Patrick",Patrick,Dodson,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,SR5,"","","","",2016-04-28,,44,,,10846
