id,name__en,name,name__be,name__ru,name__pl,image,gender,birth_date,identifier__freebase,given_name,identifier__IIAF,family_name,wikipedia__en,wikipedia__be,wikipedia__ru,wikipedia__pl,name__pt,name__fr,name__fi,name__uk,name__it,name__be_tarask,name__et,name__de,name__ja,name__sv,name__nl,name__es,name__nb,wikipedia__be_x_old,wikipedia__de,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__sv,wikipedia__uk,wikipedia__plwikiquote
Q14918190,,Natalla Klimowicz,,,Natalla Klimowicz,,female,1963-02-02,,Natallia,,,,,,Natalla Klimowicz,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918481,,Alaksandr Sciacko,,,Alaksandr Sciacko,,male,,,Alyaksandr,,,,,,Alaksandr Sciacko,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918514,,Ludmiła Starascina,,,Ludmiła Starascina,,female,,,,,,,,,Ludmiła Starascina,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918527,,Piotr Szostak,,,Piotr Szostak,,male,,,Piotr,,,,,,Piotr Szostak,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918565,Zyhmund Valavach,Zyhmund Valavach,Зыгмунд Антонавіч Валявач,"Валевач, Зыгмунд Антонович",Zyhmund Walawacz,,male,1953-05-13,,,,,,,,Zyhmund Walawacz,,Zyhmund Valavach,,,,,,Zyhmund Valavach,,,,,,,,,,,,,,,,,,
Q14918570,,Wiktar Waluszycki,,,Wiktar Waluszycki,,male,1962-02-01,,Viktar,,,,,,Wiktar Waluszycki,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918587,,Michaił Wołkau (ur. 1955),,,Michaił Wołkau (ur. 1955),,male,,,Michaił,,,,,,Michaił Wołkau (ur. 1955),,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918588,,Michaił Wołkau (ur. 1963),,,Michaił Wołkau (ur. 1963),,male,1963-09-23,,Michaił,,,,,,Michaił Wołkau (ur. 1963),,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918628,,Waleryj Żmajlik,,,Waleryj Żmajlik,,male,,,Valery,,,,,,Waleryj Żmajlik,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2029677,Uladzimir Andreychanka,Uladzimir Andreychanka,Уладзімір Паўлавіч Андрэйчанка,Владимир Павлович Андрейченко,Uładzimir Andrejczanka,https://upload.wikimedia.org/wikipedia/commons/5/51/Uladzimi_Andreichanka.jpg,male,1949-01-02,,Uladzimir,,,,Уладзімір Паўлавіч Андрэйчанка,"Андрейченко, Владимир Павлович",Uładzimir Andrejczanka,,Uladzimir Andreychanka,,Андрейченко Володимир Павлович,,Уладзімер Андрэйчанка,,,,,Uladzimir Andreychanka,,,Уладзімер Андрэйчанка,,,,,,,,,,,Андрейченко Володимир Павлович,
Q434537,Vadim Devyatovskiy,Vadim Devyatovskiy,Вадзім Анатолевіч Дзевятоўскі,"Девятовский, Вадим Анатольевич",Wadzim Dziewiatouski,https://upload.wikimedia.org/wikipedia/commons/1/15/Vadim_Devyatovskiy.jpg,male,1977-03-20,/m/094xcs,Vadzim,139904,,Vadim Devyatovskiy,Вадзім Анатолевіч Дзевятоўскі,"Девятовский, Вадим Анатольевич",Wadzim Dziewiatouski,Vadim Devyatovskiy,Vadim Devyatovskiy,Vadim Devjatovski,Дев'ятовський Вадим Анатолійович,Vadzim Dzevjatoŭski,Вадзім Дзевятоўскі,Vadim Devjatovski,Wadsim Dsewjatouski,ワディム・デフヤトフスキー,Vadzim Dzevjatoŭski,Vadzim Dzevjatowski,Vadim Devyatovskiy,Vadim Devjatovskij,Вадзім Дзевятоўскі,Wadsim Dsewjatouski,Vadim Devjatovski,Vadzim Dzevjatouski,Vadzim Dzeviatouski,Vadzim Dzevjatoŭski,ワディム・デフヤトフスキー,Vadzim Dzevjatowski,Vadim Devjatovskij,Vadim Devyatovskiy,Vadzim Dzevjatoŭski,Дев'ятовський Вадим Анатолійович,
Q6656652,Alyaksandr Aheeu,Alyaksandr Aheeu,Аляксандр Агееў,"Агеев, Александр Викторович",Alaksandr Ahiejeu,,male,1952-01-31,,Alyaksandr,,Agejew,,,,Alaksandr Ahiejeu (polityk),,Alyaksandr Aheeu,,,Alyaksandr Aheeu,Аляксандар Агееў,,Alyaksandr Aheeu,,,,Alyaksandr Aheeu,,,,,,,,,,,,,,Alaksandr Ahiejeu (polityk)
Q9144071,,Alaksandr Razhanau,,,Alaksandr Razhanau,,male,1953-02-06,,Alyaksandr,,,,,,Alaksandr Razhanau,,,,,Alaksandr Razhanau,,,,,,,,,,,,,,,,,,,,,Alaksandr Razhanau
Q9144087,,Alaksandr Zazula,,,Alaksandr Zazula,,male,,,Alyaksandr,,,,,,Alaksandr Zazula,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9336209,Siarhei Bokhan,Siarhei Bokhan,Сяргей Бохан,"Бохан, Сергей Николаевич",Siarhiej Bochan,,male,1956-01-08,,Syarhey,,,,,,Siarhiej Bochan,,Siarhei Bokhan,,,,Сяргей Бохан,,,,,,,,,,,,,,,,,,,,
Q9348622,,Swiatłana Szyława,,,Swiatłana Szyława,,female,,,Sviatlana,,Q20907258,,,,Swiatłana Szyława,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9367697,,Уладзімір Мікалаевіч Васіленка,Уладзімір Мікалаевіч Васіленка,,Uładzimir Wasilenka,,male,1963-11-10,,Uladzimir,,,,,,Uładzimir Wasilenka,,,,,,Уладзімер Васіленка,,,,,,,,Уладзімер Васіленка,,,,,,,,,,,,
Q9370087,,Walancina Żurauska,,,Walancina Żurauska,,female,,,Valyantsina,,,,,,Walancina Żurauska,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9371375,Vasil Alakseenka,Vasil Alakseenka,Васіль Аляксеенка,"Алексеенко, Василий Анатольевич",Wasil Alaksiejenka,,male,1957-01-01,,Vasil,,,,,,Wasil Alaksiejenka,,Vasil Alakseenka,,,,Васіль Аляксеенка,,Vasil Alakseenka,,,,Vasil Alakseenka,,,,,,,,,,,,,,
Q9373951,,Wiktar Huminski,,,Wiktar Huminski,,male,,,Viktar,,,,,,Wiktar Huminski,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9375489,,Віталь Леанідавіч Бусько,Віталь Леанідавіч Бусько,,Wital Buśko,,male,,,Vital,,,,,,Wital Buśko,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9394017,Larisa Bahdanovich,Larisa Bahdanovich,Ларыса Багдановіч,"Богданович, Лариса Николаевна",Łarysa Bahdanowicz,,female,1958-09-13,,Larysa,,,,,,Łarysa Bahdanowicz,,Larisa Bahdanovich,,,,Ларыса Багдановіч,,,,,Larisa Bahdanovich,Larisa Bahdanovich,,,,,,,,,,,,,,
