id,name__de,name__uk,name__en,name__nl,name__fr,name,wikipedia__de,wikipedia__en,wikipedia__uk,gender,birth_date,given_name,original_wikiname,wikipedia__fr,name__it,identifier__VIAF,name__nb,name__da,name__nn,name__sv,identifier__SUDOC,name__rm,name__ru,wikipedia__ru,name__es,name__pt,image,name__cy,death_date
Q1527272,Gisela Biedermann,,Gisela Biedermann,Gisela Biedermann,Gisela Biedermann,Gisela Biedermann,Gisela Biedermann,,,female,1948-04-05,Gisela,Gisela Biedermann,Gisela Biedermann,,,Gisela Biedermann,Gisela Biedermann,Gisela Biedermann,Gisela Biedermann,,,,,Gisela Biedermann,,,,
Q15450196,Erich Hasler,,Erich Hasler,,Erich Hasler,Erich Hasler,Erich Hasler,,,male,1956-12-28,Erich,Erich Hasler,,Erich Hasler,37617181,,,,,,,,,,,,,
Q1561598,Günther Kranz,,Günther Kranz,,Günther Kranz,Günther Kranz,Günther Kranz,,,male,1958-02-10,Günther,Günther Kranz,,Günther Kranz,,,,,,,,Гюнтер Кранц,,,Günther Kranz,,,
Q15794296,Christine Wohlwend,,Christine Wohlwend,Christine Wohlwend,Christine Wohlwend,Christine Wohlwend,Christine Wohlwend,,,female,1978-07-31,Christine,Christine Wohlwend,,,,,,,,,,,,,,,,
Q15794325,Christoph Beck,,Christoph Beck,,Christoph Beck,Christoph Beck,Christoph Beck,,,male,1978-10-17,Christoph,Christoph Beck,,,,,,,,,,,,,,,,
Q15794374,Christoph Wenaweser,,Christoph Wenaweser,,Christoph Wenaweser,Christoph Wenaweser,Christoph Wenaweser,,,male,1963-06-13,Christoph,Christoph Wenaweser,,,,,,,,,,,,,,,,
Q15807792,Elfried Hasler,,Elfried Hasler,,Elfried Hasler,Elfried Hasler,Elfried Hasler,,,male,1965-06-11,Elfried,Elfried Hasler,,Elfried Hasler,,,,,,,,,,,,,,
Q15808766,Eugen Nägele,,Eugen Nägele,,Eugen Nägele,Eugen Nägele,Eugen Nägele (Politiker),,,male,1964-08-10,Eugen,Eugen Nägele (Politiker),,,,,,,,,,,,,,,,
Q15810125,Frank Konrad,,Frank Konrad,,Frank Konrad,Frank Konrad,Frank Konrad,,,male,1967-05-09,Frank,Frank Konrad,,,,,,,,,,,,,,,,
Q15815010,Helen Konzett Bargetze,,Helen Konzett Bargetze,,Helen Konzett Bargetze,Helen Konzett Bargetze,Helen Konzett Bargetze,,,female,1972-09-20,Helen,Helen Konzett Bargetze,,,,,,,,,,,,,,,,
Q15815202,Herbert Elkuch,,Herbert Elkuch,,Herbert Elkuch,Herbert Elkuch,Herbert Elkuch,,,male,1952-12-30,Herbert,Herbert Elkuch,Herbert Elkuch,,,,,,,,,,,,,,,
Q15821960,Judith Oehri,,Judith Oehri,,Judith Oehri,Judith Oehri,Judith Oehri,,,female,1968-05-21,Judith,Judith Oehri,,,,,,,,,,,,,,,,
Q15822816,Karin Rüdisser-Quaderer,,Karin Rüdisser-Quaderer,,Karin Rüdisser-Quaderer,Karin Rüdisser-Quaderer,Karin Rüdisser-Quaderer,,,female,1958-05-15,Karin,Karin Rüdisser-Quaderer,,,,,,,,,,,,,,,,
Q15840569,Pio Schurti,,Pio Schurti,,Pio Schurti,Pio Schurti,Pio Schurti,,,male,1964-06-08,Pio,Pio Schurti,,Pio Schurti,50054581,,,,,054300924,,,,,,,,
Q15850771,Thomas Lageder,,Thomas Lageder,,Thomas Lageder,Thomas Lageder,Thomas Lageder,,,male,1980-02-05,Thomas,Thomas Lageder,,Thomas Lageder,,,,,,,,,,,,,,
Q15852979,Violanda Lanter-Koller,,Violanda Lanter-Koller,,Violanda Lanter-Koller,Violanda Lanter-Koller,Violanda Lanter-Koller,,,female,1964-01-01,Violanda,Violanda Lanter-Koller,,Violanda Lanter-Koller,,,,,,,Violanda Lanter-Koller,,,,,,,
Q1586701,Harry Quaderer,,Harry Quaderer,,Harry Quaderer,Harry Quaderer,Harry Quaderer,Harry Quaderer,,male,1959-09-07,Harry,Harry Quaderer,,,,,,,,,,,,,,,,
Q1645392,Rainer Gopp,,Rainer Gopp,,Rainer Gopp,Rainer Gopp,Rainer Gopp,,,male,1971-08-01,Rainer,Rainer Gopp,,Rainer Gopp,,,,,,,,,,,,,,
Q1646669,Marlies Amann-Marxer,,Marlies Amann-Marxer,Marlies Amann-Marxer,Marlies Amann-Marxer,Marlies Amann-Marxer,Marlies Amann-Marxer,Marlies Amann-Marxer,,female,1952-07-31,Marlies,Marlies Amann-Marxer,,,,Marlies Amann-Marxer,Marlies Amann-Marxer,Marlies Amann-Marxer,Marlies Amann-Marxer,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Marlies_Amann-Marxer_01.jpg,,
Q1688246,Wendelin Lampert,,Wendelin Lampert,,Wendelin Lampert,Wendelin Lampert,Wendelin Lampert,,,male,1970-04-21,Wendelin,Wendelin Lampert,,,,,,,,,,,,,,,,
Q1697816,Johannes Kaiser,,Johannes Kaiser,,Johannes Kaiser,Johannes Kaiser,Johannes Kaiser (Politiker),,,male,1958-06-29,Johannes,Johannes Kaiser (Politiker),,,171770477,,,,,,,,,,,,,
Q1773400,Peter Lampert,,Peter Lampert,,Peter Lampert,Peter Lampert,Peter Lampert,,,male,1951-09-23,Peter,Peter Lampert,Peter Lampert,Peter Lampert,,,,,,,,Питер Ламперт,,,,,Peter Lampert,2015-07-04
Q1784643,Peter Hilti,,Peter Hilti,,Peter Hilti,Peter Hilti,Peter Hilti,,,male,1972-06-26,Peter,Peter Hilti,,Peter Hilti,,Peter Hilti,Peter Hilti,Peter Hilti,Peter Hilti,,,,,,,,,
Q1889205,Manfred Batliner,,Manfred Batliner,Manfred Batliner,Manfred Batliner,Manfred Batliner,Manfred Batliner,,,male,1963-10-01,Manfred,Manfred Batliner,Manfred Batliner,,,,,,,,,,,,,,,
Q2069720,Pepo Frick,,Pepo Frick,,Pepo Frick,Pepo Frick,Pepo Frick,,,male,1952-05-13,Pepo,Pepo Frick,,,,,,,,,,,,,,,,
Q2074229,Peter Büchel,,Peter Büchel,,Peter Büchel,Peter Büchel,Peter Büchel,,,male,1958-08-02,Peter,Peter Büchel,,,,,,,,,,,,,,,,
Q2143539,Renate Wohlwend,,Renate Wohlwend,,Renate Wohlwend,Renate Wohlwend,Renate Wohlwend,,,female,1952-02-20,Renate,Renate Wohlwend,,,,,,,,,,,,,,,,
Q2427893,Thomas Vogt,,Thomas Vogt,,Thomas Vogt,Thomas Vogt,Thomas Vogt (Politiker),,,male,1976-02-24,Thomas,Thomas Vogt (Politiker),,,,,,,,,,,,,,,,
Q2561800,Werner Kranz,,Werner Kranz,,Werner Kranz,Werner Kranz,Werner Kranz,,,male,1965-02-08,Werner,Werner Kranz,,,,,,,,,,,,,,,,
Q2650159,Alois Beck,,Alois Beck,,Alois Beck,Alois Beck,Alois Beck,,,male,1962-09-27,Alois,Alois Beck,,,,,,,,,,,,,,,,
Q708779,Arthur Brunhart,Артур Брунхарт,Arthur Brunhart,,Arthur Brunhart,Arthur Brunhart,Arthur Brunhart,,Артур Брунхарт,male,1952-01-23,Arthur,Arthur Brunhart,,,,Arthur Brunhart,Arthur Brunhart,Arthur Brunhart,Arthur Brunhart,,,"Брунхарт, Артур","Брунхарт, Артур",,,,,
