iddiputado,name,sort_name,given_name,family_name,gender,party,faction_id,faction,source,dob,term,start_date,end_date,email,twitter,facebook,phone,fax,constituency,photo,id
7,Pedro Ramón Gómez de la Serna y Villacieros,"Gómez de la Serna y Villacieros, Pedro Ramón",Pedro Ramón,Gómez de la Serna y Villacieros,male,"",GMx,G.P. Mixto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=7&idLegislatura=11,,11,,,"","","","","",Segovia,"",10_16
246,José Manuel Soria López,"Soria López, José Manuel",José Manuel,Soria López,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=246&idLegislatura=11,,11,,,"","","","","",Palmas (Las),"",10_168
205,Matilde Pastora Asian González,"Asian González, Matilde Pastora",Matilde Pastora,Asian González,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=205&idLegislatura=11,,11,,,"","","","","",Las Palmas,"",10_172
351,Francisco Domingo Cabrera García,"Cabrera García, Francisco Domingo",Francisco Domingo,Cabrera García,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=351&idLegislatura=11,,11,,,"","","","","",Las Palmas,"",10_176
29,Isabel María Borrego Cortés,"Borrego Cortés, Isabel María",Isabel María,Borrego Cortés,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=29&idLegislatura=11,,11,,,"","","","","",Murcia,"",10_18
215,Pilar Cortés Bureta,"Cortés Bureta, Pilar",Pilar,Cortés Bureta,female,PP-PAR,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=215&idLegislatura=11,,11,,,"","","","","",Zaragoza,"",10_189
342,Lourdes Ciuró i Buldó,"Ciuró i Buldó, Lourdes",Lourdes,Ciuró i Buldó,female,DL,DL,G.P. Catalán,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=342&idLegislatura=11,,11,,,"","","","","",Barcelona,"",10_197
20,Carolina España Reina,"España Reina, Carolina",Carolina,España Reina,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=20&idLegislatura=11,,11,,,"","","","","",Málaga,"",10_235
110,María Ascensión Carreño Fernández,"Carreño Fernández, María Ascensión",María Ascensión,Carreño Fernández,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=110&idLegislatura=11,,11,,,"","","","","",Murcia,"",10_249
217,María Luz Bajo Prieto,"Bajo Prieto, María Luz",María Luz,Bajo Prieto,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=217&idLegislatura=11,,11,,,"","","","","",Madrid,"",10_250
218,José Zaragoza Alonso,"Zaragoza Alonso, José",José,Zaragoza Alonso,male,PSC-PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=218&idLegislatura=11,,11,,,"","","","","",Barcelona,"",10_253
303,Belén Hoyo Juliá,"Hoyo Juliá, Belén",Belén,Hoyo Juliá,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=303&idLegislatura=11,,11,,,"","","","","",Valencia,"",10_254
155,José Alberto Martín-Toledano Suárez,"Martín-Toledano Suárez, José Alberto",José Alberto,Martín-Toledano Suárez,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=155&idLegislatura=11,,11,,,"","","","","",Ciudad Real,"",10_259
115,Marta González Vázquez,"González Vázquez, Marta",Marta,González Vázquez,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=115&idLegislatura=11,,11,,,"","","","","",A Coruña,"",10_264
281,Joan Baldoví Roda,"Baldoví Roda, Joan",Joan,Baldoví Roda,male,COMPROMÍS,GMx,G.P. Mixto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=281&idLegislatura=11,,11,,,"","","","","",Valencia,"",10_275
54,Antonio Hurtado Zurera,"Hurtado Zurera, Antonio",Antonio,Hurtado Zurera,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=54&idLegislatura=11,,11,,,"","","","","",Córdoba,"",10_28
114,Jaime Eduardo de Olano Vela,"Olano Vela, Jaime Eduardo de",Jaime Eduardo de,Olano Vela,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=114&idLegislatura=11,,11,,,"","","","","",Lugo,"",10_280
233,Antonio Cantó García del Moral,"Cantó García del Moral, Antonio",Antonio,Cantó García del Moral,male,Cs,GCs,G.P. Ciudadanos,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=233&idLegislatura=11,,11,,,"","","","","",Valencia,"",10_282
145,Rubén Moreno Palanques,"Moreno Palanques, Rubén",Rubén,Moreno Palanques,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=145&idLegislatura=11,,11,,,"","","","","",Valencia/València,"",10_288
196,Isabel Rodríguez García,"Rodríguez García, Isabel",Isabel,Rodríguez García,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=196&idLegislatura=11,,11,,,"","","","","",Ciudad Real,"",10_292
181,José María Barreda Fontes,"Barreda Fontes, José María",José María,Barreda Fontes,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=181&idLegislatura=11,,11,,,"","","","","",Ciudad Real,"",10_293
277,Teresa Jordà i Roura,"Jordà i Roura, Teresa",Teresa,Jordà i Roura,female,ERC-CATSÍ,GER,G.P. Esquerra Republicana,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=277&idLegislatura=11,,11,,,"","","","","",Girona,"",10_294
26,Eduardo Fernández García,"Fernández García, Eduardo",Eduardo,Fernández García,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=26&idLegislatura=11,,11,,,"","","","","",León,"",10_298
166,José Ignacio Sánchez Amor,"Sánchez Amor, José Ignacio",José Ignacio,Sánchez Amor,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=166&idLegislatura=11,,11,,,"","","","","",Badajoz,"",10_306
33,Eloy Suárez Lamata,"Suárez Lamata, Eloy",Eloy,Suárez Lamata,male,PP-PAR,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=33&idLegislatura=11,,11,,,"","","","","",Zaragoza,"",10_32
198,Antonio Ramón María Trevín Lombán,"Trevín Lombán, Antonio Ramón María",Antonio Ramón María,Trevín Lombán,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=198&idLegislatura=11,,11,,,"","","","","",Asturias,"",10_323
296,Odón Elorza González,"Elorza González, Odón",Odón,Elorza González,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=296&idLegislatura=11,,11,,,"","","","","",Gipuzkoa,"",10_334
348,Pedro Quevedo Iturbe,"Quevedo Iturbe, Pedro",Pedro,Quevedo Iturbe,male,NCa,GMx,G.P. Mixto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=348&idLegislatura=11,,11,,,"","","","","",Palmas (Las),"",10_335
11,María Jesús Moro Almaraz,"Moro Almaraz, María Jesús",María Jesús,Moro Almaraz,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=11&idLegislatura=11,,11,,,"","","","","",Salamanca,"",10_34
31,Teodoro García Egea,"García Egea, Teodoro",Teodoro,García Egea,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=31&idLegislatura=11,,11,,,"","","","","",Murcia,"",10_360
336,Onintza Enbeita Maguregi,"Enbeita Maguregi, Onintza",Onintza,Enbeita Maguregi,female,EH Bildu,GMx,G.P. Mixto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=336&idLegislatura=11,,11,,,"","","","","",Bizkaia,"",10_370
197,Patricia Blanquer Alcaraz,"Blanquer Alcaraz, Patricia",Patricia,Blanquer Alcaraz,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=197&idLegislatura=11,,11,,,"","","","","",Alicante,"",10_372
300,Germán Rodríguez Sánchez,"Rodríguez Sánchez, Germán",Germán,Rodríguez Sánchez,male,PSC-PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=300&idLegislatura=11,,11,,,"","","","","",Barcelona,"",10_378
310,José Ramón García Hernández,"García Hernández, José Ramón",José Ramón,García Hernández,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=310&idLegislatura=11,,11,,,"","","","","",Ávila,"",10_388
298,José Manuel Girela de la Fuente,"Girela de la Fuente, José Manuel",José Manuel,Girela de la Fuente,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=298&idLegislatura=11,,11,,,"","","","","",Sevilla,"",10_397
39,José Alberto Herrero Bono,"Herrero Bono, José Alberto",José Alberto,Herrero Bono,male,PP-PAR,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=39&idLegislatura=11,,11,,,"","","","","",Teruel,"",10_398
293,María del Mar Rominguera Salazar,"Rominguera Salazar, María del Mar",María del Mar,Rominguera Salazar,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=293&idLegislatura=11,,11,,,"","","","","",Zamora,"",10_399
167,Juan Vicente Pérez Aras,"Pérez Aras, Juan Vicente",Juan Vicente,Pérez Aras,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=167&idLegislatura=11,,11,,,"","","","","",Valencia/València,"",10_407
313,Irene Lozano Domingo,"Lozano Domingo, Irene",Irene,Lozano Domingo,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=313&idLegislatura=11,,11,,,"","","","","",Madrid,"",10_43
208,Francisco Molinero Hoyos,"Molinero Hoyos, Francisco",Francisco,Molinero Hoyos,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=208&idLegislatura=11,,11,,,"","","","","",Albacete,"",10_48
98,Alfonso Candón Adán,"Candón Adán, Alfonso",Alfonso,Candón Adán,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=98&idLegislatura=11,,11,,,"","","","","",Cádiz,"",10_56
225,Carmelo Romero Hernández,"Romero Hernández, Carmelo",Carmelo,Romero Hernández,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=225&idLegislatura=11,,11,,,"","","","","",Huelva,"",10_59
99,María Eugenia Romero Rodríguez,"Romero Rodríguez, María Eugenia",María Eugenia,Romero Rodríguez,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=99&idLegislatura=11,,11,,,"","","","","",Sevilla,"",10_61
22,Juan Luis Gordo Pérez,"Gordo Pérez, Juan Luis",Juan Luis,Gordo Pérez,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=22&idLegislatura=11,,11,,,"","","","","",Segovia,"",10_65
308,Pablo Casado Blanco,"Casado Blanco, Pablo",Pablo,Casado Blanco,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=308&idLegislatura=11,,11,,,"","","","","",Ávila,"",10_7
183,Alberto Garzón Espinosa,"Garzón Espinosa, Alberto",Alberto,Garzón Espinosa,male,IU-UPeC,GMx,G.P. Mixto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=183&idLegislatura=11,,11,,,"","","","","",Madrid,"",10_70
314,Elvira Ramón Utrabo,"Ramón Utrabo, Elvira",Elvira,Ramón Utrabo,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=314&idLegislatura=11,,11,,,"","","","","",Granada,"",10_77
100,Aina Vidal Sáez,"Vidal Sáez, Aina",Aina,Vidal Sáez,female,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=100&idLegislatura=11,,11,,,"","","","","",Barcelona,"",11_100
101,Joan Miquel Mena Arca,"Mena Arca, Joan Miquel",Joan Miquel,Mena Arca,male,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=101&idLegislatura=11,,11,,,"","","","","",Barcelona,"",11_101
103,Jaume Moya Matas,"Moya Matas, Jaume",Jaume,Moya Matas,male,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=103&idLegislatura=11,,11,,,"","","","","",LLeida,"",11_103
104,Dolors Terradas Viñals,"Terradas Viñals, Dolors",Dolors,Terradas Viñals,female,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=104&idLegislatura=11,,11,,,"","","","","",Girona,"",11_104
105,María Luz Rodríguez Fernández,"Rodríguez Fernández, María Luz",María Luz,Rodríguez Fernández,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=105&idLegislatura=11,,11,,,"","","","","",Guadalajara,"",11_105
107,Marcelo Expósito Prieto,"Expósito Prieto, Marcelo",Marcelo,Expósito Prieto,male,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=107&idLegislatura=11,,11,,,"","","","","",Barcelona,"",11_107
108,César Joaquín Ramos Esteban,"Ramos Esteban, César Joaquín",César Joaquín,Ramos Esteban,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=108&idLegislatura=11,,11,,,"","","","","",Cáceres,"",11_108
109,María Luz Martínez Seijo,"Martínez Seijo, María Luz",María Luz,Martínez Seijo,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=109&idLegislatura=11,,11,,,"","","","","",Palencia,"",11_109
111,Juan Manuel Juncal Rodríguez,"Juncal Rodríguez, Juan Manuel",Juan Manuel,Juncal Rodríguez,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=111&idLegislatura=11,,11,,,"","","","","",A Coruña,"",11_111
113,José Ramón García Cañal,"García Cañal, José Ramón",José Ramón,García Cañal,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=113&idLegislatura=11,,11,,,"","","","","",Asturias,"",11_113
117,María Pilar Ardanza Uribarren,"Ardanza Uribarren, María Pilar",María Pilar,Ardanza Uribarren,female,EAJ-PNV,EAJ-PNV,G.P. Vasco,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=117&idLegislatura=11,,11,,,"","","","","",Bizkaia,"",11_117
118,Íñigo Barandiaran Benito,"Barandiaran Benito, Íñigo",Íñigo,Barandiaran Benito,male,EAJ-PNV,EAJ-PNV,G.P. Vasco,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=118&idLegislatura=11,,11,,,"","","","","",Gipuzkoa,"",11_118
120,Mikel Legarda Uriarte,"Legarda Uriarte, Mikel",Mikel,Legarda Uriarte,male,EAJ-PNV,EAJ-PNV,G.P. Vasco,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=120&idLegislatura=11,,11,,,"","","","","",Araba/Álava,"",11_120
122,Esther Peña Camarero,"Peña Camarero, Esther",Esther,Peña Camarero,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=122&idLegislatura=11,,11,,,"","","","","",Burgos,"",11_122
124,Pilar Rojo Noguera,"Rojo Noguera, Pilar",Pilar,Rojo Noguera,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=124&idLegislatura=11,,11,,,"","","","","",Pontevedra,"",11_124
125,María del Mar García Puig,"García Puig, María del Mar",María del Mar,García Puig,female,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=125&idLegislatura=11,,11,,,"","","","","",Barcelona,"",11_125
126,Juan Carlos Campo Moreno,"Campo Moreno, Juan Carlos",Juan Carlos,Campo Moreno,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=126&idLegislatura=11,,11,,,"","","","","",Cádiz,"",11_126
127,Miriam Alconchel Gonzaga,"Alconchel Gonzaga, Miriam",Miriam,Alconchel Gonzaga,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=127&idLegislatura=11,,11,,,"","","","","",Cádiz,"",11_127
13,María de la Paz Del Moral Milla,"Del Moral Milla, María de la Paz",María de la Paz,Del Moral Milla,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=13&idLegislatura=11,,11,,,"","","","","",Jaén,"",11_13
131,Lucía Martín González,"Martín González, Lucía",Lucía,Martín González,female,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=131&idLegislatura=11,,11,,,"","","","","",Barcelona,"",11_131
132,Marta Sibina Camps,"Sibina Camps, Marta",Marta,Sibina Camps,female,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=132&idLegislatura=11,,11,,,"","","","","",Barcelona,"",11_132
133,José Enrique Fernández de Moya Romero,"Fernández de Moya Romero, José Enrique",José Enrique,Fernández de Moya Romero,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=133&idLegislatura=11,,11,,,"","","","","",Jaén,"",11_133
137,María Jesús Serrano Jiménez,"Serrano Jiménez, María Jesús",María Jesús,Serrano Jiménez,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=137&idLegislatura=11,,11,,,"","","","","",Córdoba,"",11_137
138,Francesc Xavier Domènech Sampere,"Domènech Sampere, Francesc Xavier",Francesc Xavier,Domènech Sampere,male,EN COMÚ PODEM,GP-EC-EM,G.P. Podemos-En Comú Podem-En Marea,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=138&idLegislatura=11,,11,,,"","","","","",Barcelona,"",11_138
