id,name__sk,name__eo,name__cs,name,wikipedia__cs,wikipedia__sk,wikipedia__skwikiquote,gender,given_name,original_wikiname,name__en,name__de,name__ru,name__pl,wikipedia__en,wikipedia__pl,birth_date,name__hu,name__es,name__fr,name__nl,name__be_tarask,name__nb,name__da,name__nn,name__sv,wikipedia__be_x_old,wikipedia__commons,wikipedia__de,wikipedia__hu,wikipedia__ru,wikipedia__zh,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__freebase,identifier__NKC,name__ar,name__it,wikipedia__ar,wikipedia__fr,wikipedia__it,identifier__BNF,family_name,name__be,name__he,name__ca,name__fi,name__uk,name__ga,wikipedia__be,wikipedia__ca,wikipedia__eo,wikipedia__es,wikipedia__fi,wikipedia__ga,wikipedia__he,wikipedia__nl,wikipedia__sv,wikipedia__uk,identifier__EuroparlMEP,name__eu,name__ko,name__oc,name__lv,name__gl,name__id,name__ja,name__pt,name__tr,name__rue,name__io,name__bg,name__sr,name__ka,name__hr,wikipedia__bg,wikipedia__cswikiquote,wikipedia__gl,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__lv,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__rue,wikipedia__sr,wikipedia__tr,website,name__lb,name__zh,name__ta,name__yo,name__ms,name__et,name__el,name__mr,name__pt_br,name__vi,name__ie,name__fa,name__lmo,name__mk,name__la,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__fa,wikipedia__huwikiquote,wikipedia__ie,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__mr,wikipedia__ms,wikipedia__plwikiquote,wikipedia__ta,wikipedia__ukwikiquote,wikipedia__vi,wikipedia__yo,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__co,name__cy,name__fur,name__gd,name__gsw,name__is,name__li,name__lij,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__ro,name__sc,name__scn,name__sco,name__sl,name__sq,name__vec,name__vls,name__wa,name__tt,name__de_ch,name__en_ca,name__en_gb,wikipedia__itwikiquote,identifier__IMDB,identifier__AlloCine,identifier__allmovie
Q11836134,Dušan Jarjabek,,Dušan Jarjabek,Dušan Jarjabek,Dušan Jarjabek,Dušan Jarjabek,,male,Dušan,Dušan Jarjabek,,,,,,,1953-03-04,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Dušan_Jarjabek_(5581962207).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12027046,Jozef Mikloško,,Jozef Mikloško,Jozef Mikloško,Jozef Mikloško,Jozef Mikloško,Jozef Mikloško,male,Jozef,Jozef Mikloško,Jozef Mikloško,,,,,,1939-03-31,,,,,,,,,,,,,,,,,,187827981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jozef Mikloško,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12037115,Mikuláš Huba (ekológ),,Mikuláš Huba,Mikuláš Huba (ekológ),Mikuláš Huba,Mikuláš Huba (ekológ),,male,Mikuláš,Mikuláš Huba (ekológ),,,,,,,1954-01-01,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Huba.jpg,,84549577,,,,,mzk2003186088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1268168,Dušan Galis,,Dušan Galis,Dušan Galis,Dušan Galis,Dušan Galis,,male,Dušan,Dušan Galis,Dušan Galis,Dušan Galis,Душан Галис,Dušan Galis,Dušan Galis,Dušan Galis,1949-11-24,,Dušan Galis,Dušan Galis,Dušan Galis,,Dušan Galis,Dušan Galis,Dušan Galis,Dušan Galis,,,Dušan Galis,,"Галис, Душан",,,,84098263,,,,/m/0f4dg6,,دوشان غاليس,Dušan Galis,دوشان غاليس,Dušan Galis,Dušan Galis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12762300,Andrej Hrnčiar,,,Andrej Hrnčiar,,Andrej Hrnčiar,,male,Andrej,Andrej Hrnčiar,Andrej Hrnčiar,Andrej Hrnčiar,Андрей Хрнчиар,Andrej Hrnčiar,Andrej Hrnčiar,Andrej Hrnčiar,1973-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12762723,Augustín Hambálek,,,Augustín Hambálek,,Augustín Hambálek,,male,,Augustín Hambálek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12763441,Branislav Ondruš,,,Branislav Ondruš,,Branislav Ondruš,,male,Branislav,Branislav Ondruš,,,,,,,1973-03-28,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f7/Branislav_Ondruš_(2011).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12765021,Dušan Bublavý,,,Dušan Bublavý,,Dušan Bublavý,,male,Dušan,Dušan Bublavý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12766210,Gabriel Csicsai,,,Gabriel Csicsai,,Gabriel Csicsai,,male,Gabriel,Gabriel Csicsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel Csicsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12767389,Igor Federič,,Igor Federič,Igor Federič,Igor Federič,Igor Federič,,male,Igor,Igor Federič,,,,,,,1962-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12767684,Ivan Varga,,Ivan Varga,Ivan Varga,Ivan Varga (politik),Ivan Varga,,male,Ivan,Ivan Varga,,,,,,,1953-06-15,,,,,,,,,,,,,,,,,,84505122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12767802,Jana Laššáková,,,Jana Laššáková,,Jana Laššáková,Jana Laššáková,female,Jana,Jana Laššáková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12768114,Jozef Burian,,,Jozef Burian,,Jozef Burian,,male,Jozef,Jozef Burian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12768604,Ján Podmanický,,,Ján Podmanický,,Ján Podmanický,Ján Podmanický,male,Ján,Ján Podmanický,,,,,,,1977-05-17,,,,,,,,,,,,,,,,,,246117879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12770236,Lea Grečková,,,Lea Grečková,,Lea Grečková,,female,,Lea Grečková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12770572,Lucia Nicholsonová,,,Lucia Nicholsonová,,Lucia Nicholsonová,,female,Lucia,Lucia Nicholsonová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12770727,Magda Košútová,,,Magda Košútová,,Magda Košútová,,female,Magda,Magda Košútová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12771096,Maroš Kondrót,,,Maroš Kondrót,,Maroš Kondrót,,male,Maroš,Maroš Kondrót,,,,,,,1960-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12771541,Michal Lukša,,,Michal Lukša,,Michal Lukša,,male,Michal,Michal Lukša,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12771890,Mojmír Mamojka,,Mojmír Mamojka,Mojmír Mamojka,Mojmír Mamojka,Mojmír Mamojka,,male,,Mojmír Mamojka,,,,,,,1950-07-29,,,,,,,,,,,,,,,,,,12978034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12775234,Renáta Zmajkovičová,,,Renáta Zmajkovičová,,Renáta Zmajkovičová,,female,Renáta,Renáta Zmajkovičová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12775297,Richard Vašečka,,,Richard Vašečka,,Richard Vašečka,,male,Richard,Richard Vašečka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12775672,Róbert Madej,,,Róbert Madej,,Róbert Madej,,male,Róbert,Róbert Madej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12778620,Vladimír Faič,,,Vladimír Faič,,Vladimír Faič,,male,Vladimir,Vladimír Faič,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1314189,Ján Richter,,Ján Richter (politik),Ján Richter,Ján Richter (politik),Ján Richter,,male,Ján,Ján Richter,Ján Richter,Ján Richter,,,,,1956-10-05,,,Ján Richter,,,,,,,,,Ján Richter,,,,,,,,,,,,,,,Ján Richter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13374407,Alojz Hlina,Alojz Hlina,Alojz Hlina,Alojz Hlina,Alojz Hlina,Alojz Hlina,Alojz Hlina,male,Alojz,Alojz Hlina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13375711,Arpád Érsék,,,Arpád Érsék,,Árpád Érsek,,male,,Árpád Érsek,,,,,,,,,,Arpád Érsék,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13407289,Dušan Muňko,,,Dušan Muňko,,Dušan Muňko,,male,Dušan,Dušan Muňko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13419397,Igor Hraško,,,Igor Hraško,,Igor Hraško,,male,Igor,Igor Hraško,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13441104,Marian Záhumenský,,,Marian Záhumenský,,Marian Záhumenský,,male,Marian,Marián Záhumenský,Marian Záhumenský,Marian Záhumenský,,,,,,,,Marian Záhumenský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13450383,Miroslav Číž,,,Miroslav Číž,,Miroslav Číž,,male,Miroslav,Miroslav Číž,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13538232,Peter Pollák,,,Peter Pollák,,Peter Pollák,,male,Peter,Peter Pollák,,,,,,,1973-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1374505,Pavol Paška,,Pavol Paška,Pavol Paška,Pavol Paška,Pavol Paška,,male,Pavol,Pavol Paška,Pavol Paška,Pavol Paška,"Пашка, Павол",Pavol Paška,Pavol Paška,Pavol Paška,1958-02-23,,,Pavol Paška,Pavol Paška,,,,,,,,Pavol Paška,,"Пашка, Павол",,https://upload.wikimedia.org/wikipedia/commons/f/f8/Pavol_Paska.jpg,,84780220,,,,/m/03c9278,,,,,,,,,,,,Pavol Paška,Павол Пашка,,,,,,Pavol Paška,,,,,Павол Пашка,,,,,,,Pavol Paška,,,,,,,,,,,,,,Pavol Paška,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14923362,Helena Mezenská,,,Helena Mezenská,,Helena Mezenská,,female,Helena,Helena Mezenská,,,,Helena Mezenská,,Helena Mezenská,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1502209,Robert Kaliňák,,Robert Kaliňák,Robert Kaliňák,Robert Kaliňák,Robert Kaliňák,Robert Kaliňák,male,Robert,Robert Kaliňák,Robert Kaliňák,Robert Kaliňák,,Robert Kaliňák,Robert Kaliňák,Robert Kaliňák,1971-05-11,,,Robert Kaliňák,Robert Kaliňák,,,,,,,,Robert Kaliňák,,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/Robert_Kaliňák_2010_(2).jpg,,,,,,/m/03whpsm,,,,,Robert Kaliňák,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Роберт Калиняк,,,,,,,,,,,,,,,,,,,,Роберт Калиняк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15534108,Jaroslav Demian,,,Jaroslav Demian,,Jaroslav Demian,,male,Jaroslav,Jaroslav Demian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15905751,Martin Chren,,,Martin Chren,,Martin Chren,,male,Martin,Martin Chren,Martin Chren,,,,,,1981-03-17,,Martin Chren,,,,,,,,,,,,,,,,,,,,,,,Martin Chren,,,,,,,,Martin Chren,,,,,,,,,,,,,,,Martin Chren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
