id,name__ps,name__fr,name__en,name__de,name__ur,name__es,name__fa,name__nl,name__sd,name,wikipedia__de,wikipedia__en,wikipedia__fa,wikipedia__fr,wikipedia__ps,wikipedia__sd,wikipedia__ur,gender,birth_date,original_wikiname,given_name,wikipedia__enwikiquote,name__it,name__en_gb,identifier__VIAF,name__pnb,wikipedia__pnb,name__ru,name__ar,wikipedia__ar,wikipedia__ru,identifier__freebase,name__bn,name__gu,name__hi,name__id,name__ja,name__ka,name__kn,name__ko,name__ml,name__mr,name__ms,name__sv,name__ta,name__te,name__zh,name__nb,name__pa,name__bg,name__mzn,name__he,name__et,name__fi,name__da,name__tr,name__ne,wikipedia__bg,wikipedia__bn,wikipedia__commons,wikipedia__es,wikipedia__gu,wikipedia__he,wikipedia__hi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__mzn,wikipedia__ne,wikipedia__nl,wikipedia__no,wikipedia__pa,wikipedia__ruwikinews,wikipedia__simple,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__zh,image,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__Munzinger,identifier__NPG,identifier__FAST,name__mg,wikipedia__mg,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__yo,name__vi,name__sh,name__pt,name__th,name__ca,name__uk,name__nn,name__eu,name__lb,name__pam,name__sr,name__eo,name__el,name__io,name__ks,name__cs,name__en_ca,name__pt_br,name__sa,name__mai,name__be,wikipedia__be,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__eowikinews,wikipedia__et,wikipedia__eu,wikipedia__fi,wikipedia__io,wikipedia__ks,wikipedia__lb,wikipedia__mai,wikipedia__nn,wikipedia__pam,wikipedia__pl,wikipedia__pt,wikipedia__sa,wikipedia__sh,wikipedia__sr,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,website,identifier__NNDB,facebook,name__az,wikipedia__az,name__oc,name__hu,last_seen
Q15983315,,Waheed Alam Khan,Waheed Alam Khan,Waheed Alam Khan,,,,,,Waheed Alam Khan,,Waheed Alam Khan,,,,,,male,,Waheed Alam Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q15983326,,Hamid-ul-Haq,Hamid-ul-Haq,,,,,Hamid-ul-Haq,,Hamid-ul-Haq,,Hamid-ul-Haq,,,,,,male,1964-08-01,Hamid-ul-Haq,,,Hamid-ul-Haq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q15983338,,Murtaza Javed Abbasi,Murtaza Javed Abbasi,Murtaza Javed Abbasi,,,,Murtaza Javed Abbasi,,Murtaza Javed Abbasi,,Murtaza Javed Abbasi,,,,,,male,1970-03-15,Murtaza Javed Abbasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q15983347,,Sikandar Bosan,Sikandar Bosan,Sikandar Bosan,,,,Sikandar Bosan,,Sikandar Bosan,,Sikandar Bosan,,,,,,male,,Sikandar Bosan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16145575,,Mussarat Ahmed Zeb,Mussarat Ahmed Zeb,Mussarat Ahmed Zeb,,,,Mussarat Ahmed Zeb,,Mussarat Ahmed Zeb,,Mussarat Ahmed Zeb,,,,,,female,1950,Mussarat Ahmed Zeb,,,Mussarat Ahmed Zeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16148268,,Junaid Akbar,Junaid Akbar,Junaid Akbar,,,,Junaid Akbar,,Junaid Akbar,,Junaid Akbar,,,,,,male,1975-01-01,Junaid Akbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16149031,,Tahir Iqbal,Tahir Iqbal,Tahir Iqbal,,,,Tahir Iqbal,,Tahir Iqbal,,Tahir Iqbal,,,,,,male,1951-05-15,Tahir Iqbal,,,Tahir Iqbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16149354,,Anusha Rahman,Anusha Rahman,Anusha Rahman,جمیل نوری نستعلیق,,,Anusha Rahman,,Anusha Rahman,,Anusha Rahman,,,,,,female,,Anusha Rahman,,,Anusha Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16199958,,Zulfiqar Ali Bhatti,Zulfiqar Ali Bhatti,Zulfiqar Ali Bhatti,,,,Zulfiqar Ali Bhatti,,Zulfiqar Ali Bhatti,,Zulfiqar Ali Bhatti,,,,,,male,1965-01-01,Zulfiqar Ali Bhatti,,,Zulfiqar Ali Bhatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16207405,,Shahzada Iftikhar Uddin,Shahzada Iftikhar Uddin,Shahzada Iftikhar Uddin,,,,Shahzada Iftikhar Uddin,,Shahzada Iftikhar Uddin,,Shahzada Iftikhar Uddin,,,,,,male,1969-08-15,Shahzada Iftikhar Uddin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16231467,,Murad Saeed,Murad Saeed,Murad Saeed,,,,,,Murad Saeed,,Murad Saeed,,,,,,male,1986-10-17,Murad Saeed,Murad,,Murad Saeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16442103,,Marriyum Aurangzeb,Marriyum Aurangzeb,Marriyum Aurangzeb,,,,Marriyum Aurangzeb,,Marriyum Aurangzeb,,Marriyum Aurangzeb,,,,,,female,,Marriyum Aurangzeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16727368,,Khusro Bakhtiar,Khusro Bakhtiar,Khusro Bakhtiar,,,,Khusro Bakhtiar,,Khusro Bakhtiar,,Khusro Bakhtiar,,,,,,male,,Makhdoom Khusro Bakhtiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16732994,,Munaza Hassan,Munaza Hassan,Munaza Hassan,,,,Munaza Hassan,,Munaza Hassan,,Munaza Hassan,,,,,,female,,Munaza Hassan,,,Munaza Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q16873159,,Nasir Iqbal Bosal,Nasir Iqbal Bosal,Nasir Iqbal Bosal,,,,Nasir Iqbal Bosal,,Nasir Iqbal Bosal,,Nasir Iqbal Bosal,,,,,,male,,Nasir Iqbal Bosal,,,Nasir Iqbal Bosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q17019030,,Shehryar Khan Afridi,Shehryar Khan Afridi,,,,,Shehryar Khan Afridi,,Shehryar Khan Afridi,,Shehryar Khan Afridi,,,,,,male,,Shehryar Khan Afridi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q17198180,,Zahid Hamid,Zahid Hamid,Zahid Hamid,,,,Zahid Hamid,,Zahid Hamid,,Zahid Hamid,,,,,,male,1947-10-24,Zahid Hamid,,,,,,,,"Хамид, Захид",,,"Хамид, Захид",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q17198246,,Khurram Dastgir Khan,Khurram Dastgir Khan,Khurram Dastgir Khan,خرم دستگیر,,,Khurram Dastgir Khan,,Khurram Dastgir Khan,,Khurram Dastgir Khan,,,,,خرم دستگیر,male,1970-08-03,Khurram Dastgir Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Khurram_Dastgir_Khan_Senate_of_Poland.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q17198445,,Pir Sadaruddin Shah,Pir Sadaruddin Shah,Pir Sadaruddin Shah,,,,Pir Sadaruddin Shah,,Pir Sadaruddin Shah,,Pir Sadaruddin Shah,,,,,,male,,Pir Sadaruddin Shah,Pir,,Pir Sadaruddin Shah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q17198786,,Saira Afzal Tarar,Saira Afzal Tarar,Saira Afzal Tarar,,,,Saira Afzal Tarar,,Saira Afzal Tarar,,Saira Afzal Tarar,,,,,,female,1961,Saira Afzal Tarar,,,Saira Afzal Tarar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q17305664,,Muhammad Baligh Ur Rehman,Muhammad Baligh Ur Rehman,Muhammad Baligh Ur Rehman,,,,Muhammad Baligh Ur Rehman,,Muhammad Baligh Ur Rehman,,Muhammad Baligh Ur Rehman,,,,,,male,1970-02-21,Muhammad Baligh Ur Rehman,Muhammad,,Muhammad Baligh Ur Rehman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
Q17306050,,Usman Ibrahim,Usman Ibrahim,Usman Ibrahim,,,,Usman Ibrahim,,Usman Ibrahim,,Usman Ibrahim,,,,,,male,1968,Usman Ibrahim,,,Usman Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26
