name,given_name,family_name,sort_name,gender,birth_date,party,term
Diamnongodo Sbastien LALLOGO,Diamnongodo Sbastien,LALLOGO,"LALLOGO, Diamnongodo Sbastien",,,CDP,1
Dieudonn BONANET,Dieudonn,BONANET,"BONANET, Dieudonn",,,CDP,1
Dimfangodo SAWADOGO,Dimfangodo,SAWADOGO,"SAWADOGO, Dimfangodo",,,CDP,1
Djibril TALL,Djibril,TALL,"TALL, Djibril",,,CDP,1
Djibrilou Yro TAMBOURA,Djibrilou Yro,TAMBOURA,"TAMBOURA, Djibrilou Yro",,,ADF/RDA,1
Dossoum Paul MILLOGO,Dossoum Paul,MILLOGO,"MILLOGO, Dossoum Paul",,,UPC,1
Drissa CISS,Drissa,CISS,"CISS, Drissa",,,CDP,1
Etienne BADO,Etienne,BADO,"BADO, Etienne",,,CDP,1
Fatimata LEGMA,Fatimata,LEGMA,"LEGMA, Fatimata",,,ADF/RDA,1
Fidle LANKOAND,Fidle,LANKOAND,"LANKOAND, Fidle",,,UPC,1
Franoise Odette COULIBALY,Franoise Odette,COULIBALY,"COULIBALY, Franoise Odette",,,CDP,1
H. Jean-Pierre SOULAMA,H. Jean-Pierre,SOULAMA,"SOULAMA, H. Jean-Pierre",,,CDP,1
Hamadou Amadou MAGA,Hamadou Amadou,MAGA,"MAGA, Hamadou Amadou",,,UPC,1
Hamadou OUDRAOGO,Hamadou,OUDRAOGO,"OUDRAOGO, Hamadou",,,CDP,1
Hamidou Emile SAVADOGO,Hamidou Emile,SAVADOGO,"SAVADOGO, Hamidou Emile",,,ADF/RDA,1
Hamidou OUDRAOGO,Hamidou,OUDRAOGO,"OUDRAOGO, Hamidou",,,CDP,1
Hamidou TIMOGO,Hamidou,TIMOGO,"TIMOGO, Hamidou",,,CDP,1
Hyacinthe SANWIDI,Hyacinthe,SANWIDI,"SANWIDI, Hyacinthe",,,UPC,1
Issa Dominique KONAT,Issa Dominique,KONAT,"KONAT, Issa Dominique",,,Non inscrit,1
Jean de Dieu SOMDA,Jean de Dieu,SOMDA,"SOMDA, Jean de Dieu",,,UPC,1
Jean-Claude BOUDA,Jean-Claude,BOUDA,"BOUDA, Jean-Claude",,,CDP,1
Jean-Marie SANOU,Jean-Marie,SANOU,"SANOU, Jean-Marie",,,UPC,1
Joseph KI-ZERBO,Joseph,KI-ZERBO,"KI-ZERBO, Joseph",,,Non inscrit,1
Jules Souleymane TRAOR,Jules Souleymane,TRAOR,"TRAOR, Jules Souleymane",,,CDP,1
Kango Grard OUDRAOGO,Kango Grard,OUDRAOGO,"OUDRAOGO, Kango Grard",,,ADF/RDA,1
Kanbari TRAOR,Kanbari,TRAOR,"TRAOR, Kanbari",,,CDP,1
Karim CONGO,Karim,CONGO,"CONGO, Karim",,,CDP,1
L. Olivier KINI,L. Olivier,KINI,"KINI, L. Olivier",,,ADF/RDA,1
Labdani Issaka TRAOR,Labdani Issaka,TRAOR,"TRAOR, Labdani Issaka",,,UPC,1
Larba Prosper YAMOGO,Larba Prosper,YAMOGO,"YAMOGO, Larba Prosper",,,CDP,1
Ln Louis DARANKOUM,Ln Louis,DARANKOUM,"DARANKOUM, Ln Louis",,,CDP,1
Mahama BELEMVIRE,Mahama,BELEMVIRE,"BELEMVIRE, Mahama",,,CDP,1
Mahama SAWADOGO,Mahama,SAWADOGO,"SAWADOGO, Mahama",,,CDP,1
Marie-Madeleine OUEDRAOGO,Marie-Madeleine,OUEDRAOGO,"OUEDRAOGO, Marie-Madeleine",,,CDP,1
Martial CARAMA,Martial,CARAMA,"CARAMA, Martial",,,CDP,1
Mimminga KONDOMBO,Mimminga,KONDOMBO,"KONDOMBO, Mimminga",,,ADF/RDA,1
Minamba Grard OUOBA,Minamba Grard,OUOBA,"OUOBA, Minamba Grard",,,CDP,1
Mutan HIEN,Mutan,HIEN,"HIEN, Mutan",,,CDP,1
N. Ernest THIOMBIANO,N. Ernest,THIOMBIANO,"THIOMBIANO, N. Ernest",,,CDP,1
Nongma Samuel ZOMA,Nongma Samuel,ZOMA,"ZOMA, Nongma Samuel",,,CDP,1
Noraogo Simplice OUDRAOGO,Noraogo Simplice,OUDRAOGO,"OUDRAOGO, Noraogo Simplice",,,UPC,1
Nouhoun BARRY,Nouhoun,BARRY,"BARRY, Nouhoun",,,ADF/RDA,1
Nurukyor Claude SOMDA,Nurukyor Claude,SOMDA,"SOMDA, Nurukyor Claude",,,CDP,1
Oumarou SAWADOGO,Oumarou,SAWADOGO,"SAWADOGO, Oumarou",,,CDP,1
Ousmane BEMBAMBA,Ousmane,BEMBAMBA,"BEMBAMBA, Ousmane",,,CDP,1
Ouss Adama YARI,Ouss Adama,YARI,"YARI, Ouss Adama",,,UPC,1
Oussni OUANGR,Oussni,OUANGR,"OUANGR, Oussni",,,CDP,1
Palguim Amadou SAMBAR,Palguim Amadou,SAMBAR,"SAMBAR, Palguim Amadou",,,CDP,1
Proper ILBOUDO,Proper,ILBOUDO,"ILBOUDO, Proper",,,CDP,1
Robert Francis COMPAOR,Robert Francis,COMPAOR,"COMPAOR, Robert Francis",,,CDP,1
S. Albert BOUDA,S. Albert,BOUDA,"BOUDA, S. Albert",,,CDP,1
S. Emmanuel BONKOUNGOU,S. Emmanuel,BONKOUNGOU,"BONKOUNGOU, S. Emmanuel",,,CDP,1
S. Eugne KIMD,S. Eugne,KIMD,"KIMD, S. Eugne",,,ADF/RDA,1
S. Macaire OUDRAOGO,S. Macaire,OUDRAOGO,"OUDRAOGO, S. Macaire",,,UPC,1
Sabyemba OUDRAOGO,Sabyemba,OUDRAOGO,"OUDRAOGO, Sabyemba",,,UPC,1
Salfo OUEDRAOGO,Salfo,OUEDRAOGO,"OUEDRAOGO, Salfo",,,UPC,1
Salia SANOU,Salia,SANOU,"SANOU, Salia",,,CDP,1
Sayouba OUEDRAOGO,Sayouba,OUEDRAOGO,"OUEDRAOGO, Sayouba",,,CDP,1
Sibiri Michel OUDRAOGO,Sibiri Michel,OUDRAOGO,"OUDRAOGO, Sibiri Michel",,,UPC,1
Sikidjoua Charlemagne AZIKIBA,Sikidjoua Charlemagne,AZIKIBA,"AZIKIBA, Sikidjoua Charlemagne",,,CDP,1
Si Pascal KAMBOU,Si Pascal,KAMBOU,"KAMBOU, Si Pascal",,,CDP,1
Sni Macaire NAR,Sni Macaire,NAR,"NAR, Sni Macaire",,,CDP,1
T. Moumouni OUEDRAOGO,T. Moumouni,OUEDRAOGO,"OUEDRAOGO, T. Moumouni",,,CDP,1
Teninz SESSOUMA,Teninz,SESSOUMA,"SESSOUMA, Teninz",,,CDP,1
Tibila Vincent SAWADOGO,Tibila Vincent,SAWADOGO,"SAWADOGO, Tibila Vincent",,,CDP,1
Tiga Ernest ILBOUDO,Tiga Ernest,ILBOUDO,"ILBOUDO, Tiga Ernest",,,CDP,1
Tiltora Dominique KAMBOU,Tiltora Dominique,KAMBOU,"KAMBOU, Tiltora Dominique",,,CDP,1
Tyba Thodore KOUNOU,Tyba Thodore,KOUNOU,"KOUNOU, Tyba Thodore",,,CDP,1
Victor TIENDRBOGO,Victor,TIENDRBOGO,"TIENDRBOGO, Victor",,,CDP,1
Wendyell SAWADOGO,Wendyell,SAWADOGO,"SAWADOGO, Wendyell",,,CDP,1
Yamba Flix SOUDR,Yamba Flix,SOUDR,"SOUDR, Yamba Flix",,,CDP,1
Youssouf SANGAR,Youssouf,SANGAR,"SANGAR, Youssouf",,,CDP,1
Yro TAO,Yro,TAO,"TAO, Yro",,,CDP,1
Zambend Thodore SAWADOGO,Zambend Thodore,SAWADOGO,"SAWADOGO, Zambend Thodore",,,CDP,1
Zouli Robert TOUGOUMA,Zouli Robert,TOUGOUMA,"TOUGOUMA, Zouli Robert",,,CDP,1
