name,given_name,family_name,sort_name,gender,birth_date,party,term
T. Patrice DIESSONGO,T. Patrice,DIESSONGO,"DIESSONGO, T. Patrice",,,CDP,2
Tahr OUEDRAOGO,Tahr,OUEDRAOGO,"OUEDRAOGO, Tahr",,,CDP,2
Talata KAFANDO,Talata,KAFANDO,"KAFANDO, Talata",,,CDP,2
Tampouraogo KAGON,Tampouraogo,KAGON,"KAGON, Tampouraogo",,,CDP,2
Tenga SAWADOGO,Tenga,SAWADOGO,"SAWADOGO, Tenga",,,CDP,2
Tibo Michel OUDRAOGO,Tibo Michel,OUDRAOGO,"OUDRAOGO, Tibo Michel",,,CDP,2
Tyba KOUENOU,Tyba,KOUENOU,"KOUENOU, Tyba",,,CDP,2
V. Yolande COMPAORE,V. Yolande,COMPAORE,"COMPAORE, V. Yolande",,,CDP,2
Victor TIENDREBEOGO,Victor,TIENDREBEOGO,"TIENDREBEOGO, Victor",,,CDP,2
Windyll SAWADOGO,Windyll,SAWADOGO,"SAWADOGO, Windyll",,,CDP,2
Xavier NIODOGO,Xavier,NIODOGO,"NIODOGO, Xavier",,,CDP,2
Y. Emile BONKOUNGOU,Y. Emile,BONKOUNGOU,"BONKOUNGOU, Y. Emile",,,CDP,2
Y. Rigobert TINDANO,Y. Rigobert,TINDANO,"TINDANO, Y. Rigobert",,,CDP,2
Yamba Patrice IDANI,Yamba Patrice,IDANI,"IDANI, Yamba Patrice",,,CDP,2
Youssouf SANGAR,Youssouf,SANGAR,"SANGAR, Youssouf",,,CDP,2
Zembend Thodore SAWADOGO,Zembend Thodore,SAWADOGO,"SAWADOGO, Zembend Thodore",,,CDP,2
Zourkaleyni KARIMOUN,Zourkaleyni,KARIMOUN,"KARIMOUN, Zourkaleyni",,,CDP,2
souleymane ZIBAR,souleymane,ZIBAR,"ZIBAR, souleymane",,,CDP,2
