name,given_name,family_name,sort_name,gender,birth_date,party,term
Fatoumata DIENDERE/DIALLO,Fatoumata,DIENDERE/DIALLO,"DIENDERE/DIALLO, Fatoumata",,,CDP,3
Fidle HIEN,Fidle,HIEN,"HIEN, Fidle",,,ADJ,3
Fidle LANKOAND,Fidle,LANKOAND,"LANKOAND, Fidle",,,UPC,3
Fidle OUI,Fidle,OUI,"OUI, Fidle",,,CDP,3
Fidle TO,Fidle,TO,"TO, Fidle",,,ADJ,3
Folga Ildevert LANKOANDE,Folga Ildevert,LANKOANDE,"LANKOANDE, Folga Ildevert",,,ADF/RDA,3
Gaspard BADOLO,Gaspard,BADOLO,"BADOLO, Gaspard",,,UPC,3
H. Rasman COMPAOR,H. Rasman,COMPAOR,"COMPAOR, H. Rasman",,,CDP,3
H. Thodule DA,H. Thodule,DA,"DA, H. Thodule",,,CFR,3
Habata Marlne ZEBANGO,Habata Marlne,ZEBANGO,"ZEBANGO, Habata Marlne",,,ADJ,3
Harouna MAGA,Harouna,MAGA,"MAGA, Harouna",,,CDP,3
Hyacinthe SANWIDI,Hyacinthe,SANWIDI,"SANWIDI, Hyacinthe",,,Non inscrit,3
Idrissa Alfred SEKON,Idrissa Alfred,SEKON,"SEKON, Idrissa Alfred",,,CDP,3
Idrissa OUDRAOGO,Idrissa,OUDRAOGO,"OUDRAOGO, Idrissa",,,ADF/RDA,3
Idrissa TANDAMBA,Idrissa,TANDAMBA,"TANDAMBA, Idrissa",,,CDP,3
Jean-Baptiste YAMOGO,Jean-Baptiste,YAMOGO,"YAMOGO, Jean-Baptiste",,,CDP,3
Jean-Lonard COMPAORE,Jean-Lonard,COMPAORE,"COMPAORE, Jean-Lonard",,,CDP,3
Joseph KABORE,Joseph,KABORE,"KABORE, Joseph",,,CDP,3
Josphine DRABO/KANYOULOU,Josphine,DRABO/KANYOULOU,"DRABO/KANYOULOU, Josphine",,,ADF/RDA,3
K. Ernest SOULAMA,K. Ernest,SOULAMA,"SOULAMA, K. Ernest",,,CDP,3
K. Madeleine BONZI,K. Madeleine,BONZI,"BONZI, K. Madeleine",,,CDP,3
K. Yri Adle KYEMTORE,K. Yri Adle,KYEMTORE,"KYEMTORE, K. Yri Adle",,,CDP,3
K.M. Suzanne COULIBALY,K.M. Suzanne,COULIBALY,"COULIBALY, K.M. Suzanne",,,UPC,3
Kanidoua NABOHO,Kanidoua,NABOHO,"NABOHO, Kanidoua",,,CDP,3
L. Bernard OUEDRAOGO,L. Bernard,OUEDRAOGO,"OUEDRAOGO, L. Bernard",,,CDP,3
Laleyan Sadou GOUEM,Laleyan Sadou,GOUEM,"GOUEM, Laleyan Sadou",,,CDP,3
Larba YARGA,Larba,YARGA,"YARGA, Larba",,,CDP,3
Laurent BADO,Laurent,BADO,"BADO, Laurent",,,ADJ,3
M'P Augustin DEMBEL,M'P Augustin,DEMBEL,"DEMBEL, M'P Augustin",,,CFR,3
M. Christophe OUATTARA,M. Christophe,OUATTARA,"OUATTARA, M. Christophe",,,ADF/RDA,3
M.J. Achille TAPSOBA,M.J. Achille,TAPSOBA,"TAPSOBA, M.J. Achille",,,CDP,3
Mahama SAWADOGO,Mahama,SAWADOGO,"SAWADOGO, Mahama",,,CDP,3
Mlgu TRAORE,Mlgu,TRAORE,"TRAORE, Mlgu",,,CDP,3
Nazi BANI,Nazi,BANI,"BANI, Nazi",,,CFR,3
Niquibo FANCANI,Niquibo,FANCANI,"FANCANI, Niquibo",,,CDP,3
Nouhoun BARRY,Nouhoun,BARRY,"BARRY, Nouhoun",,,ADF/RDA,3
Nol SOURWEMA,Nol,SOURWEMA,"SOURWEMA, Nol",,,CDP,3
Nbili Franois BADOLO,Nbili Franois,BADOLO,"BADOLO, Nbili Franois",,,ADJ,3
O. Franois OUEDRAOGO,O. Franois,OUEDRAOGO,"OUEDRAOGO, O. Franois",,,UPC,3
Oubkiri YAO,Oubkiri,YAO,"YAO, Oubkiri",,,CDP,3
Oussina MIKHALOU,Oussina,MIKHALOU,"MIKHALOU, Oussina",,,CDP,3
Oussni TAMBOURA,Oussni,TAMBOURA,"TAMBOURA, Oussni",,,ADF/RDA,3
Pat Jean Claude KABOR,Pat Jean Claude,KABOR,"KABOR, Pat Jean Claude",,,ADF/RDA,3
Philippe OUEDRAOGO,Philippe,OUEDRAOGO,"OUEDRAOGO, Philippe",,,ADJ,3
Pierre TAPSOBA,Pierre,TAPSOBA,"TAPSOBA, Pierre",,,CDP,3
Pissi MASSIMBO,Pissi,MASSIMBO,"MASSIMBO, Pissi",,,CFR,3
R. Joanny ZONGO,R. Joanny,ZONGO,"ZONGO, R. Joanny",,,CDP,3
Ram OUEDRAOGO,Ram,OUEDRAOGO,"OUEDRAOGO, Ram",,,UPC,3
Ramata DIALLO,Ramata,DIALLO,"DIALLO, Ramata",,,CFR,3
Roch KABORE,Roch,KABORE,"KABORE, Roch",,,CDP,3
Rn Emile KABORE,Rn Emile,KABORE,"KABORE, Rn Emile",,,CDP,3
Salfo Thodore OUEDRAOGO,Salfo Thodore,OUEDRAOGO,"OUEDRAOGO, Salfo Thodore",,,UPC,3
Salif OUDRAOGO,Salif,OUDRAOGO,"OUDRAOGO, Salif",,,ADJ,3
Salvador YAMEOGO,Salvador,YAMEOGO,"YAMEOGO, Salvador",,,CFR,3
Sansan Lucien KAMBIR,Sansan Lucien,KAMBIR,"KAMBIR, Sansan Lucien",,,CDP,3
Saran SERE/SEREME,Saran,SERE/SEREME,"SERE/SEREME, Saran",,,CDP,3
Sayouba GUIRO,Sayouba,GUIRO,"GUIRO, Sayouba",,,CDP,3
Sayouba OUEDRAOGO,Sayouba,OUEDRAOGO,"OUEDRAOGO, Sayouba",,,CDP,3
Sadou KABOR,Sadou,KABOR,"KABOR, Sadou",,,CFR,3
Sibiri Dval MILLOGO,Sibiri Dval,MILLOGO,"MILLOGO, Sibiri Dval",,,ADJ,3
Sidiki BELEM,Sidiki,BELEM,"BELEM, Sidiki",,,ADF/RDA,3
Simon SAWADOGO,Simon,SAWADOGO,"SAWADOGO, Simon",,,CDP,3
Si Pascal KAMBOU,Si Pascal,KAMBOU,"KAMBOU, Si Pascal",,,CDP,3
Soma BARO,Soma,BARO,"BARO, Soma",,,CDP,3
Soumane TOUR,Soumane,TOUR,"TOUR, Soumane",,,CFR,3
Sbastien OUEDRAOGO,Sbastien,OUEDRAOGO,"OUEDRAOGO, Sbastien",,,CFR,3
T. Abel COULIBALY,T. Abel,COULIBALY,"COULIBALY, T. Abel",,,CFR,3
T. Abel LOMPO,T. Abel,LOMPO,"LOMPO, T. Abel",,,CDP,3
T. Bernard NABARET,T. Bernard,NABARET,"NABARET, T. Bernard",,,CDP,3
T. Boniface ZANGO,T. Boniface,ZANGO,"ZANGO, T. Boniface",,,CFR,3
T. Patrice DIESSONGO,T. Patrice,DIESSONGO,"DIESSONGO, T. Patrice",,,CDP,3
Tahr OUEDRAOGO,Tahr,OUEDRAOGO,"OUEDRAOGO, Tahr",,,CDP,3
Victor TIENDREBEOGO,Victor,TIENDREBEOGO,"TIENDREBEOGO, Victor",,,CDP,3
W. Stphane SANOU,W. Stphane,SANOU,"SANOU, W. Stphane",,,ADF/RDA,3
Y. Boukari MOGMENGA,Y. Boukari,MOGMENGA,"MOGMENGA, Y. Boukari",,,CFR,3
Y. Viviane COMPAOR,Y. Viviane,COMPAOR,"COMPAOR, Y. Viviane",,,CDP,3
Yamba Malick SAWADOGO,Yamba Malick,SAWADOGO,"SAWADOGO, Yamba Malick",,,CDP,3
Yamba Malik SAWADOGO,Yamba Malik,SAWADOGO,"SAWADOGO, Yamba Malik",,,CDP,3
Yonl Kisito SOM,Yonl Kisito,SOM,"SOM, Yonl Kisito",,,ADF/RDA,3
Ynignia Prosper BANGOU,Ynignia Prosper,BANGOU,"BANGOU, Ynignia Prosper",,,CFR,3
hama Moussa DICKO,hama Moussa,DICKO,"DICKO, hama Moussa",,,ADJ,3
