id,name,gender,summary,image,image_source
17,Amos Midzi,male,Epworth Member of the National Assembly. Former Minister of Energy and Power Development (2002 -2004) and Minister of Mines and Mining Development (2004 -2009).Also former Ambassador to the United States (1993).,http://www.kuvakazim.com/media_root/images/amos_midzi.jpg,http://www.herald.co.zw/wp-content/uploads/2011/05/00000amos%20midzi.jpg
18,Webster Maondera,male,Glen Norah Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/Webster_Maondera.jpg,Facebook
19,Fani Munengami,male,Glenview North Member of National Assembly,,
20,Paul Madzore,male,Glen View South Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/Paul_Madzore.jpg,http://4.bp.blogspot.com/-0SAqUgHIU2o/Ujf7RnCgRXI/AAAAAAABGAg/k_pnMCKP_XY/s1600/MADZ.jpg
21,Murisi Zwizwai,male,Harare Central Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/Murisi_Zwizwai.jpg,http://www.swradioafrica.com/faces/Murisi%20Zwizwai.jpg
22,Tendai Biti,male,Harare East Member of National Assembly & Former Minister of Finance (2009-2013),http://www.kuvakazim.com/media_root/images/tendai_biti.jpg,http://sydney.edu.au/images/content/news/2010/mar/tendai_biti.jpg
23,Tongesai Mudambo,male,Harare North Member of the National Assembly.,,
24,Shadreck Mashayamombe,male,Harare South Member of the National Assembly.,,
25,Fungai J Majome,female,Harare West Member of the National Assembly.Former Deputy Minister of Justice and Legal Affairs (2009-2010) and Former Deputy Minister of Women Affairs Gender and Community Development (2010-2013).,http://www.kuvakazim.com/media_root/images/jessie-majome3.jpg,http://img.thezimbabwean.co.uk/640_960_jessie-majome3.jpg
26,Tapiwa Mashakada,male,Hatfield Member of the National Assembly and Former Minister for Economic Planning and Investment Promotion (2009-2013),http://www.kuvakazim.com/media_root/images/tapiwa-Mahakada-new.jpg,http://www.financialgazette.co.zw/wp-content/uploads/tapiwa-Mahakada-new.jpg
27,Erick Murai,male,Highfield East Member of National Assembly,,
28,Moses Manyengawana,male,Highfield West Member of the National Assembly.,,
29,Willias Madzimure,male,Kambuzuma Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/willias_madzimure.png,http://www.swradioafrica.com/faces/willias.png
30,Lucia Matibenga,female,Kuwadzana Member of the National Assembly. Former Minister of Public Service (2011-2013).,http://www.kuvakazim.com/media_root/images/luciamatibenga17jan.jpg,http://www.herald.co.zw/wp-content/uploads/2013/01/luciamatibenga17jan.jpg
31,Nelson Chamisa,male,"Kuwadzana East Member of the National Assembly & Former Minister of Information, Communication & Technology (2009-2013).",http://www.kuvakazim.com/media_root/images/chamisa_nelson_copy-150x175.jpg,http://www.herald.co.zw/wp-content/uploads/2010/10/chamisa%20nelson%20copy-150x175.jpg
32,James Maridadi,male,Mabvuku Tafara Member of the National Assembly,http://www.kuvakazim.com/media_root/images/maridadi_765583828.jpg,http://www.zimbabweonlinepress.com/thumbnail.php?file=maridadi_765583828.jpg&size=article_medium
33,Tendai Savanhu,male,Mbare Member of National Assembly and Deputy Minister of Lands and Rural Resettlement,,
34,Jaison Passade,male,Mount Pleasant Member of the National Assembly.,,
35,Paurina Mpariwa,female,Mufakose Member of the National Assembly and Former Minister of Labour and Social Welfare (2009-2013),http://www.kuvakazim.com/media_root/images/Hon_Mupariwa.JPG,http://3.bp.blogspot.com/-tuFyHSQltuw/TzWZa5Ack_I/AAAAAAAAAFE/AyDuLBy342k/s320/Hon%2BMupariwa.JPG
36,Gift Chimanikire,male,Southerton Member of National Assembly.,http://www.kuvakazim.com/media_root/images/Gift-Chimanikire.jpg,http://nehandaradio.com/wp-content/uploads/2013/07/Gift-Chimanikire.jpg
37,Unganai Tarusenga,male,St Mary's Member of the National Assembly.,,
38,Margaret Matienga,female,Sunningdale Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/matiengamagaret.jpg,http://www.herald.co.zw/wp-content/uploads/2012/05/matiengamagaret.jpg
39,Elias Mudzuri,male,Warren Park Member of the National Assembly. Former Harare Mayor (2002-2003).,http://www.kuvakazim.com/media_root/images/Elias_mudzuri.jpg,http://4.bp.blogspot.com/_fuvTXxQxEmA/RtzyONTtP7I/AAAAAAAAArs/-ANCUe-i35U/s1600/mayormudzuri.jpg
40,Alexio Musundire,male,Zengeza East Member of the National Assembly,http://www.kuvakazim.com/media_root/images/alexio_musundire.jpg,http://www.herald.co.zw/wp-content/uploads/2011/11/alexio%20musundire.jpg
41,Simon Chidhakwa,male,Zengeza West Member of the National Assembly.,,
42,Ronald Muderedzwa,male,Buhera Central Member of the National Assembly,,
43,William Mutomba,male,Buhera North Member of National Assemby.,http://www.kuvakazim.com/media_root/images/mutombawilliam.jpg,http://www.herald.co.zw/wp-content/uploads/2012/04/mutombawilliam.jpg
44,Joseph Chinotimba,male,Buhera South member of the National Assembly,http://www.kuvakazim.com/media_root/images/chinos.png,http://news.zimonlinenews.com/wp-content/uploads/2013/08/chinos.png
45,Oliver Mandipaka,male,Buhera West Member of the National Assembly and Former National Police Spokesperson.,http://www.kuvakazim.com/media_root/images/Oliver_mandipaka.jpg,http://4.bp.blogspot.com/-9bHANpqfOME/UFPGFab8wPI/AAAAAAAAQbk/lTZFQvS0Ek0/s1600/wayne.jpg
46,Samuel Undenge,male,Chimanimani East Member of the National Assembly & Deputy Minister of Finance,http://www.kuvakazim.com/media_root/images/samuel-udenge.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/06/samuel-udenge.jpg
47,Munacho Mutezo,male,Chimanimani West Member of the National Assembly & Deputy Minister of Energy and Power Development,http://www.kuvakazim.com/media_root/images/Munacho_Mutezo.jpg,http://leadengine.co/images/square/32c182fc877771f55b0acaf734730fa7.jpg
48,Raymore Machingura,male,Chipinge Central Member of the National Assembly.,,
49,Win Busayi Mlambo,male,"Chipinge East Member of the National Assembly and Deputy Minister of Information Communication Technology, Postal and Courier Services",http://www.kuvakazim.com/media_root/images/Win-Busayi-Juyana-Mlambo-.jpg,http://nehandaradio.com/wp-content/uploads/2011/07/Win-Busayi-Juyana-Mlambo-.jpg
50,Enock Porusingazi,male,Chipinge South Member of the National Assembly.,,
51,Adam Chimwamurombe,male,Chipinge West Member of the National Assembly.,,
52,Arnold Tsunga,male,Dangamvura-Chikanga Member of the National Assembly,http://www.kuvakazim.com/media_root/images/Arnold-Tsunga-Zimbabwe.png,http://www.advocatenvooradvocaten.nl/lawyers/arnold-tsunga/
53,Didymus Mutasa,male,"Headlands Member of the National Assembly & Minister of Presidential Affairs. Former Speaker of Parliament (1980 -1990).Also Former Minister of State for National Security,  Lands, Land Reform & Resettlement in the President's Office.Former State Security Minister (2005)",http://www.kuvakazim.com/media_root/images/dydimus_mutasa.jpg,http://zimbabweelection.files.wordpress.com/2013/05/310_310_dydimus_mutasa.jpg
54,Patrick Chinamasa,male,"Makoni Central Member of the National Assembly & Minister of Finance.Former Minister of Justice, Legal & Parliamentary Affairs ( 2000 - 2013).",http://www.kuvakazim.com/media_root/images/chinamasa.jpg,http://thezimbabwemirror.com/wp-content/uploads/2013/06/chinamasa.jpg
55,Francis Muchenje,male,Makoni North Member of National Assembly.,,
56,Mandi M. Chimene,female,Makoni South Member of the National Assembly.,,
57,Kudzanayi Chipanga,male,Makoni West Member of the National Assembly,,
58,Prosper Mutseyami,male,Musikavanhu Member of the National Assembly.,,
59,Innocent Gonese,male,Mutare Central Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/INNOCENT-GONESE-3.jpg,https://www.newsday.co.zw/wp-content/uploads/2012/12/INNOCENT-GONESE-3.jpg
60,Batsirayi Pemhenayi,male,Mutare North Member of National Assembly,,
61,Nyasha Chikwinya,female,Mutare South Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/nyashachikwinyaw.jpg,http://www.herald.co.zw/wp-content/uploads/2012/02/nyashachikwinyaw.jpg
62,Christopher Mushohwe,male,Mutare West Member of the National Assembly & Minister of State for Manicaland Province. Former Resident Minister & Governor of Manicaland Province.,http://www.kuvakazim.com/media_root/images/chris_mushohwe2.jpg,http://img.thezimbabwean.co.uk/310_399_chris_mushohwe2.jpg
63,Trevor Saruwaka,male,Mutasa Central Member of the National Assembly,,
64,Luke Musamvu,male,Mutasa North Member of the National Assembly.,,
65,Irene Zindi,female,Mutasa South Member of National Assembly.,,
66,Hubert Nyanhongo,male,,,
67,Supa C. Mandiwanzira,male,"Nyanga South Member of the National Assembly and Deputy Minister of Media, Information and Broadcasting Services",http://www.kuvakazim.com/media_root/images/Supa.jpg,http://img.thezimbabwean.co.uk/420_240_4ea7a975cbde5.jpg
68,Kenneth S. Musanhi,male,Bindura North Member of the National Assembly,,
69,Toendepi Matangira,male,Bindura South Member of the National Assembly.,,
70,Epmarcus Kanhanga,male,Guruve North Constituency Member of National Assembly,,
71,Chriswell Mutematsaka,male,,,
72,Tabetha Kanengoni-Malinga,female,"Mazowe Central Member of the National Assembly and Deputy Minister of Sports, Arts and Culture",http://www.kuvakazim.com/media_root/images/Tabeth_Kanengoni.jpg,http://3.bp.blogspot.com/-Y1Lz_V3aAX8/UibIyOsEf-I/AAAAAAABFGQ/JTZ9nEwywko/s1600/MEL5.jpg
73,Edgar Chidavaenzi,male,Mazowe North Member of the National Assembly,,
74,Fortune Chasi,male,Mazowe South Member of National Assembly.,http://www.kuvakazim.com/media_root/images/MP_Fortune_Chasi.jpg,http://upload.wikimedia.org/wikipedia/commons/8/85/MP_Fortune_Chasi.jpg
75,Kazembe Kazembe,male,Mazowe West Member of the National Assembly.,,
76,David Butau,male,Mbire Member of the National Assembly,,
77,Christopher Kuruneri,male,Mount Darwin East Member of National Assembly. Former Minister of Finance,http://www.kuvakazim.com/media_root/images/kuruneri.jpg,http://www.newzimbabwe.com/pix/kuruneri.jpg
78,Noveti Muponora,male,Mt Darwin North Member of the National Assembly.,,
79,Saviour Kasukuwere,male,"Mt Darwin South Member of the National Assembly & Minister of Environment, Water and Climate, Former Minister of Youth, Indigenization and Economic Empowerment (2009-2013)",http://www.kuvakazim.com/media_root/images/saviour_Kasukuwere.jpg,http://researchandadvocacyunit.files.wordpress.com/2013/01/saviour.jpg?w=474
80,Joice Mujuru,female,Mt Darwin West Member of the National Assembly & the Vice President of Zimbabwe,http://www.kuvakazim.com/media_root/images/VP-Mujuru.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/06/VP-Mujuru.jpg
81,Alfred Mufunga,male,Muzarabani North Member of National Assembly,,
82,Christopher Chitindi,male,Muzarabani South Member of National Assembly,http://www.kuvakazim.com/media_root/images/Chris_Chitindi.jpg,Facebook
83,Wonder Mashange,male,Rushinga Member of the National Assembly,http://www.kuvakazim.com/media_root/images/mashangewonder.jpg,http://www.herald.co.zw/wp-content/uploads/2013/07/mashangewonder.jpg
84,Nicholas Goche,male,"Shamva North Member of the National Assembly & Minister of Public Service, Labour and Social Welfare",http://www.kuvakazim.com/media_root/images/Nicholas_Goche.jpg,http://www.africa-confidential.com/uploads/whos_who/f625db1e4fa2457aae7a07489d142121.jpg
85,Joseph Mapiki,male,Shamva South Member of the National Assembly,,
86,Felix Mhona,male,Chikomba Central Member of the National Assembly.,,
87,Edgar Mbwembwe,male,Chikomba East Member of the National Assembly,,
88,Michael Bimha,male,Chikomba West Member of the National Assembly and Minister of Industry and Commerce,http://www.kuvakazim.com/media_root/images/Michael_Bimha.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/09/Bus12-300x234.jpg
89,Tendayi P. Zhanda,male,Goromonzi North Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/zhanda_p.jpg,http://www.herald.co.zw/wp-content/uploads/2011/07/zhanda%20p.jpg
90,Petronella Kagonye,female,Goromonzi South Member of the National Assembly.,,
91,Biata B. Nyamupinga,female,Goromonzi West Member of the National Assembly. Former Chairperson of the Zimbabwe Women's Parliamentary Caucus.,http://www.kuvakazim.com/media_root/images/Biata-Beatrice-Nyamupinga-590.jpg,http://nehandaradio.com/wp-content/uploads/2011/12/Biata-Beatrice-Nyamupinga-590.jpg
92,Washington Masvaire,male,Maramba Pfungwe Member of the National Assembly.,,
93,Ray Kaukonde,male,Marondera Central Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/kaukonderay.jpg,http://www.herald.co.zw/wp-content/uploads/2012/04/kaukonderay.jpg
94,Ambrose Mutinhiri,male,Marondera West Member of National Assembly. Former Minister of Youth Development and Employment Creation.,http://www.kuvakazim.com/media_root/images/MutinhiriAmbrose..jpg,http://img.thezimbabwean.co.uk/640_683_MutinhiriAmbrose..jpg
95,Newton Kachepa,male,Mudzi North Member of the National Assembly.,,
96,Jonathan Samukange,male,Mudzi South Member of the National Assembly.,,
97,Aqualina Katsande,female,Mudzi West Member of the National Assembly,http://www.kuvakazim.com/media_root/images/Aqualinah_Katsande.jpg,http://www.swradioafrica.com/faces/Aqualinah_Katsande.jpg
98,Tendayi Makunde,male,Murehwa North Member of the National Assembly,,
99,Biggie J. Matiza,male,"Murehwa South Member of National Assembly. Deputy Minister of Local Government, Public Works & National Housing",http://www.kuvakazim.com/media_root/images/Joel-Biggie-Matiza.jpeg,www.herald.co.zw
100,Ladislus Ndoro,male,Murehwa West Member of the National Assembly.,,
101,Mubvumbi Mawere,male,Mutoko East member of the National Assembly.,,
102,Mable M. Chinomona,female,Mutoko North Member of the National Assembly.,,
103,David Chapfika,male,Mutoko South Member of National Assembly. Former Deputy Minister of Finance.,http://www.kuvakazim.com/media_root/images/David-Chapfika.jpg,http://www.znccharare.co.zw/2012/04/12/again-the-bank-indigenisation-debate-chapfika-sticks-to-the-act/
104,Phineas Chiota,male,Seke Member of the National Assembly.,,
105,Simbaneuta Mudarikwa,male,Uzumba Member of the National Assembly and Mashonaland East Minister,http://www.kuvakazim.com/media_root/images/Simbaneutamudarikwa.jpg,http://www.zimbabweonlinepress.com/thumbnail.php?file=Simbaneutamudarikwa_526728401.jpg&size=article_medium
106,Simon Musanhu,male,"Wedza North Member of the National Assembly and Deputy Minister of Environment, Water and Climate",,
107,Michael Madanha,male,Wedza South Member of the National Assembly.,,
108,Aldrin Musiiwa,male,Chakari Member of the National Assembly.,,
109,Webster Shamu,male,"Chegutu East Member of the National Assembly & Minister of Information Communication Technology, Postal and Courier Services.",http://www.kuvakazim.com/media_root/images/webster-shamu.jpg,http://philmatibe.files.wordpress.com/2009/10/webster-shamu.jpg
110,Dextor T. Nduna,male,Chegutu West Member of the National Assembly.,,
111,Peter Mataruse,male,Chinhoyi Member of the National Assembly.,,
112,Godfrey Beremauro,male,Hurungwe Central Member of the National Assembly.,,
113,Sarah Mahoka,female,Hurungwe East Member of the National Assembly,http://www.kuvakazim.com/media_root/images/mahokasarah.jpg,http://4.bp.blogspot.com/-_iAzMj1gD_0/T43xXbM53AI/AAAAAAAACr4/zmnp0bzrgEc/s1600/mahokasarah.jpg
114,Reuben Marumahoko,male,Hurungwe North Member of the National Assembly,http://www.kuvakazim.com/media_root/images/Reuben-Marumahoko.jpg,http://www.zanupfcrime.com/graphics/suspects/Reuben-Marumahoko.jpg
115,Temba Mliswa,male,Hurungwe West Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/Themba-Mliswa.png,http://www.herald.co.zw/wp-content/uploads/2013/08/Themba-Mliswa.png
116,Fani Phanuel Phiri,male,Kadoma Central Member of the National Assembly,,
117,Isaac Mackenzie,male,Kariba Member of the National Assembly,,
118,Godfrey Gandawa,male,Magunje Constituency Member of National Assembly,http://www.kuvakazim.com/media_root/images/Godfrey_Gandawa.jpg,https://www.newsday.co.zw/wp-content/uploads/2013/05/gandawa-002-100x100.jpg
119,Kindness Paradza,male,Makonde Member of the National Assembly,,
120,Thomas Maseko,male,Mhangura Member of the National Assembly,,
121,Sylvester Nguni,male,Mhondoro-Mubaira Member of the National Assembly & Minister of State in Vice President ,http://www.kuvakazim.com/media_root/images/nguni.jpg,http://www.thecottoncompany.com/news/images/nguni.jpg
122,Mike Gava,male,Mhondoro-Ngezi Member of the National Assembly.,,
123,Peter Haritatos,male,Muzvezve Member of the National Assembly,,
124,Christopher Mutsvangwa,male,,http://www.kuvakazim.com/media_root/images/Christopher-Mutsvangwa-682x1024.jpg,https://www.newsday.co.zw/wp-content/uploads/2013/02/Christopher-Mutsvangwa-682x1024.jpg
125,Blessed Runesu,male,Sanyati Member of National Assembly,,
126,Francis Mukwangwariwa,male,Zvimba East Member of National Assembly,,
127,Ignatius Chombo,male,"Zvimba North Member of the National Assembly &  Minister of Local Government, Public Works and National Housing.",http://www.kuvakazim.com/media_root/images/chombo_ign.jpg,http://1.bp.blogspot.com/-O5_951IbQP8/UiHxe62BDgI/AAAAAAAAA6M/XQsIKPDUzT8/s1600/chombo+ign.jpg
128,Walter Chidhakwa,male,Zvimba South Member of the National Assembly & Minister of Mines and Mining Development,http://www.kuvakazim.com/media_root/images/Hon_Walter_K._Chidhakwa.jpg,www.copac.gov.zw
129,Ziyambi Ziyambi,male,Zvimba West Member of the National Assembly and Deputy Minister of Home Affairs.,http://www.kuvakazim.com/media_root/images/Ziyambe-Ziyambe.jpg,http://www.herald.co.zw/wp-content/uploads/2013/10/Ziyambe-Ziyambe.jpg
130,Kennedy Matimba,male,Bikita East Member of the National Assembly,,
131,Jeppy Jaboon,male,Bikita South Member of the National Assembly.,,
132,Munyaradzi Kereke,male,Bikita West Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/Munyaradzi_kereke.jpg,http://www.newzimbabwe.com/news/images/news_bkereke-munya-250.jpg
133,Denford Masiya,male,Chiredzi East Member of National Assembly,http://www.kuvakazim.com/media_root/images/2013-11-24-20-17-37-1579959567.jpeg,Denford Masiya - Google+
134,Robert Mukwena,male,Chiredzi North Member of the National Assembly.,,
135,Kalitso Gwanetsa,male,Chiredzi South Member of the National Assembly,,
136,Ephraim Gwanonodza,male,Chivi Central Member of National Assembly,,
137,Mathias Tongofa,male,Chivi North Member of the National Assembly.,,
138,Mafios Vutete,male,Chivi South Member of the National Assembly.,,
139,Lovemore Matuke,male,Gutu Central Member of the National Assembly.,,
140,Berta Chikwama,female,Gutu East Member of National Assembly.,,
141,Paul Chimedza,male,Gutu South Member of the National Assembly and Deputy Minister of Health and Child Care,http://www.kuvakazim.com/media_root/images/Paul_Chimedza.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/09/Loc14.jpg
142,Tongai Muzenda,male,"Gutu West Member of the National Assembly and Deputy Minister of Public Service, Labour and Social Welfare",http://www.kuvakazim.com/media_root/images/Tongai_Muzenda.jpg,http://www.herald.co.zw/wp-content/uploads/2013/07/tongaiz.jpg
143,Edmond Mhere,male,Masvingo Central Member of the National Assembly,,
144,Davis Marapira,male,"Masvingo North Member of National Assembly. Deputy Minister of Agriculture -(Cropping, Mechanisation & Irrigation Development).",http://www.kuvakazim.com/media_root/images/Hon-Marapira-Davis-12.jpeg,www.herald.co.zw
145,Walter Mzembi,male,Masvingo South Member of National Assembly and  Minister of Tourism and Hospitality Industry.,http://www.kuvakazim.com/media_root/images/Walter_Mzembi.jpeg,https://si0.twimg.com/profile_images/378800000020679077/58c63ed01846c53088c5d2353bee03cc.jpeg
146,Daniel Shumba,male,Masvingo Urban Member of National Assembly,http://www.kuvakazim.com/media_root/images/news_bDaniel-Shumba-250_1.jpg,http://www.newzimbabwe.com/news/images/news_bDaniel-Shumba-250.jpg
147,Ezira Ruvai,male,Masvingo West Member of National Assembly,,
148,Chuma K. Bhasikiti,male,Mwenezi East Member of National Assembly. Masvingo Minister of State for Provincial Affairs.,,
149,Lamson Moyo,male,Mwenezi West Member of the National Assembly,,
150,Paradzai Chakona,male,Zaka Central Member of the National Assembly.,,
151,Samson T. Mukanduri,male,Zaka East member of the National Assembly.,,
152,Robson Mavenyengwa,male,Zaka North Member of the National Assembly.,,
153,Mapetere D. V. Mawere,male,Zaka West Member of the National Assembly.,,
154,Emmerson Mnangagwa,male,"Chirumanzu-Zibagwe Member of the National Assembly & Minister of Justice, Legal and Parliamentary Affairs. Minister of State Security (1980-1988). Minister of Justice, Legal and Parliamentary Affairs (1989-2000). Acting Minister of Finance (1995-1996). Speaker of Parliament (2000-2005).Minister of Rural Housing & Social Amenities (2005-2009). Minister of Defence (2009-2013).",http://www.kuvakazim.com/media_root/images/Emmerson-Mnangagwa.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/07/Emmerson-Mnangagwa.jpg
155,Innocent Pedzisai,male,Chirumanzu Member of the National Assembly.,,
156,Kizito Chivamba,male,Chiwundura Member of National Assembly.,,
157,Cephas Sindi,male,Gokwe Chireya Member of National Assembly,,
158,Justice Mayor Wadyajena,male,Gokwe-Nembudziya Member of the National Assembly,,
159,Paul Mavima,male,Gokwe-Sengwe Member of the National Assembly.,,
160,Jeffrey Runzirwai,male,Gokwe-Sesame Member of the National Assembly.,,
161,Dorothy Mangami,female,Gokwe Member of National Assembly,,
162,Melenia Mahiya,female,Gokwe-Gumunyu Member of the National Assembly.,,
163,Leonard Chikomba,male,Gokwe Kabuyuni Member of the National Assembly.,,
164,Owen Ncube,male,Gokwe Kana Member of the National Assembly.,,
165,Miriam Makweya,female,Gokwe Mapfungautsi Member of the National Assembly.,,
166,Sesel Zvidzai,male,Gweru Urban Member of the National Aseembly.,http://www.kuvakazim.com/media_root/images/Sesel-zvidzai.jpg,http://www.newzimbabwe.com/news/images/news_bsesel-zvidzai-250.jpg
167,Masango Matambanadzo,male,KweKwe Central Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/Masango-Matambanadzo.jpg,http://zimbanewsonline.com/wp-content/uploads/2013/08/Masango-Matambanadzo.jpg
168,Makhosini Hlongwane,male,Mberengwa East Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/hlongwane_makhosini.jpg,http://www.herald.co.zw/wp-content/uploads/2011/05/01hlongwane%20makhosini.jpg
169,Iris Chiratidzo Mabuwa,female,Mberengwa South Member of Parliament and Deputy Minister of Industry and Commerce,,
170,Joram Gumbo,male,Mberengwa South Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/Joram-Gumbo.jpg,http://img.thezimbabwean.co.uk/310_207_Joram-Gumbo.jpg
171,Settlement Chikwinya,male,Mbizo Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/Settlement_Chikwinya.jpg,http://www.herald.co.zw/wp-content/uploads/2011/07/chikwinya.jpg
172,Amos Chibaya,male,Mkoba Member of National Assembly.,http://www.kuvakazim.com/media_root/images/amos-chibaya-842x1024.jpg,https://www.newsday.co.zw/wp-content/uploads/2013/02/amos-chibaya-842x1024.jpg
173,Harris Ncube,male,Redcliffe Member of the National Assembly.,,
174,Chenayimoyo D. Francis Nhema,male,"Shurugwi North Member of the National Assembly & Minister of Youth, Indigenization and Economic Empowerment. Former Minister of Environment & Tourism.",http://www.kuvakazim.com/media_root/images/Nhema_1.jpg,Internet
175,Tapiwanashe Matangaidze,male,Shurugwi South Member of the National Assembly.,,
176,Mthokozisi M. Mpofu,male,Silobela Member of the National Assembly.,,
177,Josephat Madubeko,male,Vungu Member of the National Assembly.,,
178,Daniel M. Ncube,male,Zhombe Member of the National Assembly.,,
179,John Holder,male,Zvishavane Ngezi Member of the National Assembly.,,
180,Fred Moyo,male,Zvishavane-Runde Member of the National Assembly,http://www.kuvakazim.com/media_root/images/Fred-Moyo.jpg,http://nehandaradio.com/wp-content/uploads/2013/02/Fred-Moyo.jpg
181,Dubeko Sibanda,male,Binga North Member of the National Assembly,,
182,Joel G. Gabbuza,male,Binga South Member of the National Assembly,http://www.kuvakazim.com/media_root/images/gabu.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/09/Top11.jpg
183,Clifford Sibanda,male,Bubi Member of National Assembly,,
184,Brian Tshuma,male,Hwange Central Member of the National Assembly,http://www.kuvakazim.com/media_root/images/Thsuma.jpg,www.copac.gov.zw
185,Tose Wesley Sansole,male,Hwange East Member of the National Assembly,,
186,Bekithemba Mpofu,male,Hwange West Member of National Assembly,,
187,Sithemba Gumbo,female,Lupane East Member of the National Assembly.,,
188,Martin Khumalo,male,Lupane West Constituency Member of the National Assembly,http://www.kuvakazim.com/media_root/images/Hon_Martin_Khumalo.jpg,www.copac.gov.zw
189,Sithembiso Nyoni,female,Nkayi South Member of the National Assembly.,http://www.kuvakazim.com/media_root/images/sithembiso_nyoni_01.jpg,http://img.bulawayo24.com/articles/sithembiso_nyoni_01.jpg
190,Abednico Bhebhe,male,Nkayi South Member of the National Assembly,http://www.kuvakazim.com/media_root/images/Abednico-Bhebhe.jpg,Internet
191,Roselyn Nkomo,female,Tsholotsho North Member of the National Assembly.,,
192,Zenzo Sibanda,male,Tsholotsho South Member of the National Assembly.,,
193,Obert Mpofu,male,"Umguza Member of the National Assembly & Minister Transport, and Infrastructural Development. Former Minister of Mines and Mining Development (2009-2013)",http://www.kuvakazim.com/media_root/images/obert-mpofu1.png,http://zimconnect.net/media/wp-content/uploads/2012/10/obert-mpofu1.png
194,Kembo Mohadi,male,Beitbridge East Member of the National Assembly and Minister of Home Affairs.,http://www.kuvakazim.com/media_root/images/kembo-mohadi.gif,http://www.chronicle.co.zw/wp-content/uploads/2013/07/kembo-mohadi.gif
195,Metrine Mdau,female,Beitbridge West Member of the National Assembly.,,
196,Mathias S. Ndlovu,male,,,
197,Lungisani Nleya,male,Bulilima West Member of the National Assembly.,,
198,Edson Gumbo,male,Gwanda Central Member of the National Assembly,,
