id,temp_name,twitter,image
424561910,Ana Vilma de Escobar,defiende_tuvoto,https://pbs.twimg.com/profile_images/695397678771875840/0xSlFoQ7.jpg
427226974,Edgar EscolanBatarse,EdgarEscolan,https://pbs.twimg.com/profile_images/737454760123498496/OwjYgUTg.jpg
427961793,EstelaH_Diputada,EstelaH_fmln,https://pbs.twimg.com/profile_images/1912536333/Diputada_Estela_web.png
442234778,Santiago Diputado,DiputadoEstrada,https://pbs.twimg.com/profile_images/1714416627/PROPIETARIO.jpg
453568037,Lucía Ayala de León,LucydeLeon7,https://pbs.twimg.com/profile_images/755505390117199873/iZxFtz43.jpg
564300762,gpfmln,gpfmln,https://pbs.twimg.com/profile_images/489443312521072641/fhJrBTSF.jpeg
564789905,Ricardo Contreras,Rcontreras24,https://pbs.twimg.com/profile_images/734483507892781056/_ujoiP4e.jpg
576706998,Rene Portillo Cuadra,PortilloCuadra,https://pbs.twimg.com/profile_images/608098150570586112/qh9wxPcN.jpg
602071318,Gustavo EScalante,EscalanteSv,https://pbs.twimg.com/profile_images/739294462459797511/9qBC7e-X.jpg
611420953,Margarita Rodriguez,SMargRodriguez,https://pbs.twimg.com/profile_images/714568851934081025/uamteGTl.jpg
627724956,Antonio Echeverría,echeverriaveliz,https://pbs.twimg.com/profile_images/2370662175/u8kpdaxrdoa8t9pcx4s5.jpeg
632211349,PCN Oficial,PCN_Oficial,https://pbs.twimg.com/profile_images/618628079829651456/CABrOL2k.jpg
760031600,Francisco Merino,merino_chico,https://pbs.twimg.com/profile_images/684014963573129217/1fdwoqZk.jpg
763974625,Abilio Menjivar,AbilioMenjivar,""
769602336,Misael Mejía Mejía,jicarofmln,https://pbs.twimg.com/profile_images/701564857707921408/IIvqediz.jpg
770466925,Nery Herrera,NeryFHerrera,https://pbs.twimg.com/profile_images/543496853677830144/tPJM9P9h.jpeg
820909699,Martha Evelyn Batres,Tita_Batres,https://pbs.twimg.com/profile_images/561223338349953024/kyaJGiR7.png
874130809,Carlos Zambrano,Carlosmarioz81,https://pbs.twimg.com/profile_images/743543768020725761/-w-Wiys6.jpg
936146467,PDC_OFICIAL,PDC_OFICIAL,https://pbs.twimg.com/profile_images/2825737409/4d84b2433710e2ae25353fa7a4d353e6.jpeg
973228939,Nelson Quintanilla,NelsonQuintani5,https://pbs.twimg.com/profile_images/378800000088657794/7e65457cb10cff29243fbfb8d992964a.jpeg
976946376,Guillermo Olivo,GuillermoOlivo,https://pbs.twimg.com/profile_images/2908035063/4c040fdd5009bf18709a51869342fdc7.jpeg
979321746,Margarita Lopez,HMargaritaLopez,https://pbs.twimg.com/profile_images/2912489551/d3741fe9416ac00a2ad84580586c4a13.jpeg
1009884559,Zoila quijada,Zoila_quijada,https://pbs.twimg.com/profile_images/554713012163317760/Sd4wUKk-.jpeg
1184740118,Jackeline Rivera,JRiveraAvalos,https://pbs.twimg.com/profile_images/3259836586/c2c6aaa3334972c28070c09561054f4e.jpeg
1202095568,DONATO VAQUERANO,DonatoVaquerano,https://pbs.twimg.com/profile_images/524332772022689792/qoAReHdU.jpeg
1236572606,Rigoberto Soto,RigobertoSoto6,https://pbs.twimg.com/profile_images/579998953120268288/v77xQh2o.jpg
1244247733,M Vicente Menjivar E,mvmenjivar,https://pbs.twimg.com/profile_images/558842191859437568/5Lax8Jc4.jpeg
1311245508,Anabel Belloso,AnabelBelloso,https://pbs.twimg.com/profile_images/603940460621516801/bNjD4uQi.jpg
1323049752,Reynaldo Cardoza,Dip_Cardoza,https://pbs.twimg.com/profile_images/654050883051765760/xQGz6xIq.jpg
1326080090,Feli Cristales,FCristales,https://pbs.twimg.com/profile_images/740036314267951104/5ieji8zR.jpg
1352436180,Silvia Ostorga,SilviaOstorgaE,https://pbs.twimg.com/profile_images/750455315490041861/cy50Rwib.jpg
1467841776,Diputado AdelmoRivas,AdelmoRivasR,https://pbs.twimg.com/profile_images/716029441441292290/mxi3SqP6.jpg
1470961501,Abner Ivan Torres Ve,AbnerITV,https://pbs.twimg.com/profile_images/3734227647/b014c241f522020b8e64ccd44cc22001.jpeg
1489416746,Ana Marina,amco2015,https://pbs.twimg.com/profile_images/630516110576652288/ez8sJ4XI.jpg
1492759076,Jose Santos Melara,pepeyanes,https://pbs.twimg.com/profile_images/647171006931447808/xc78rQUd.jpg
1568622565,Carlos Munguia,CharlieSandov,https://pbs.twimg.com/profile_images/612794041508298752/Jrx1GSdq.jpg
1613973841,FAO en El Salvador,FAOElSalvador,https://pbs.twimg.com/profile_images/748218115083866113/ks4LWEX8.jpg
1641157026,Jesús Grande,jesusgrandeSV,https://pbs.twimg.com/profile_images/378800000231703730/6ddba5d04db949449464575db41c5dd1.jpeg
1932266317,Johnny Wright Sol,JohnnyWSol,https://pbs.twimg.com/profile_images/692015329669574656/dNfEQmTd.jpg
1951723148,Gustavo Acosta,Pichisal1,https://pbs.twimg.com/profile_images/497727834803412993/iAt0Onpf.jpeg
2156641366,Karina Sosa,KarinaISosa,https://pbs.twimg.com/profile_images/684446421517348864/IK8uXFfx.jpg
2279184096,Norma Guevara,guevara_tuiter,https://pbs.twimg.com/profile_images/601172559371980800/pHF69muq.jpg
2279569748,Carlos Reyes,carlosreyesrr,https://pbs.twimg.com/profile_images/525042194495725568/9AxkJJw8.jpeg
2432368910,Juan Pablo Herrera,payodiputado,https://pbs.twimg.com/profile_images/743238100252405760/SOm8Vnmi.jpg
2472296651,fernando gutierrez,TU687,https://pbs.twimg.com/profile_images/672601534522253312/gDQXFFzg.jpg
2477935801,Orlando Cabrera,orlandocandray2,https://pbs.twimg.com/profile_images/463206962893553664/Ycht4m_d.jpeg
2642239081,Comando Neto,ComandoNeto,https://pbs.twimg.com/profile_images/682773568409722881/z_JHrOED.png
2667124068,Calixto Mejía,calixtomejia_,https://pbs.twimg.com/profile_images/633400585794908160/ar5k5gm3.jpg
2712707579,Caritorodriguez,carodavila1,https://pbs.twimg.com/profile_images/587776098533969920/59VT1MEW.jpg
2743952690,Coronel Almendáriz,CnelAlmendariz,https://pbs.twimg.com/profile_images/501588264529035265/LcU8UfpG.jpeg
2746453530,Javier Palomo,JJavierPalomo,https://pbs.twimg.com/profile_images/675402128622403584/7EWM6Vp4.jpg
2766826370,Ricardo Godoy,GodoyDiputado,https://pbs.twimg.com/profile_images/503953743906213888/eu3JLJo0.jpeg
2782627534,Misael Serrano,MisaelSerrano_,https://pbs.twimg.com/profile_images/531940504297291776/vIeq0BTF.jpeg
2797142461,Cristina Cornejo,_CristinaCA,https://pbs.twimg.com/profile_images/705251579868246017/FHUwN9zS.jpg
2814955914,Rodrigo Ávila,RodrigoAvilaSV,https://pbs.twimg.com/profile_images/638715541104885764/voSn7NOK.jpg
2827676639,Chato Vargas,chatovargas2015,https://pbs.twimg.com/profile_images/522768645974269953/05FuVZAp.jpeg
2837878553,Mauricio Linares,LinaresUsulutan,https://pbs.twimg.com/profile_images/596307169051480064/CsxtwwJr.jpg
2848344547,Gloria Elizabeth Gom,gomezdsalgado,https://pbs.twimg.com/profile_images/649745047043239936/VmV8v2zV.jpg
2864567578,Ana Carranza,aisacar03,https://pbs.twimg.com/profile_images/594709768536743936/TGp_nxHU.jpg
2915669609,Cristina López,CLopezPCN,https://pbs.twimg.com/profile_images/543066008492060672/M9hG-8SL.jpeg
2938330737,Radio Legislativa SV,RadioLegis,https://pbs.twimg.com/profile_images/567339477589192705/Nhy0Z8W7.png
3001691608,GPMElSalvador,GPMElSalvador,https://pbs.twimg.com/profile_images/659047555183939585/hkyZ2Pt8.jpg
3040726095,Melvin Bonilla ,MBonillaDiputad,https://pbs.twimg.com/profile_images/572509550679314432/TSph19_g.jpeg
3185480868,Mario Tenorio,mtenoriosv,https://pbs.twimg.com/profile_images/596333938114592769/0xLo8lTk.jpg
3227166102,Prensa PCN,PrensaPCN,https://pbs.twimg.com/profile_images/685257432499503104/Jlq1BE1r.jpg
3239399083,Santiago Flores,SFloresFMLN,https://pbs.twimg.com/profile_images/742825899352064000/vz0tST-p.jpg
3240482774,Fraccion Legislativa,ARENAfraccion,https://pbs.twimg.com/profile_images/608337307205308417/IhT_9Jw2.png
3271083654,Delmy Vasquez,DelmyDelmyva,https://pbs.twimg.com/profile_images/699936816346976260/e7K02RqJ.jpg
3271161972,GANA LA LIBERTAD,GANA_LaLibertad,https://pbs.twimg.com/profile_images/735155786544910336/fD1r-rSC.jpg
3281858268,Mauricio Linares,ingmlinaress,https://pbs.twimg.com/profile_images/736675321580134400/spVhz5Y2.jpg
3301238650,Cristina López,CLopezDiputada,https://pbs.twimg.com/profile_images/724768072481959938/CfFQvvSz.jpg
3729014892,Asamblea Sonsonate,Asambleasonso,https://pbs.twimg.com/profile_images/648951314823512064/dV5mkLCy.jpg
3861353054,Carolina Rodriguez,caro_davila87,https://pbs.twimg.com/profile_images/660149997258731520/aFhauMTN.jpg
4062578052,Elizabeth Gomez,ElizabethGP15,https://pbs.twimg.com/profile_images/659879353631703040/0P1S51TC.jpg
4072796844,Cristina Lopez,DiputadaCLopez,https://pbs.twimg.com/profile_images/660213954296188928/qIN-UyY4.jpg
4151358493,Lito Murillo,LitoMurillo1,https://pbs.twimg.com/profile_images/662783230978879488/rf46B6bm.jpg
4252394593,Meche larrave,MecheLarrave,https://pbs.twimg.com/profile_images/666673839791738880/TwJCRxQ-.jpg
4470039192,Yohalmo Cabrera,yohalmo_cabrera,https://pbs.twimg.com/profile_images/673324288045223936/ngJIWe3p.jpg
4758658434,Jaime Sandoval,_JaimeSandoval,https://pbs.twimg.com/profile_images/737351248073084929/ug0S3iLP.jpg
754043612501975040,Karina Sosa,KarinaSosa_2,https://pbs.twimg.com/profile_images/754048201867403264/Y6Stxx90.jpg
