id,name__sv,name__it,name__fr,name__en,name,wikipedia__sv,gender,birth_date,given_name,identifier__Riksdagen,original_wikiname,name__nl,name__de,wikipedia__commons,wikipedia__en,image,name__nb,name__uk,name__da,name__nn,name__fi,name__pl,name__pt,name__ru,wikipedia__da,wikipedia__fi,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__uk,identifier__VIAF,identifier__SELIBR,name__es,wikipedia__de,identifier__freebase,name__sco,name__id,wikipedia__fr,wikipedia__id,wikipedia__sco,identifier__ISNI,identifier__LCAuth,family_name,name__mg,wikipedia__mg,name__af,name__an,name__ar,name__az,name__be,name__bg,name__bn,name__br,name__bs,name__ca,name__cs,name__de_ch,name__el,name__en_ca,name__en_gb,name__eo,name__et,name__gl,name__he,name__hi,name__hu,name__io,name__is,name__ja,name__ka,name__ko,name__la,name__lb,name__lt,name__lv,name__mn,name__mr,name__ms,name__oc,name__pt_br,name__qu,name__se,name__sq,name__sr,name__sw,name__tr,name__vi,name__yo,name__zh,name__hr,name__fa,name__fo,wikipedia__af,wikipedia__an,wikipedia__ar,wikipedia__az,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__ca,wikipedia__cs,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fiwikiquote,wikipedia__fo,wikipedia__frwikiquote,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__qu,wikipedia__se,wikipedia__sq,wikipedia__sr,wikipedia__svwikiquote,wikipedia__sw,wikipedia__tr,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__GND,identifier__SUDOC,identifier__IMDB,identifier__Munzinger,identifier__parlement,name__be_tarask,wikipedia__be_x_old,website,name__ro,wikipedia__ro,identifier__EuroparlMEP,name__nds,name__vmf,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,name__fit,name__ta,name__sh,name__mk,name__hy,name__ur,wikipedia__cswikiquote,wikipedia__hy,wikipedia__sh,wikipedia__ta,wikipedia__ur,facebook,name__gsw,twitter,identifier__BIBSYS,identifier__BNF,name__ie,wikipedia__ie,name__ast,name__bar,name__co,name__cy,name__eu,name__fur,name__ga,name__gd,name__li,name__lij,name__lmo,name__nap,name__nds_nl,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sk,name__sl,name__vec,name__vls,name__wa,identifier__FAST,identifier__PACE,identifier__NTA,name__th,wikipedia__th,identifier__GTAA,death_date,identifier__OLID,wikipedia__nds,wikipedia__etwikiquote,wikipedia__bswikiquote,wikipedia__ga,wikipedia__nowikiquote,wikipedia__svwikinews,identifier__NNDB,name__sah,wikipedia__sah,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,wikipedia__sk
Q321595,Bosse Ringholm,,Bosse Ringholm,Bosse Ringholm,Bosse Ringholm,Bosse Ringholm,male,1942-08-18,,0552112259207,Bosse Ringholm,Bosse Ringholm,Bosse Ringholm,,Bosse Ringholm,https://upload.wikimedia.org/wikipedia/commons/9/9a/Bosse_Ringholm.jpg,Bosse Ringholm,,Bosse Ringholm,Bosse Ringholm,Bosse Ringholm,,,,,Bosse Ringholm,,,,,,,73841751,,Bosse Ringholm,Bosse Ringholm,/m/01t_2v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bosse Ringholm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4961658,Britta Lejon,,Britta Lejon,Britta Lejon,Britta Lejon,Britta Lejon,female,1964-11-02,Britta,0775091111217,Britta Lejon,Britta Lejon,Britta Lejon,Category:Britta Lejon,Britta Lejon,https://upload.wikimedia.org/wikipedia/commons/e/ee/Britta_Lejon.JPG,Britta Lejon,,Britta Lejon,Britta Lejon,,,,,,,,,,,,,,,Britta Lejon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britta Lejon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q512590,Börje Vestlund,,Börje Vestlund,Börje Vestlund,Börje Vestlund,Börje Vestlund,male,1960,Börje,0720249554818,Börje Vestlund,Börje Vestlund,Börje Vestlund,,Börje Vestlund,https://upload.wikimedia.org/wikipedia/commons/5/56/Börje_Vestlund.jpg,Börje Vestlund,,,,,,,,,,Börje Vestlund,,,,,,,,Börje Vestlund,Börje Vestlund,/m/02qgg44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Börje Vestlund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2990882,Carina Moberg,,Carina Moberg,Carina Moberg,Carina Moberg,Carina Moberg,female,1966-04-14,Carina,0824721092613,Carina Moberg,Carina Moberg,Carina Moberg,,Carina Moberg,,Carina Moberg,,Carina Moberg,,,,,"Моберг, Карина",Carina Moberg,,Carina Moberg,,,"Муберг, Карина",,,,,Carina Moberg,,/m/0ks8nz,Carina Moberg,,,,Carina Moberg,,,,,,,,,,,,,,,,,,,,,,,,,,Carina Moberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-15,,,,,,,,,,,,,,,,,
Q5039758,Carl-Erik Skårman,,Carl-Erik Skårman,Carl-Erik Skårman,Carl-Erik Skårman,Carl-Erik Skårman,male,1939,Carl,0361291071906,Carl-Erik Skårman,Carl-Erik Skårman,,,Carl-Erik Skårman,,,,,,,,,,,,,,,,,,,,Carl-Erik Skårman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl-Erik Skårman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5717777,Christer Erlandsson,Christer Erlandsson,Christer Erlandsson,Christer Erlandsson,Christer Erlandsson,Christer Erlandsson,male,1946,Christer,0573273704102,Christer Erlandsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4937060,Christina Axelsson,,Christina Axelsson,Christina Axelsson,Christina Axelsson,Christina Axelsson,female,1949,Christina,0913965980315,Christina Axelsson,Christina Axelsson,Christina Axelsson,,Christina Axelsson,,,,,,,,,,,,,,,,,,,,Christina Axelsson,,,Christina Axelsson,,,,Christina Axelsson,,,,,,,,,,,,,,,,,,,,,,,,,,Christina Axelsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4936668,Eva Arvidsson,Eva Arvidsson,Eva Arvidsson,Eva Arvidsson,Eva Arvidsson,Eva Arvidsson,female,1948,Eva,0556854176401,Eva Arvidsson,Eva Arvidsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q52920,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,male,1965-08-04,Fredrik,0938901612810,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,https://upload.wikimedia.org/wikipedia/commons/8/8a/Nordisk-baltisk_statsministermote_under_Nordiska_radets_session_i_Helsingfors_(3)_(cropped).jpg,Fredrik Reinfeldt,Фредрік Райнфельдт,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,"Райнфельдт, Йон Фредрик",Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,"Райнфельдт, Йон Фредрик",Fredrik Reinfeldt,Фредрік Райнфельдт,3631402,202057,Fredrik Reinfeldt,Fredrik Reinfeldt,/m/021fy5,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,0000 0000 7875 8314,no2006076641,,,,Fredrik Reinfeldt,Fredrik Reinfeldt,فريدريك رينفلت,Fredrik Reinfeldt,Ён Фрэдрык Рэйнфельт,Фредрик Райнфелд,ফ্রেদ্রিক রাইনফেল্‌ৎ,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Φρέντρικ Ράινφελντ,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,פרדריק ריינפלט,फ़्रेद्रिक राइनफ़ेल्त,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,フレドリック・ラインフェルト,ფრედრიკ რეინფელდტი,프레드리크 레인펠트,Fridericus Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Frēdriks Reinfelts,Фредрик Райнфелдт,फ्रेदरिक राइनफेल्त,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Фредрик Рејнфелт,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,弗雷德里克·赖因费尔特,Fredrik Reinfeldt,فردریک راین‌فلت,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,فريدريك رينفلت,Yon Fredrik Raynfeldt,Ён Фрэдрык Рэйнфельт,Фредрик Райнфелд,ফ্রেদ্রিক রাইনফেল্‌ৎ,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Φρέντρικ Ράινφελντ,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,فردریک راین‌فلت,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,פרדריק ריינפלט,फ़्रेद्रिक राइनफ़ेल्त,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,フレドリック・ラインフェルト,ფრედრიკ რეინფელდტი,프레드리크 레인펠트,Fridericus Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Frēdriks Reinfelts,Фредрик Райнфелдт,फ्रेदरिक राइनफेल्त,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Фредрик Рејнфелт,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,Fredrik Reinfeldt,弗雷德里克·赖因费尔特,132366649,140279946,nm1763182,00000025893,vhyzn0p8icz7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649756,,,,,,,,,,,,,,,,,,,,,,,
Q724410,Gabriel Romanus,,Gabriel Romanus,Gabriel Romanus,Gabriel Romanus,Gabriel Romanus,male,1939-01-25,Gabriel,0279360042003,Gabriel Romanus,Gabriel Romanus,Gabriel Romanus,Category:Gabriel Romanus,Gabriel Romanus,https://upload.wikimedia.org/wikipedia/commons/5/53/Gabriel_Romanus_1c319_7693.jpg,Gabriel Romanus,,Gabriel Romanus,Gabriel Romanus,,,,,,,Gabriel Romanus,,,,,,71378246,,Gabriel Romanus,Gabriel Romanus,/m/0dcykm,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel Romanus,,,,Gabriel Romanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel Romanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q271468,Gudrun Schyman,,Gudrun Schyman,Gudrun Schyman,Gudrun Schyman,Gudrun Schyman,female,1948-06-09,Gudrun,0236004923301,Gudrun Schyman,Gudrun Schyman,Gudrun Schyman,,Gudrun Schyman,https://upload.wikimedia.org/wikipedia/commons/0/05/Gudrun_Schyman_-_16_April_2009_-_1_cropped.jpg,Gudrun Schyman,,Gudrun Schyman,Gudrun Schyman,Gudrun Schyman,,Gudrun Schyman,,Gudrun Schyman,Gudrun Schyman,Gudrun Schyman,,Gudrun Schyman,,,,90777337,,Gudrun Schyman,Gudrun Schyman,/m/0177jm,,,Gudrun Schyman,,,0000 0000 7863 8910,nb2003030798,,,,,,,,,,,,,Gudrun Schyman,,,,,,,Gudrun Schyman,,,,Gudrun Schyman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gudrun Schyman,,,,,,Gudrun Schyman,,,,,,,,,,,,,,,,,,,,,,,Gudrun Schyman,,,,,,,,,,,,,12090599X,,nm0778021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
