id,name__en,name,image,gender,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NLA,birth_date,death_date,identifier__freebase,given_name,identifier__NTA,identifier__Muzinger,website,identifier__CiNii,identifier__NDL,birth_name,family_name,identifier__UScongress,wikipedia__en,identifier__NNDB,identifier__Munzinger,name__nb,name__it,name__de,name__nl,name__af,name__ar,name__bcl,name__bg,name__br,name__ca,name__ceb,name__cs,name__da,name__eo,name__es,name__et,name__eu,name__fa,name__fi,name__fo,name__fr,name__gl,name__he,name__hu,name__id,name__ilo,name__io,name__ja,name__ko,name__la,name__mr,name__ms,name__oc,name__pag,name__pam,name__pl,name__pt,name__ru,name__sk,name__sv,name__ta,name__th,name__tl,name__tr,name__uk,name__vi,name__war,name__zh,name__sr,name__jv,name__hr,name__de_ch,name__el,name__en_ca,name__en_gb,name__mg,name__pt_br,name__yue,name__nan,name__hy,name__arz,name__lv,name__sh,name__cbk_zam,name__nn,name__kk,name__lb,name__zh_yue,wikipedia__af,wikipedia__ar,wikipedia__arz,wikipedia__bcl,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__cbk_zam,wikipedia__ceb,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__de,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ilo,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__kk,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__mg,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pag,wikipedia__pam,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__war,wikipedia__zh_min_nan,wikipedia__zh_yue,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__sw,name__bn,name__ia,name__mk,name__yo,name__ka,name__lt,name__qu,name__ro,wikipedia__bn,wikipedia__ia,wikipedia__ka,wikipedia__lt,wikipedia__mk,wikipedia__qu,wikipedia__ro,wikipedia__sw,wikipedia__yo,name__be,name__zh_mo,name__zh_my,name__simple,wikipedia__be,wikipedia__plwikiquote,name__ml,name__gsw,name__co,name__fy,name__haw,name__is,name__ksh,name__nds,name__pap,name__pdc,name__pih,name__pms,name__scn,name__sco,name__sc,wikipedia__als,wikipedia__bgwikiquote,wikipedia__co,wikipedia__fy,wikipedia__haw,wikipedia__is,wikipedia__ksh,wikipedia__ml,wikipedia__nds,wikipedia__nn,wikipedia__pap,wikipedia__pdc,wikipedia__pih,wikipedia__pms,wikipedia__scn,wikipedia__sco,wikipedia__sc,name__uz,name__ga,name__az,name__an,name__lmo,name__nds_nl,name__sl,name__sq,name__wa,wikipedia__az,wikipedia__ga,wikipedia__itwikiquote,wikipedia__uz,wikipedia__eswikisource,name__pa,wikipedia__pa,name__be_tarask,wikipedia__be_x_old
Q12965467,Joseph Santiago,Joseph Santiago,,male,,,,,,,,,1964-12-19,,,Joseph,,,,,,,,,Joseph Santiago,,,,,Joseph Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12967695,Marcelino Crisologo,Marcelino Crisologo,,male,,,,,,,,,1844-11-11,1927-07-05,,Marcelino,,,,,,,,,Marcelino Crisologo,,,,,Marcelino Crisologo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcelino Crisologo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcelino Crisologo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12967700,Marc Douglas Cagas IV,Marc Douglas Cagas IV,,male,,,,,,,,,1976-04-24,,,Marc,,,,,,,,,Marc Douglas Cagas IV,,,,,Marc Douglas Cagas IV,Marc Douglas Cagas IV,,,,,,,,,,,,,,,,,Marc Douglas Cagas IV,,,,,,,,,,,,,,,,,,,,,,Marc Douglas Cagas IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc Douglas Cagas IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12969905,Rey Aquino,Rey Aquino,,male,,,,,,,,,1954-10-31,,,,,,,,,,,,Rey Aquino,,,,,Rey Aquino,Rey Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rey Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rey Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12970352,Salipada Pendatun,Salipada Pendatun,https://upload.wikimedia.org/wikipedia/commons/3/3b/Salipada_Pendatun.jpg,male,,,,,,,,,1912-12-03,1985-01-26,,,,,,,,,,,Salipada Pendatun,,,,,Salipada Pendatun,Salipada Pendatun,,,,,,,,,,,,,,,,,Salipada Pendatun,,,,,,,,,,,,,,,,,,,,,,Salipada Pendatun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salipada Pendatun,,,,,,,,,,,,,,,Salipada Pendatun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1338409,Emmanuel Pelaez,Emmanuel Pelaez,,male,,60733608,,n92011888,,,,,1915-11-30,2003-07-27,/m/06_v29,Emmanuel,,,,,,,,,Emmanuel Pelaez,,,,,Emmanuel Pelaez,Emmanuel Pelaez,,,,,,,,,,,Emmanuel Pelaez,,,,,,Emmanuel Pelaez,,,,Emmanuel Pelaez,Emmanuel Pelaez,,,,,,Emmanuel Pelaez,,,,,,"Пелаес, Эммануэль",,,,,Emmanuel Pelaez,,,,Emmanuel Pelaez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emmanuel Pelaez,,,,,,,,,,,,,,,,,,,Emmanuel Pelaez,Emmanuel Pelaez,,,,,,,,,,,,Emmanuel Pelaez,Emmanuel Pelaez,,,,,,,"Пелаэс, Эммануэль",,,,,,,,Emmanuel Pelaez,,,,Emmanuel Pelaez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1347003,Epifanio de los Santos,Epifanio de los Santos,https://upload.wikimedia.org/wikipedia/commons/9/92/PH_nhi_epifanio_de_los_santos.jpg,male,0000 0000 8252 6516,65470721,,n85372022,,,,,1871-04-07,1928-04-18,/m/0dddbs,Epifaniusz,,,,,,,,,Epifanio de los Santos,,,,,Epifanio de los Santos,Epifanio de los Santos,,,Epifanio de los Santos,,,,Epifanio de los Santos,,,,Epifanio de los Santos,,,,,,Epifanio de los Santos,,,,,,,,,,,,,,,,,,,,,,Epifanio de los Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epifanio de los Santos,,,,,Epifanio de los Santos,,,,,Epifanio de los Santos,,,Epifanio de los Santos,,,Epifanio de los Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,Epifanio de los Santos,,,,,,,,,,,,,,,Epifanio de los Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epifanio De los Santos,,,,
Q13565103,Nerissa Corazon Soon-Ruiz,Nerissa Corazon Soon-Ruiz,,female,,,,,,,,,1956-10-31,,,Nerissa,,,,,,,,,Nerissa Corazon Soon-Ruiz,,,,,,,,,,,,,,,,,,,,,,,Nerissa Corazon Soon-Ruiz,,,,,,,,,,,,,,,,,,,,,,Nerissa Corazon Soon-Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nerissa Corazon Soon-Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1369731,Estanislao Fernandez,Estanislao Fernandez,,male,,,,,,,,,1910-03-28,1982-07-28,,Estanislao,,,,,,,,,Estanislao Fernandez,,,Estanislao Fernandez,,Estanislao Fernandez,Estanislao Fernandez,,,,,,,,,Estanislao Fernandez,,Estanislao Fernandez,,,,,,Estanislao Fernandez,,,,,,,,,,,,,,,,,,,Estanislao Fernandez,,,Estanislao Fernandez,,,,,,,,,,,,,,,,,,,,,,Estanislao Fernandez,,,,,,,,,,,,,,,,,Estanislao Fernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estanislao Fernandez,,,,,,,,,,,,,,,Estanislao Fernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1373883,Eulogio Rodriguez,Eulogio Rodriguez,,male,0000 0001 1438 5886,16124370,143587145,n82147438,,,,,1883-01-21,1964-12-09,/m/0g1x_t,Eulogiusz,,,,,,,Rodríguez,,Eulogio Rodriguez,,,,,Eulogio A. Rodriguez senior,Eulogio Rodriguez,,,,,,,,,,,Eulogio Rodriguez,,,,,,Amang Rodriguez,,,,,,,,,,,,,,,,,,,,,,Eulogio Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eulogio A. Rodriguez senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eulogio Rodriguez,,,,,,,,,,,,,,,Eulogio Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1396192,Gilbert Teodoro,Gilbert Teodoro,https://upload.wikimedia.org/wikipedia/commons/c/c0/Gates_Teodoro_Press_Conference_090601_cropped4.jpg,male,,,,,,,,,1964-06-14,,/m/05pc24t,Gilberto,,,,,,,,,Gilbert Teodoro,,,,,Gilberto Teodoro,Gilberto Teodoro jr.,,,Gilberto Teodoro,,,,Gibo Teodoro,,,,Gilbert Teodoro,,,,,,Gilbert Teodoro,,,,,,,,,,,,,,,Gilberto Teodoro,,,,,,,Gilberto Teodoro,,,,Gilberto Teodoro,,,,,,,,,,,,,,,,,,,,,,,,,Gilberto Teodoro,,,,,Gibo Teodoro,,,,,Gilberto Teodoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilberto Teodoro jr.,,,,,Gilberto Teodoro,,,,,,,,,,"Gilberto Teodoro, Jr.",,,,Gilberto Teodoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
