id,name__no,name,wikipedia__no,name__nb,wikipedia__nb,name__nn,wikipedia__nn,name__en,wikipedia__en,image,gender,birth_date,given_name,identifier__freebase,twitter,identifier__VIAF,identifier__IMDB,identifier__GND,identifier__LCAuth,identifier__BIBSYS,facebook,identifier__ISNI,identifier__SUDOC,family_name,identifier__NNDB,identifier__Munzinger,identifier__GTAA,identifier__parlement,website,death_date,identifier__BNF,identifier__NTA,identifier__NDL,identifier__NLA,identifier__NSK,identifier__NPG,identifier__N6I,name__de,name__es,name__fr,name__nl,name__da,name__sv,wikipedia__da,wikipedia__de,name__pl,name__se,wikipedia__fr,wikipedia__pl,wikipedia__se,wikipedia__sv,name__ru,name__ro,name__fi,name__et,name__fo,name__cs,name__ja,name__he,name__uk,name__fa,wikipedia__cs,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fo,wikipedia__he,wikipedia__ja,wikipedia__nl,wikipedia__ro,wikipedia__ru,wikipedia__uk,name__id,wikipedia__id,wikipedia__commons,name__ka,wikipedia__ka,name__la,wikipedia__la,name__it,wikipedia__it,wikipedia__nowikiquote,name__tr,wikipedia__tr,name__cy,name__en_gb,name__eo,name__gl,wikipedia__gl,name__ar,wikipedia__ar,name__is,name__qu,name__de_ch,name__en_ca,wikipedia__cswikiquote,wikipedia__is,wikipedia__plwikiquote,wikipedia__qu,name__ca,name__hr,name__lt,name__pt,name__sk,name__sl,name__kl,name__vi,wikipedia__vi,name__ur,wikipedia__ur,name__hu,name__el,name__ta,name__af,name__bn,name__br,name__lb,name__sr,name__be,name__zh,name__mr,name__lmo,name__ko,name__mk,name__nds,name__vmf,name__vls,name__pdc,name__gsw,wikipedia__af,wikipedia__be,wikipedia__bn,wikipedia__br,wikipedia__el,wikipedia__hu,wikipedia__ko,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__mr,wikipedia__pt,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__ta,wikipedia__zh,name__an,name__bs,name__ceb,name__eu,name__ga,name__nds_nl,name__pms,name__sq,name__vec,name__wa,name__oc,name__ms,name__sw,name__bcl,name__be_tarask,name__io,name__kk,name__yo,name__lv,name__sh,name__ku,name__bg,name__pt_br,name__sco,name__ml,name__hi,name__az,name__ie,name__hy,wikipedia__an,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__bg,wikipedia__ca,wikipedia__dewikiquote,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eu,wikipedia__ga,wikipedia__hi,wikipedia__ie,wikipedia__io,wikipedia__kk,wikipedia__ku,wikipedia__lv,wikipedia__ml,wikipedia__ms,wikipedia__oc,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__sw,wikipedia__yo,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,wikipedia__nds,wikipedia__hy,name__sr_el,name__sr_ec,name__ia,name__tl,name__ku_arab,name__ku_latn,name__war,name__mg,name__ne,wikipedia__bs,wikipedia__cy,wikipedia__eswikiquote,wikipedia__hr,wikipedia__ia,wikipedia__mg,wikipedia__sl,wikipedia__slwikiquote,wikipedia__tl,wikipedia__war,wikipedia__enwikisource,name__szl,wikipedia__szl,wikipedia__bswikiquote,name__jv,name__my,name__te,name__zh_mo,name__zh_my,name__th,name__arz,wikipedia__arz,wikipedia__jv,wikipedia__my,wikipedia__ne,wikipedia__te,wikipedia__th,identifier__GNC,wikipedia__species,name__ast,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gd,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__scn,name__vo,name__wo,name__zu,wikipedia__ast,original_wikiname,identifier__OLID,identifier__NLAtrove,identifier__FAST,identifier__Britannica,wikipedia__frwikiquote,wikipedia__nowikisource,name__new,name__sa,wikipedia__new,wikipedia__sa,name__diq,identifier__MusicBrainz,identifier__NKC,identifier__SFDb,identifier__TED,name__fit,name__vep,wikipedia__vep,wikipedia__nnwikiquote
Q5349679,,Einar Olav Skogholt,Einar Olav Skogholt,Einar Olav Skogholt,,Einar Olav Skogholt,,Einar Olav Skogholt,Einar Olav Skogholt,,male,1947-12-18,Einar,,,,,,,,,,,,,,,,,,,,,,,,,Einar Olav Skogholt,,Einar Olav Skogholt,Einar Olav Skogholt,Einar Olav Skogholt,Einar Olav Skogholt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Einar Olav Skogholt,,,,,,,,,,,,,,,,,,,
Q5566007,,Gjert Holsen,,Gjert Holsen,,Gjert Holsen,Gjert Holsen,Gjert Holsen,Gjert Holsen,,male,1855,,,,,,,,,,,,,,,,,,1921,,,,,,,,Gjert Holsen,Gjert Holsen,Gjert Holsen,Gjert Holsen,Gjert Holsen,Gjert Holsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gjert Holsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gjert Holsen,,,,,,,,,,,,,,,,,,,
Q13637096,,Håkon Steinar Giil,Håkon Steinar Giil,Håkon Steinar Giil,,,,Håkon Steinar Giil,Håkon Steinar Giil,,male,1943-01-28,Håkon,,,,,,,,,,,,,,,,,,,,,,,,,Håkon Steinar Giil,,Håkon Steinar Giil,Håkon Steinar Giil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Håkon Steinar Giil,,,,,,,,,,,,,,,,,,,
Q3433249,,Gina Barstad,Gina Barstad,Gina Barstad,,Gina Barstad,Gina Barstad,Gina Barstad,Gina Barstad,https://upload.wikimedia.org/wikipedia/commons/0/08/Gina_Barstad.jpg,female,1986-04-28,Gina,,,,,,,,,,,,,,,,,,,,,,,,,Gina Barstad,,Gina Barstad,Gina Barstad,Gina Barstad,Gina Barstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gina Barstad,,,,,,,,,,,,,,,,,,,
Q7800854,,Tidemann Flaata Evensen,,,,,,Tidemann Flaata Evensen,Tidemann Flaata Evensen,,male,1905-07-11,,,,,,,,,,,,,,,,,,1969-09-16,,,,,,,,Tidemann Flaata Evensen,,Tidemann Flaata Evensen,Tidemann Flaata Evensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidemann Flaata Evensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidemann Flaata Evensen,,,,,,,,,,,,,,,,,,,
Q6033401,,Ingunn Gjerstad,,,,,,Ingunn Gjerstad,Ingunn Gjerstad,https://upload.wikimedia.org/wikipedia/commons/c/cc/Ingunn_Gjerstad_2009.jpg,female,1963-05-26,Ingunn,,,,,,,,,,,,,,,,,,,,,,,,,Ingunn Gjerstad,Ingunn Gjerstad,Ingunn Gjerstad,Ingunn Gjerstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingunn Gjerstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingunn Gjerstad,,,,,,,,,,,,,,,,,,,
Q6437935,,Kristian Langlo,,,,,,Kristian Langlo,Kristian Langlo,,male,1894-05-03,Kristian,,,,,,,,,,,,,,,,,1976-10-20,,,,,,,,Kristian Langlo,,Kristian Langlo,Kristian Langlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristian Langlo,,,,,,,,,,,,,,,,,,,
Q3427825,,Johan Frederik Thorne,Johan Frederik Thorne,Johan Frederik Thorne,,Johan Frederik Thorne,Johan Frederik Thorne,Johan Frederik Thorne,Johan Frederik Thorne,,male,1801,Johan,,,,,,,,,,,,,,,,,1854,,,,,,,,Johan Frederik Thorne,,Johan Frederik Thorne,Johan Frederik Thorne,Johan Frederik Thorne,Johan Frederik Thorne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johan Frederik Thorne,,,,,,,,,,,,,,,,,,,
Q4568928,,Bjørn Lødemel,Bjørn Lødemel,Bjørn Lødemel,,Bjørn Lødemel,Bjørn Lødemel,Bjørn Lødemel,Bjørn Lødemel,"https://upload.wikimedia.org/wikipedia/commons/5/50/Bjørn_Lødemel_med_Takk,_Ivar_Aasen!-jakkemerke_(8665194468).jpg",male,1958-08-19,Bjørn,,,,,,,,,,,,,,,,,,,,,,,,,Bjørn Lødemel,Bjørn Lødemel,Bjørn Lødemel,Bjørn Lødemel,Bjørn Lødemel,Bjørn Lødemel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bjørn Lødemel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bjørn Lødemel,,,,,,,,,,,,,,,,,,,
Q6343500,,Kaare Steel Groos,Kaare Steel Groos,Kaare Steel Groos,,,,Kaare Steel Groos,Kaare Steel Groos,,male,1917-10-26,Kaare,,,,,,,,,,,,,,,,,1994-02-20,,,,,,,,Kaare Steel Groos,,Kaare Steel Groos,Kaare Steel Groos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaare Steel Groos,,,,,,,,,,,,,,,,,,,
Q5650067,,Hans Gjeisar Kjæstad,Hans Rasmus Kjæstad,Hans Gjeisar Kjæstad,,Hans Gjeisar Kjæstad,,Hans Gjeisar Kjæstad,Hans Gjeisar Kjæstad,,male,1947-01-02,Hans,,,,,,,,,,,,,,,,,,,,,,,,,Hans Gjeisar Kjæstad,,Hans Gjeisar Kjæstad,Hans Gjeisar Kjæstad,Hans Gjeisar Kjæstad,Hans Gjeisar Kjæstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans Gjeisar Kjæstad,,,,,,,,,,,,,,,,,,,
Q11977194,,Inger Dag Steen,Inger Dag Steen,Inger Dag Steen,,Inger Dag Steen,Inger Dag Steen,Inger Dag Steen,,,female,1933-03-22,Inger,,,,,,,,,,,,,,,,,,,,,,,,,Inger Dag Steen,,Inger Dag Steen,Inger Dag Steen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inger Dag Steen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inger Dag Steen,,,,,,,,,,,,,,,,,,,
Q15998468,,Hans Aarstad,Hans Jørgensen Aarstad,Hans Jørgensen Aarstad,,,,Hans Aarstad,Hans Aarstad,,male,1878-07-09,Hans,,,,,,,,,,,,,,,,,1954,,,,,,,,Hans Aarstad,,Hans Jørgensen Aarstad,Hans Aarstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans Aarstad,,,,,,,,,,,,,,,,,,,
