id,name,party_id,party,email,term,image,source,birth_date,birth_place,area,commissions,identifier__kuvendi
13629,Kejdi Mehmetaj,LSI,Levizja Socialiste per Integrim,kejdi.mehmetaj@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Kejdi-Mehmetaj-LSI.jpg,http://www.parlament.al/deputet/kejdi-mehmetaj/,,,,,13629
13637,Eduard Selami,PD,Partia Demokratike,eduard.selami@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Eduard-Selami-PD.jpg,http://www.parlament.al/deputet/eduard-selami/,,,,,13637
13646,Enkelejda Shkreli,PS,Partia Socialist,enkelejda.shkreli@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Enkelejda-Shkreli-PS.jpg,http://www.parlament.al/deputet/enkelejda-shkreli/,,,,,13646
13660,Ylli Ziçishti,PS,Partia Socialist,ylli.zicishti@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Ylli-Zicishti-PS.jpg,http://www.parlament.al/deputet/ylli-zicishti/,,,,,13660
13664,Koço Kokëdhima,PS,Partia Socialist,koco.kokedhima@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Koco-Kokedhima-PS.jpg,http://www.parlament.al/deputet/koco-kokedhima/,,,,,13664
13671,Eduart Bejko,PS,Partia Socialist,eduart.bejko@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Eduart-Bejko-PS.jpg,http://www.parlament.al/deputet/eduart-bejko/,,,,,13671
13675,Erjeta Alhysa,PS,Partia Socialist,erjeta.alhysa@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Edlira-Cekrezi-LSI.jpg,http://www.parlament.al/deputet/erjeta-alhysa-2/,,,,,13675
13688,Luljeta Arapi,PS,Partia Socialist,luljeta.arapi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Luljeta-Arapi-PS.jpg,http://www.parlament.al/deputet/luljeta-arapi/,,,,,13688
14952,Mirela Ferracaku,PKDSH,Partia Kristian Demokrate e Shqiperise,mirela.ferracaku@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Mirela-Ferracaku-PS.jpg,http://www.parlament.al/deputet/mirela-ferracaku/,,,,,14952
9550,Sadri Abazi,PS,Partia Socialist,sadri.abazi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Sadri-Abazi-PS.jpg,http://www.parlament.al/deputet/sadri-abazi/,1957-02-10,Dibër,Tiranë,"Komisioni për Integrimin Europian, anëtar.",9550
9554,Anastas Angjeli,PS,Partia Socialist,anastas.angjeli@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Anastas-Angjeli-PS.jpg,http://www.parlament.al/deputet/anastas-angjeli/,1956-05-06,Sarandë,"","Komisioni për Ekonominë dhe Financat, anëtar.",9554
9556,Taulant Balla,PS,Partia Socialist,taulant.balla@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Taulant-Balla-PS.jpg,http://www.parlament.al/deputet/taulant-balla/,1977-08-12,Librazhd,Elbasan,"Komisioni për Integrimin Europian, zëvendëskryetar.",9556
9558,Besnik Baraj,PS,Partia Socialist,besnik.baraj@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Besnik-Baraj-PS.jpg,http://www.parlament.al/deputet/besnik-baraj/,1956-03-12,Tropojë,Tiranë,"Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin.",9558
9560,Gentian Bejko,PS,Partia Socialist,gentian.bejko@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Gentian-Bejko-PS.jpg,http://www.parlament.al/deputet/gentian-bejko-2/,1973-09-09,"","","Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin, anëtar.",9560
9562,Sali Berisha,PD,Partia Demokratike,sali.berisha@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Sali-Berisha-PD.jpg,http://www.parlament.al/deputet/sali-berisha/,,"","","",9562
9564,Robert Bitri,LSI,Levizja Socialiste per Integrim,robert.bitri@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Robert-Bitri-LSI-1.jpg,http://www.parlament.al/deputet/robert-bitri/,,"",Fier,"Komisioni parlamentar: Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin, sekretar.",9564
9566,Ben Blushi,PS,Partia Socialist,ben.blushu@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Ben-Blushi-PS-1.jpg,http://www.parlament.al/deputet/ben-blushi/,1969-01-01,Tiranë,Elbasan,"Komisioni për Politikën e Jashtme, anëtar.",9566
9572,Luçiano Boçi,PD,Partia Demokratike,luciano.boc@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Luciano-Boci-PD.jpg,http://www.parlament.al/deputet/luciano-boci/,1967-03-26,Elbasan,Elbasan,"Komisioni për Edukimin dhe Mjetet e Informimit Publik, anëtar.",9572
9574,Ridvan Bode,PD,Partia Demokratike,ridvan.bode@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Ridvan-Bode-PD.jpg,http://www.parlament.al/deputet/ridvan-bode/,1959-06-26,Korçë,Korçë,"Komisioni për Ekonominë dhe Financat, zëvendëskryetar.",9574
9578,Gerti Bogdani,PD,Partia Demokratike,gerti.bogdani@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Gerti-Bogdani-PD.jpg,http://www.parlament.al/deputet/gerti-bogdani/,1980-07-07,Tiranë,Tiranë,"Komisioni për Integrimin Europian, anëtar.",9578
9581,Erion Braçe,PS,Partia Socialist,erjon.brace@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Erion-Brace-PS.jpg,http://www.parlament.al/deputet/erion-brace/,1972-04-02,Tiranë,Fier,"Komisioni parlamentar: Komisioni për Ekonominë dhe Financat, kryetar.",9581
9585,Spartak Braho,LSI,Levizja Socialiste per Integrim,spartak.braho@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Spartak-Braho-LSI.jpg,http://www.parlament.al/deputet/spartak-braho/,1951-07-17,Durrës,"","Komisioni për Sigurinë Kombëtare, kryetar.",9585
9588,Majlinda Bregu,PD,Partia Demokratike,majlinda.bregu@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Majlinda-Bregu-PD.jpg,http://www.parlament.al/deputet/majlinda-bregu/,1974-05-19,Tiranë,Tiranë,"Komisioni parlamentar: Komisioni për Integrimin Europian, Kryetare.",9588
9590,Aldo Bumçi,PD,Partia Demokratike,aldo.bumci@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Aldo-Bumci-PD.jpg,http://www.parlament.al/deputet/aldo-bumci/,1974-06-11,Tiranë,Lezhë,"Komisioni për Politikën e Jashtme, zëvendëskryetar.",9590
9593,Helidon Bushati,PD,Partia Demokratike,helidon.bushati@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Helidon-Bushati-PD.jpg,http://www.parlament.al/deputet/helidon-bushati/,1973-04-08,Shkodër,"","Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin, anëtar.",9593
9602,Oerd Bylykbashi,PD,Partia Demokratike,oerd.bylykbashi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Oerd-Bylykbashi-PD.jpg,http://www.parlament.al/deputet/oerd-bylykbashi-2/,1974-05-23,Durrës,"","Komisioni parlamentar për Çëshjet Ligjore, Administratën Ligjore dhe të Drejtat e Njeriut, zëvendëskryetar.",9602
9604,Gjovalin Bzheta,PD,Partia Demokratike,gjovalin.bzheta@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Gjovalin-Bzheta-PR.jpg,http://www.parlament.al/deputet/gjovalin-bzhetaj/,1967-08-21,Shkodër,"","Komisioni parlamentar: Komisioni për Edukimin dhe Mjetet e Informimit Publik, anëtar.",9604
9606,Silva Caka,LSI,Levizja Socialiste per Integrim,silva.caka@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Silva-Caka-LSI.jpg,http://www.parlament.al/deputet/silva-caka-2/,1987-12-25,Çorovodë,"","Komisioni për Çështjet Ligjore, Administratën Publike dhe të Drejtat e Njeriut, anëtare.",9606
9608,Shkëlqim Cani,PS,Partia Socialist,shkelqim.cani@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Shkelqim-Cani-PS.jpg,http://www.parlament.al/deputet/shkelqim-cani-2/,1956-05-06,Tiranë,Dibër,"Komisioni parlamentar: Komisioni për Ekonominë dhe Financat, anëtar. Emërohet anëtar i këtij komisioni me Vendim Kuvendi, që prej datës 10.03.2016",9608
9610,Igli Cara,PD,Partia Demokratike,igli.cara@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Igli-Cara-PD.jpg,http://www.parlament.al/deputet/igli-cara-2/,1969-03-16,Durrës,Durrës,"Komisioni për Ekonominë dhe Financat, anëtar.",9610
9612,Parid Cara,PS,Partia Socialist,parid.cara@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Parid-Cara-PS.jpg,http://www.parlament.al/deputet/parid-cara/,1976-09-11,Kavajë,"","Komisioni per Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin, anëtar.",9612
9614,Edlira Çekrezi,LSI,Levizja Socialiste per Integrim,edlira.cekrezi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Edlira-Cekrezi-LSI.png,http://www.parlament.al/deputet/edlira-cekrezi/,1971-01-08,Gramsh,"",Komisioni Parlamentar për Politikën e Jashtme,9614
9616,Agron Çela,LSI,Levizja Socialiste per Integrim,agron.cela@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Agron-Cela-LSI-1.jpg,http://www.parlament.al/deputet/agron-cela/,1969-02-05,Shkodër,"","Komisioni parlamentar: Komisioni për Edukimin dhe Mjetet e Informimit Publik, anëtar.",9616
9618,Bujar Çela,PS,Partia Socialist,bujar.cela@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Bujar-Cela-PS.jpg,http://www.parlament.al/deputet/bujar-cela/,1960-05-14,"",Fier,"Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin",9618
9620,Arben Çuko,PS,Partia Socialist,arben.cuko@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Arben-Cuko-PS.jpg,http://www.parlament.al/deputet/arben-cuko/,1967-04-13,Lushnje,"","Komisioni për Sigurine Kombëtare, anëtar.",9620
9622,Arta Dade,PS,Partia Socialist,arta.dade@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Arta-Dade-PS.jpg,http://www.parlament.al/deputet/arta-dade/,1953-03-15,Tiranë,Korçë,"Komisioni parlamentar: Komisioni për Politikën e Jashtme, kryetare.",9622
9624,Kozma Dashi,PD,Partia Demokratike,kozma.dashi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Kozma-Dashi-PD.jpg,http://www.parlament.al/deputet/kozma-dashi/,1953-07-27,Fier,"","Komisioni për Veprimtarinë Prodhuese,Tregtinë dhe Mjedisin, anëtar.",9624
9626,Albina Deda,PD,Partia Demokratike,albina.deda@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Albina-Deda-PD-1.jpg,http://www.parlament.al/deputet/albina-deda/,1969-12-20,Rrëshen,Lezhë,"Komisioni i Punës, Çështjeve Sociale dhe Shëndetësisë, anëtare.",9626
9627,Bujar Derveni,LSI,Levizja Socialiste per Integrim,bujar.derveni@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Bujar-Derveni-LSI.jpg,http://www.parlament.al/deputet/bujar-derveni-2/,1959-08-27,"",Qarku Durrës,"Komisioni për Integrimin Europian, anëtar.",9627
9635,Mesila Doda,PD,Partia Demokratike,mesila.doda@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Mesila-Doda-NG.jpg,http://www.parlament.al/deputet/mesila-doda/,1971-02-16,Kukës,Fier,"Komisioni për Sigurinë Kombëtare, anëtare.",9635
9639,Namik Dokle,PS,Partia Socialist,namik.dokle@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Namik-Dokle-PS.jpg,http://www.parlament.al/deputet/namik-dokle-2/,1946-03-11,Durrës,Durrës,"Komisioni parlamentar: Komisioni për Politikën e Jashtme, sekretar.",9639
9642,Tom Doshi,PS,Partia Socialist,tom.doshi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Tom-Doshi-NG.jpg,http://www.parlament.al/deputet/tom-doshi/,1966-06-06,Shkodër,Shkodër,"Komisioni për Çështjet Ligjore, Administratën Publike dhe të Drejtat e Njeriut, anëtar.",9642
9649,Agron Duka,PR,Partia Republikane,agron.duka@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Agron-Duka-PR.jpg,http://www.parlament.al/deputet/agron-duka-2/,1958-01-22,Shijak,"","Komisioni parlamentar për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin, anëtar.",9649
9654,Vangjel Dule,PBDNJ,Partia Bashkimi i Te Drejtave Te Njeriut,vangjel.dule@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Vangjel-Dule-PBDNJ.jpg,http://www.parlament.al/deputet/vangjel-dule/,1968-02-18,Gjirokastër,Vlorë,"Komisioni për Politikën e Jashtme, anëtar.",9654
9664,Luan Duzha,LSI,Levizja Socialiste per Integrim,luan.duzha@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Luan-Duzha-LSI-1.jpg,http://www.parlament.al/deputet/luan-duzha/,1966-11-25,Cërrik,"","Komisioni parlamentar për Ekonominë dhe Financat, anëtar.",9664
9669,Liljana Elmazi,PD,Partia Demokratike,liljana.elmazi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Liljana-Elmazi-PD.jpg,http://www.parlament.al/deputet/liljana-elmazi/,1966-12-29,Vlorë,"","Komisioni për Ekonominë dhe Financat, anëtare.",9669
9678,Bashkim Fino,PS,Partia Socialist,bashkim.fino@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Bashkim-Fino-PS.jpg,http://www.parlament.al/deputet/bashkim-fino/,1962-10-12,Tiranë,Korçë,"Komisioni për Çështjet Ligjore, Administratën Publike dhe të Drejtat e Njeriut, anëtar.",9678
9683,Artan Gaçi,PS,Partia Socialist,artan.gaci@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Artan-Gaci-PS.jpg,http://www.parlament.al/deputet/artan-gaci/,1969-05-14,Tiranë,"","Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin, anëtar.",9683
9687,Mimoza Hafizi,PS,Partia Socialist,mimoza.hafizi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Mimoza-Hafizi-PS.jpg,http://www.parlament.al/deputet/mimoza-hafizi/,1962-02-20,Shkodër,"","Komisioni për Edukimin dhe Mjetet e Informimit Publik, anëtare.",9687
9689,Mimoza Hajdarmataj,PD,Partia Demokratike,mimoza.hadermataj@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Mimoza-Hajdarmataj-PD.jpg,http://www.parlament.al/deputet/mimoza-hadarmataj/,1969-01-09,Tropojë,Kukës,"Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin",9689
9690,Arbjola Halimi,PD,Partia Demokratike,arbjola.halimi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Arbjola-Halimi-PD.jpg,http://www.parlament.al/deputet/arbjola-halimi/,"",Elbasan,Elbasan,"Komisioni për Punën, Çështjet Sociale dhe Shëndetësinë",9690
9691,Eduard Halimi,PD,Partia Demokratike,eduard.halimi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Eduard-Halimi-PD.jpg,http://www.parlament.al/deputet/eduard-halimi-2/,1972-12-08,Korçë,Durrës,"Komisioni për Çështjet Ligjore, Administratën Publike dhe të Drejtat e Njeriut, anëtar.",9691
9695,Bedri Hoxha,PD,Partia Demokratike,bedri.hoxha@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Bedri-Hoxha-PR.jpg,http://www.parlament.al/deputet/bedri-hoxha-2/,1968-04-07,Gur i Bardhë,Dibër,"Komisioni për Edukimin dhe Mjetet e Informimit Publik, anëtar.",9695
9700,Vasilika Hysi,PS,Partia Socialist,vasilika.hysi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Vasilika-Hysi-PS.jpg,http://www.parlament.al/deputet/vasilika-hysi/,1963-01-13,Tiranë,Tiranë,"Komisioni Parlamentar: Komisioni i Çështjeve Ligjore, Administratës Publike dhe të Drejtave të Njeriut, anëtare.",9700
9703,Shpëtim Idrizi,PDIU,"Partia per Dretjtesi, Integrim, Unitet",shpetim.idrizi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Shpetim-Idrizi-PDIU.jpg,http://www.parlament.al/deputet/shpetim-idrizi/,1967-07-07,Tiranë,Vlorë,Komisioni Parlamentar për Politikën e Jashtme,9703
9706,Arben Imami,PD,Partia Demokratike,arben.imami@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Arben-Imami-PD.jpg,http://www.parlament.al/deputet/arben-imami/,1958-01-21,Tiranë,Elbasan,"Komisioni për Integrimin Europian, anëtar.",9706
9708,Kastriot Islami,PD,Partia Demokratike,kastriot.islami@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Kastriot-Islami-PD.jpg,http://www.parlament.al/deputet/kastriot-islami/,1952-08-18,Tiranë,Tiranë,"Komisioni për Politikën e Jashme, anëtar.",9708
9710,Gjovalin Kadeli,PD,Partia Demokratike,gjovalin.kadeli@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Gjovalin-Kadeli-LSI-1.jpg,http://www.parlament.al/deputet/gjovalin-kadeli/,1964-12-26,Lezhë,Qarku Lezhë,"Komisioni për Ekonominë dhe Financat, anëtar.",9710
9712,Dashamir Kamberi,PS,Partia Socialist,dashamir.kamberi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Dashamir-Kamberi-PS.jpg,http://www.parlament.al/deputet/dashamir-kamberi/,1951-09-27,"",Gjirokastër,"Komisioni parlamentar: Komisioni për Edukimin dhe Metet e Informimit Publik, anëtar",9712
9714,Piro Kapurani,LSI,Levizja Socialiste per Integrim,piro.kapurani@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Piro-Kapurani-LSI-1.jpg,http://www.parlament.al/deputet/piro-kapurani/,1967-04-24,Korçë,"","Komisioni parlamentar: Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin, anëtar.",9714
9716,Roland Keta,PD,Partia Demokratike,roland.keta@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Roland-Keta-PD.jpg,http://www.parlament.al/deputet/roland-keta-2/,1971-04-07,Bulqizë,"","Komisioni parlamentar: Komisioni për Punën, Çështjet Sociale dhe Shëndetësinë, anëtar.",9716
9717,Bujar Kllogjri,LSI,Levizja Socialiste per Integrim,bujar.kllogjri@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Bujar-Kllogjri-LSI-1.jpg,http://www.parlament.al/deputet/bujar-kllogjri/,1952-12-12,Librazhd,"","Komisioni parlamentar: Komisioni për Punën dhe Çështjet Sociale, anëtar.",9717
9719,Ervin Koçi,PS,Partia Socialist,ervin.koci@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Ervin-Koci-PS.jpg,http://www.parlament.al/deputet/ervin-koci/,1975-04-05,Fier,Fier,"Komisioni parlamentar: Komisioni për Ekonominë dhe Financat, anëtar.",9719
9720,Irma Kopliku,PD,Partia Demokratike,irma.kopliku@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Irma-Kopliku-PD.jpg,http://www.parlament.al/deputet/irma-kopliku/,1967-05-21,Shkodër,Shkodër,"Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin",9720
9722,Namik Kopliku,PS,Partia Socialist,namik.kopliku@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Namik-Kopliku-PS.jpg,http://www.parlament.al/deputet/namik-kopliku/,1959-02-21,Shkodër,"","Komisioni parlamentar: Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin, anëtar.",9722
9724,Vladimir Kosta,PS,Partia Socialist,vladimir.kosta@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Vladimir-Kosta-PS.jpg,http://www.parlament.al/deputet/vladimir-kosta/,1964-04-02,Tiranë,Tiranë,"Komisioni parlamentar: Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin",9724
9727,Monika Kryemadhi,LSI,Levizja Socialiste per Integrim,monika.kryemadhi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Monika-Kryemadhi-LSI.jpg,http://www.parlament.al/deputet/monika-kryemadhi/,1974-04-09,Tiranë,"","Komisioni për Veprimtarinë Prodhuese, Tregtinë dhe Mjedisin, anëtare.",9727
9731,Evis Kushi,PS,Partia Socialist,evis.kushi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Evis-Kushi-PS.jpg,http://www.parlament.al/deputet/evis-kushi/,1975-10-07,Elbasan,"","Komisioni për Ekonominë dhe Financat, anëtare.",9731
9733,Valentina Leskaj,PS,Partia Socialist,valentina.leskaj@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Valentina-Leskaj-PS-1.jpg,http://www.parlament.al/deputet/valentina-leskaj/,1948-11-01,Tepelenë,Vlorë,"Komisioni për Politikën e Jashme, anëtare.",9733
9735,Piro Lutaj,PS,Partia Socialist,piro.lutaj@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Pirro-Lutaj-PS.jpg,http://www.parlament.al/deputet/piro-lutaj/,1959-08-27,Fier,"","Komisioni për Sigurinë Kombëtare, sekretar.",9735
9737,Pandeli Majko,PS,Partia Socialist,pandeli.majko@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Pandeli-Majko-PS.jpg,http://www.parlament.al/deputet/pandeli-majko/,1967-11-15,Tiranë,"","Komisioni për Çështjet Ligjore, Administratën Publike dhe të Drejtat e Njeriut, anëtar.",9737
9739,Ulsi Manja,PS,Partia Socialist,ulsi.manja@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Ulsi-Manja-PS.jpg,http://www.parlament.al/deputet/ulsi-manja-2/,1973-10-05,Dibër,"","Komisioni parlamentar: Komisioni për Çështjet Ligjore, Administratën Publike dhe të Drejtat e Njeriut, anëtar",9739
9741,Andrea Marto,PS,Partia Socialist,andrea.marto@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Andrea-Marto-PS.jpg,http://www.parlament.al/deputet/andrea-marto/,,"","","Komisioni për Ekonominë dhe Financat, anëtar.",9741
9743,Fatmir Mehdiu,PR,Partia Republikane,fatmir.mehdiu@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Fatmir-Mediu-PR.jpg,http://www.parlament.al/deputet/fatmir-mediu/,1967-01-21,Durrës,Korçë,"Komisioni për Çështjet Ligjore, Administratën Publike dhe të Drejtat e Njeriut, anëtar.",9743
9745,Ilir Meta,LSI,Levizja Socialiste per Integrim,ilir.meta@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Kryetari_OK_Gri.jpg,http://www.parlament.al/deputet/ilir-meta/,1969-03-24,Skrapar,Tiranë,"",9745
9747,Bedri Mihaj,PD,Partia Demokratike,bedri.mihaj@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2015/12/Bedri-Mihaj-PD.jpg,http://www.parlament.al/deputet/bedri-mihaj/,1957-12-15,Fier,"","Komisioni për Punën, Çështjet Sociale dhe Shëndetësinë, anëtar.",9747
