id,name__en,name__zh,name,wikipedia__commons,wikipedia__zh,original_wikiname,gender,birth_date,image,name__zh_tw,name__nan,wikipedia__zh_min_nan,family_name,name__fr,name__es,name__zh_hant,name__hu,name__nl,wikipedia__en,identifier__VIAF,identifier__NCL,name__ru,identifier__ISNI,identifier__LCAuth,identifier__NLA,wikipedia__es,wikipedia__zhwikiquote,name__ja,wikipedia__ja,facebook,name__zh_hans,name__zh_hk,name__id,name__vi,name__de,name__nds,name__vmf,name__en_ca,name__en_gb,name__ko,name__pl,wikipedia__de,wikipedia__id,wikipedia__pl,wikipedia__vi,identifier__freebase,name__oc,name__it,wikipedia__fr,given_name,wikipedia__ko,name__tr,identifier__BNF,identifier__SUDOC,identifier__IMDB,wikipedia__it,electoral_district,name__yue,wikipedia__ru,wikipedia__zh_yue,name__wuu,wikipedia__enwikiquote,wikipedia__wuu,name__zh_cn,name__zh_mo,name__zh_my,name__zh_sg,name__sv,name__et,wikipedia__et,wikipedia__sv,wikipedia__tr,identifier__FAST,identifier__MusicBrainz,name__cdo,wikipedia__cdo,name__gan_hans,name__gan_hant,name__gan,wikipedia__gan,name__ca,name__pt,name__nb,wikipedia__ca,wikipedia__no,wikipedia__pt
Q16193401,"Tseng Ming-chung","曾铭宗","曾铭宗","Category:Tseng Ming-chung","曾銘宗","Tseng Ming-chung",male,1959-01-22,https://upload.wikimedia.org/wikipedia/commons/7/7e/Tseng_Ming-chung.jpg,,"Chan Bêng-chong","Chan Bêng-chong",,"Tseng Ming-chung",,,,,"Tseng Ming-chung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16239478,"Chen Shu-hui","陳淑慧","陳淑慧","Category:Chen Shu-hui","陳淑慧","陳淑慧",female,,,,,,,,,"陳淑慧",,"Chen Shu-hui","Chen Shu-hui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chen Shu-hui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16905422,,"李貴敏","李貴敏",,"李貴敏","李貴敏",female,1959-12-11,https://upload.wikimedia.org/wikipedia/commons/b/b0/Guimin_Li.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16926907,,"賴振昌","賴振昌","Category:Lai Cheng-chang","賴振昌","賴振昌",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16928868,"Lu Sun-ling","呂孫綾","呂孫綾","Category:Lu Sun-ling","呂孫綾","呂孫綾",female,1988-03-12,,,"Lī Sun-lêng","Lī Sun-lêng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17027222,"Zheng Tiancai","鄭天財","鄭天財","Category:Sra Kacaw","鄭天財","鄭天財",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18415702,,"吳焜裕","吳焜裕","Category:Wu Kuen-yuh","吳焜裕","吳焜裕",,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18659220,,"許淑華","許淑華","Category:Hsu Shu-hua (Nantou County)","許淑華 (南投縣)","許淑華 (南投縣)",female,1975-10-15,"https://upload.wikimedia.org/wikipedia/commons/c/cb/許淑華.JPG",,,,,,,,,,,316457436,000005634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19058548,"Huang Kuo-shu","黃國書","黃國書","Category:Huang Kuo-shu","黃國書 (臺中市政治人物)","黃國書 (臺中市政治人物)",,1964-01-03,,,,,,"Huang Kuo-shu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19653988,"Chen Su-yueh","陳素月","陳素月","Category:Chen Su-yueh","陳素月","陳素月",,1966-01-18,"https://upload.wikimedia.org/wikipedia/commons/9/91/陳素月個人照片.jpg",,"Tân Sò͘-goa̍t","Tân Sò͘-goa̍t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825208,,"陳賴素美","陳賴素美","Category:Chen Lai Su-mei","陳賴素美","陳賴素美",,1964-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825322,,"徐志榮","徐志榮","Category:Hsu Chih-jung","徐志榮","徐志榮",,1955-07-31,,,,,Xu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825673,,"林俊憲","林俊憲","Category:Lin Chun-hsien","林俊憲","林俊憲",,1965-03-07,"https://upload.wikimedia.org/wikipedia/commons/9/94/民進黨發言人林俊憲.jpg",,"Lîm Chùn-hiàn","Lîm Chùn-hiàn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825688,,"楊應雄","楊應雄",,"楊應雄","楊應雄",,1957-06-08,,,,,Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825781,"Su Chiao-hui","蘇巧慧","蘇巧慧","Category:Su Chiao-hui","蘇巧慧","Su Chiao-hui",female,1976-04-05,https://upload.wikimedia.org/wikipedia/commons/2/2b/Su_Chiao-hui_20160225.jpg,,"So͘ Kháu-hōe","So͘ Kháu-hōe",,"Su Chiao-hui","Su Chiao-hui","蘇巧慧","Su Chiao-hui","Su Chiao-hui","Su Chiao-hui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19825797,,"賴瑞隆","賴瑞隆","Category:Lai Jui-lung","賴瑞隆","賴瑞隆",,1973-11-15,https://upload.wikimedia.org/wikipedia/commons/1/13/VIN0910.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19849340,,"洪宗熠","洪宗熠","Category:Hung Tsung-yi","洪宗熠","洪宗熠",,1969-01-27,,,"Âng Chong-iap","Âng Chong-iap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19849402,"Hung Tzu-yung","洪慈庸","洪慈庸","Category:Hung Tzu-yung","洪慈庸","Hung Tzu-yung",female,1982-12-20,https://upload.wikimedia.org/wikipedia/commons/8/80/Hung-Tzu-yung.jpg,,"Âng Chû-iông","Âng Chû-iông",,,,"洪慈庸",,,"Hung Tzu-yung",,,,,,,,,"洪慈庸","洪慈庸",newpowerhung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19849414,,"吳琪銘","吳琪銘",,"吳琪銘","吳琪銘",,1969-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20063502,,"李彥秀","李彥秀","Category:Lee Yen-hsiu","李彥秀","李彥秀",,1971-12-18,,,,,Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21652173,"Kawlo Iyun Pacidal","高潞·以用·巴魕剌","高潞·以用·巴魕剌","Category:Kawlo Iyun Pacidal","高潞·以用·巴魕剌","Kawlo Iyun Pacidal",female,1977-04-09,https://upload.wikimedia.org/wikipedia/commons/c/c6/Kalow.jpg,,"Kawlo Iyun Pacidal","Kawlo Iyun Pacidal",,,,,,,"Kawlo Iyun Pacidal",,,,,,,,,"高潞・以用・巴魕剌","高潞・以用・巴魕剌",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22083907,"List of Legislative Yuan members elected in the Republic of China legislative election, 2016","第9屆中華民國立法委員名單","第9屆中華民國立法委員名單","Category:9th Legislative Yuan","第9屆中華民國立法委員列表","Ninth Legislative Yuan",,,,,,,,,,,,,"Ninth Legislative Yuan",,,,,,,,,,"第9回中華民国立法委員一覧",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22093639,"Lin Li-chan","林麗蟬","林麗蟬","Category:Lin Li-chan","林麗蟬","Lin Li-chan",female,1977-10-02,https://upload.wikimedia.org/wikipedia/commons/a/a9/Lin_Li-Chan_-_by_Liao_Chen-Tao_02_(cropped).jpg,,,,,,,,,,"Lin Li-chan",,,,,,,,,"林麗蝉","林麗蝉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22099954,"Kolas Yotaka","谷辣斯·尤達卡","谷辣斯·尤達卡","Category:Kolas Yotaka","Kolas Yotaka","Kolas Yotaka",,,,,,"Kolas Yotaka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22100240,"Zhao Jheng-yu","趙正宇","趙正宇",,"趙正宇","趙正宇",male,1966-03-29,,,,,,,,,,,"Zhao Jheng-yu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22773998,"Karen Yu","余宛如","余宛如","Category:Yu Wan-ju","余宛如","Karen Yu",female,1980,,,,,Yu,,,,,,"Karen Yu",91053488,,,,n2009045000,,,,,,,,,,,,,,,,,,,,,,,,,,Karen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22774114,,"吳玉琴","吳玉琴",,"吳玉琴","吳玉琴",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22774121,"Chou,Chun-Mi","周春米","周春米","Category:Chou Chung-mi","周春米","周春米",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22774129,"Jing-Yi Lin","林靜儀","林靜儀","Category:Lin Jing-yi","林靜儀","林靜儀",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22774142,,"鍾孔炤","鍾孔炤","Category:Chung Kong-chao","鍾孔炤","鍾孔炤",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22774153,"Chen Man-li","陳曼麗","陳曼麗","Category:Chen Man-li","陳曼麗","陳曼麗",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22774355,,"楊鎮浯","楊鎮浯","Category:Yang Cheng-wu","楊鎮浯","楊鎮浯",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23927581,"Category:Hsu Yu-jen","許毓仁","許毓仁","Category:Hsu Yu-jen","許毓仁","許毓仁",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24839448,"Chen Yi-Ming","陳宜民","陳宜民","Category:Chen Yi-ming","陳宜民","陳宜民",male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24840132,,"李麗芬","李麗芬",,"李麗芬 (社運人士)","李麗芬 (社運人士)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q281540,"Sean Chen","陳沖","陳沖","Category:Sean Chen (politician)","陳冲 (臺灣)","Sean Chen (politician)",male,1949-10-03,https://upload.wikimedia.org/wikipedia/commons/a/a6/Sean_Chen_Chun.jpg,"陳沖",,,Chen,"Sean Chen","Sean Chen","陳沖","Sean Chen","Sean Chen","Sean Chen (politician)",62725379,,"Чэнь Чун",,nr2001025205,,"Sean Chen",,,,,"陈冲","陳沖",,"Trần Xung","Sean Chen",,,,,,"Sean Chen","Sean Chen",,"Sean Chen","Trần Xung",/m/0j29r0n,,,"Sean Chen",Sean,,"Sean Chen",,,,,,,"Чэнь Чун",,,"Sean Chen",,"陈冲","陳沖","陈冲","陈冲","Sean Chen","Sean Chen","Sean Chen","Sean Chen","Sean Chen",1773326,,,,,,,,,,,,,
Q3846662,"Kuan Bi-ling","管碧玲","管碧玲","Category:Kuan Bi-ling","管碧玲","Kuan Bi-ling",female,1956-12-09,https://upload.wikimedia.org/wikipedia/commons/7/7b/Voa_chinese_Kuan_Bi-ling_17aug10_300.jpg,,"Koán Phek-lêng","Koán Phek-lêng",,,"Kuan Bi-ling","管碧玲","Kuan Bi-ling","Kuan Bi-ling","Kuan Bi-ling",54006407,,,"0000 0000 6417 2427",nr91034852,36694746,,,,,,"管碧玲","管碧玲",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5090717,"Chen Chi-mai","陳其邁","陳其邁","Category:Chen Chi-Mai","陳其邁","Chen Chi-mai",male,1964-12-23,https://upload.wikimedia.org/wikipedia/commons/e/e4/Chen_Chi-Mai_from_VOA_(1).jpg,,"Tân Kî-māi","Tân Kî-māi",,"Chen Chi-mai","Chen Chi-mai",,,"Chen Chi-mai","Chen Chi-mai",96846698,,,,no2009125349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5090859,"Chen Ming-Wen","陳明文","陳明文","Category:Chen Ming-wen","陳明文","Chen Ming-wen",male,1955-05-13,https://upload.wikimedia.org/wikipedia/commons/1/19/DPP_LongForever2007_MWChen.jpg,,"Tân Bêng-bûn","Tân Bêng-bûn",Chen,"Chen Ming-Wen","Chen Ming-Wen",,"Chen Ming-Wen","Chen Ming-wen","Chen Ming-wen",,,,,,,,,"陳明文","陳明文",,,,,,,,,,,,,,,,,/m/0g5rfb_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6393270,"Ker Chien-ming","柯建銘","柯建銘","Category:Ker Chien-ming","柯建銘","Ker Chien-ming",male,1951-09-08,https://upload.wikimedia.org/wikipedia/commons/2/27/Ker_Chien-ming.jpg,,"Koa Kiàn-bêng","Koa Kiàn-bêng",,"Ker Chien-ming","Ker Chien-ming",,"Ker Chien-ming","Ker Chien-ming","Ker Chien-ming",,,,,,,"Ker Chien-ming","柯建銘",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6515593,"Lee Ying-yuan","李應元","李應元","Category:Lee Ying-yuan","李應元","Lee Ying-yuan",male,1953-03-16,https://upload.wikimedia.org/wikipedia/commons/9/92/DPP_LongForever2007_YYLi.jpg,,"Lí Èng-goân","Lí Èng-goân",Li,,"Lee Ying-yuan",,,"Lee Ying-yuan","Lee Ying-yuan",,000001952,,"0000 0000 6422 9147",nr94008829,36708495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6550004,"Lin Chia-lung","林佳龍","林佳龍","Category:Lin Chia-lung","林佳龍","Lin Chia-lung",male,1964-02-13,https://upload.wikimedia.org/wikipedia/commons/d/dc/Lin_Chia-lung.jpg,,"Lîm Ka-liông","Lîm Ka-liông",Lin,"Lin Chia-lung","Lin Chia-lung",,"Lin Chia-lung","Lin Chia-lung","Lin Chia-lung",169445791,,,"0000 0000 5217 7669",no2002000437,,,,"林佳龍",,,,,,,,,,,,"임가룡",,,,,,,,,,,,,,,,,,"林佳龍",,"林佳龍",,,,,,,,,,,,,,,,,,,,,,,,,,
Q6550136,"Lin Yu-fang","林郁方","林郁方","Category:Lin Yu-fang","林郁方","Lin Yu-fang",male,1951-03-15,https://upload.wikimedia.org/wikipedia/commons/e/ec/Lin_Yu-fang_from_VOA_(1).jpg,,,,Lin,"Lin Yu-fang","Lin Yu-fang",,"Lin Yu-fang","Lin Yu-fang","Lin Yu-fang",,,,,,,,,"林郁方","林郁方",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6653712,"Liu Shih-fang","劉世芳","劉世芳","Category:Liu Shyh-fang","劉世芳","Liu Shyh-fang",female,1959,,,,,Liu,"Liu Shih-fang","Liu Shih-fang",,"Liu Shih-fang",,"Liu Shyh-fang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q697862,"May Chin","高金素梅","高金素梅","Category:Giwas Ali","高金素梅","Kao Chin Su-mei",female,1965-09-21,https://upload.wikimedia.org/wikipedia/commons/7/77/2008TaiwanPresidentialElection_May_Chin_at_Anti-Referendum_Protest.jpg,,"Ko Kim Sò͘-mûi","Ko Kim Sò͘-mûi",,"May Chin","May Chin","高金素梅",,"May Chin","Kao Chin Su-mei",53699516,,"Мэй Чин","0000 0001 1444 2617",,,"May Chin",,"高金素梅","高金素梅",,"高金素梅","高金素梅",,,"May Chin","May Chin",,"May Chin","May Chin","가오진수메이",,,,,,/m/02qlb8f,,,,,,"May Chin",14164308p,093322615,nm0157771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q698464,"Hsu Tain-tsair","許添財","許添財","Category:Hsu Tain-tsair","許添財","Hsu Tain-tsair",male,1951-01-23,https://upload.wikimedia.org/wikipedia/commons/1/1c/Hsu_Tain-tsair_from_VOA.jpg,,,,"Xǔ","Hsu Tain-tsair","Hsu Tain-tsair","許添財","Hsu Tain-tsair","Hsu Tain-tsair","Hsu Tain-tsair",,,,,,,,,,,,"许添财","許添財","Tain-Tsair Hsu",,,,,,,,,,"Tain-Tsair Hsu",,,/m/03cbl_7,,"Hsu Tain-tsair",,,,,,,,"Hsu Tain-tsair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q700752,"Hsiao Bi-khim","蕭美琴","蕭美琴","Category:Hsiao Bi-khim","蕭美琴","Hsiao Bi-khim",female,1971-08-07,https://upload.wikimedia.org/wikipedia/commons/e/ec/Hsiao_Bi-khim_from_VOA_(1).jpg,,"Siau Bí-khîm","Siau Bí-khîm",,"Hsiao Bi-khim","Hsiao Bi-khim","蕭美琴","Hsiao Bi-khim","Hsiao Bi-khim","Hsiao Bi-khim",,,,,,,,,,,,"萧美琴","蕭美琴",,,,,,,,,,,,,,,,,"Hsiao Bi-khim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q700774,"Su Chia-chyuan","蘇嘉全","蘇嘉全","Category:Su Chia-chyuan","蘇嘉全","Su Chia-chyuan",male,1956-10-22,https://upload.wikimedia.org/wikipedia/commons/7/73/Su-Candidate-Cropped.png,,"So͘ Ka-choân","So͘ Ka-choân",,"Su Chia-chyuan","Su Chia-chyuan","蘇嘉全","Su Chia-chyuan","Su Chia-chyuan","Su Chia-chyuan",315952214,000001210,"Су Цзяцюань",,,,,"蘇嘉全","蘇嘉全","蘇嘉全",,"苏嘉全","蘇嘉全",,,"Su Jia-chyuan",,,,,"쑤자취안",,"Su Jia-chyuan",,,,,,,,,"쑤자취안",,,,,,,"蘇嘉全","Су Цзяцюань","蘇嘉全",,,,,,,,,,,,,,,,,,,,,,,,,,
Q707601,"Wang Jin-pyng","王金平","王金平",,"王金平","Wang Jin-pyng",male,1941-03-17,https://upload.wikimedia.org/wikipedia/commons/c/ca/2007NewYearHopeWalking_JPWang.jpg,"王金平",,,Wang,"Wang Jin-pyng","Wang Jin-pyng","王金平","Wang Jin-pyng","Wang Jin-pyng","Wang Jin-pyng",,,,,,,,,"王金平","王金平",,"王金平","王金平","Wang Jin-pyng","Vương Kim Bình","Wang Jin-pyng","Wang Jin-pyng","Wang Jin-pyng","Wang Jin-pyng","Wang Jin-pyng","왕금평","Wang Jin-pyng","Wang Jin-pyng","Wang Jin-pyng","Wang Jin-pyng","Vương Kim Bình",/m/02vlx8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q707648,"Mark Chen","陳唐山","陳唐山","Category:Chen Tangshan","陳唐山","陳唐山",male,1935-09-16,https://upload.wikimedia.org/wikipedia/commons/f/f0/Voa_chinese_Chen_Tangshan_01Dec09.jpg,,,,Chen,"Mark Chen","Mark Chen","陳唐山",,"Mark Chen","Mark Chen",31895431,,,,nr96022602,36720880,,"陳唐山","陳唐山","陳唐山",,"陈唐山","陳唐山","Mark Chen",,"Mark Chen",,,,,"천탕산",,"Mark Chen","Mark Chen",,,/m/02rs_47,,,,Mark,"천탕산",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q709508,"Wang Ding-yu","王定宇","王定宇","Category:Wang Ding-yu","王定宇","王定宇",male,1969-03-05,,,"Ông Tēng-ú","Ông Tēng-ú",Wang,,,"王定宇",,"Wang Ding-yu",,,,,,,,,,,,,"王定宇","王定宇",,,,,,,,,,,,,,,,,,,,,,,,,,"王定宇",,"王定宇","王定宇",,"王定宇",,,,,,,,,,,,,,"王定宇","王定宇","王定宇","王定宇",,,,,,
